Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP5_A00_neg m/z,ORP5_A00_neg RT mean,ORP5_A00_neg Normalized Area,ORP5_A08_neg m/z,ORP5_A08_neg RT mean,ORP5_A08_neg Normalized Area,ORP5_A09_neg m/z,ORP5_A09_neg RT mean,ORP5_A09_neg Normalized Area,ORP5_A10_neg m/z,ORP5_A10_neg RT mean,ORP5_A10_neg Normalized Area,ORP5_A11_neg m/z,ORP5_A11_neg RT mean,ORP5_A11_neg Normalized Area,ORP5_A04_neg m/z,ORP5_A04_neg RT mean,ORP5_A04_neg Normalized Area,ORP5_A05_neg m/z,ORP5_A05_neg RT mean,ORP5_A05_neg Normalized Area,ORP5_A06_neg m/z,ORP5_A06_neg RT mean,ORP5_A06_neg Normalized Area,ORP5_A07_neg m/z,ORP5_A07_neg RT mean,ORP5_A07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.12,3.50,293.1760,0.10 - 0.65,1,8.1E6,293.1760,0.17,5.96E6,293.1763,0.15,9.6E6,293.1761,0.14,9.68E6,293.1758,0.16,7.13E6,293.1763,0.16,1.04E7,293.1760,0.52,7.93E6,293.1763,0.15,1.32E7,293.1757,0.15,2.4E6,293.1756,0.16,6.27E6,0.62:1.00:1.01:0.74:1.08:0.83:1.38:0.25:0.65,8.55E6,7.46E6,1.00:0.87,0.20,,
,1.12,4.12,446.1032,3.83 - 5.20,1,6.3E5,446.1035,4.55,5.62E5,446.1036,4.56,5.64E5,446.1033,4.54,7.42E5,446.1036,4.55,4.26E5,446.1024,4.55,4.53E5,446.1028,4.54,7.38E5,446.1034,4.56,9.11E5,446.1031,4.56,5.83E5,446.1031,4.57,7.06E5,1.00:1.00:1.32:0.76:0.80:1.31:1.62:1.03:1.25,5.49E5,7.35E5,1.00:1.34,4.55,,
,1.10,5.38,620.5468,0.10 - 0.24,1,6.2E5,620.5469,0.14,2.95E5,620.5472,0.15,8.74E5,620.5459,0.16,1.86E6,620.5464,0.16,4.6E5,620.5477,0.16,3.39E5,-,-,0,620.5472,0.15,8.22E5,620.5466,0.15,7.62E5,620.5465,0.16,1.63E5,0.34:1.00:2.13:0.53:0.39:0:0.94:0.87:0.19,7.65E5,4.37E5,1.00:0.57,0.15,,
,1.10,3.60,454.0175,0.25 - 0.65,1,4.9E5,454.0178,0.51,2.7E5,454.0175,0.52,5.51E5,454.0171,0.52,4.17E5,454.0175,0.50,3.16E5,454.0175,0.50,7.16E5,454.0170,0.51,7.85E5,454.0177,0.51,5.97E5,454.0182,0.52,1.07E5,454.0175,0.50,6.51E5,0.49:1.00:0.76:0.57:1.30:1.42:1.08:0.19:1.18,4.54E5,5.35E5,1.00:1.18,0.51,,
,1.09,5.26,618.5500,0.10 - 0.21,1,6.8E5,618.5493,0.14,3.12E5,618.5507,0.15,1.05E6,618.5496,0.16,1.99E6,618.5499,0.16,4.49E5,618.5513,0.16,3.51E5,-,-,0,618.5507,0.15,9.32E5,618.5491,0.15,8.23E5,618.5497,0.16,1.83E5,0.30:1.00:1.90:0.43:0.34:0:0.89:0.78:0.17,8.3E5,4.85E5,1.00:0.58,0.15,,
,1.08,3.29,456.0146,0.25 - 0.62,1,4.1E5,456.0148,0.51,2.4E5,456.0144,0.52,4.92E5,456.0145,0.52,3.62E5,456.0153,0.49,2.7E5,456.0140,0.49,6.25E5,456.0142,0.51,5.49E5,456.0140,0.51,5.42E5,456.0153,0.52,9.53E4,456.0145,0.50,5.4E5,0.49:1.00:0.74:0.55:1.27:1.12:1.10:0.19:1.10,3.98E5,4.32E5,1.00:1.08,0.51,,
,1.07,4.10,444.1066,3.83 - 5.21,1,7E5,444.1069,4.55,6.31E5,444.1064,4.56,6.25E5,444.1067,4.54,8.29E5,444.1069,4.55,4.72E5,444.1057,4.55,4.95E5,444.1067,4.54,8.19E5,444.1068,4.56,9.98E5,444.1068,4.56,6.55E5,444.1069,4.57,7.77E5,1.01:1.00:1.33:0.75:0.79:1.31:1.60:1.05:1.24,6.11E5,8.12E5,1.00:1.33,4.55,,
,1.07,5.65,558.5940,0.10 - 0.24,1,8.1E5,558.5939,0.14,4.72E5,558.5940,0.15,1.26E6,558.5939,0.16,2.2E6,558.5941,0.16,6.48E5,558.5947,0.16,5.14E5,-,-,0,558.5941,0.15,1.12E6,558.5936,0.15,1.09E6,-,-,0,0.37:1.00:1.75:0.51:0.41:0:0.89:0.87:0,1.02E6,5.52E5,1.00:0.54,0.15,,
,1.05,5.10,420.0377,0.25 - 0.65,1,2.3E5,420.0381,0.51,9.9E4,420.0378,0.52,2.25E5,420.0374,0.52,1.91E5,420.0378,0.53,1.72E5,420.0378,0.49,2.22E5,420.0369,0.51,4.78E5,420.0375,0.51,2.53E5,420.0385,0.52,4.47E4,420.0378,0.50,4.27E5,0.44:1.00:0.85:0.76:0.99:2.13:1.13:0.20:1.90,1.81E5,3.01E5,1.00:1.66,0.51,,
,1.00,3.30,487.3059,0.10 - 5.23,1,1.5E6,487.3065,0.16,1.55E6,487.3057,0.17,1.38E6,-,-,-,487.3057,0.18,1.6E6,487.3063,0.18,1.59E6,487.3060,0.23,1.29E6,487.3059,0.17,1.43E6,487.3051,0.15,1.34E6,487.3057,0.16,1.57E6,1.12:1.00:-:1.16:1.15:0.94:1.04:0.97:1.14,1.53E6,1.41E6,1.00:0.92,0.17,,
,0.98,3.64,371.1323,0.10 - 0.51,1,4.9E5,371.1327,0.16,1.98E5,-,-,0,371.1322,0.16,4.76E5,371.1321,0.16,1.18E6,371.1327,0.16,7.73E5,371.1321,0.39,1.92E5,-,-,0,371.1326,0.17,8.94E4,371.1318,0.16,1.48E6,1.00:0:2.40:5.95:3.91:0.97:0:0.45:7.50,5.25E5,4.41E5,1.00:0.84,0.19,,
,0.96,3.19,407.1687,0.10 - 0.65,1,2.6E5,407.1692,0.51,1.5E5,407.1689,0.52,2.43E5,407.1681,0.52,1.87E5,407.1688,0.49,2.28E5,407.1689,0.50,4.52E5,407.1680,0.51,4.76E5,407.1686,0.51,1.86E5,407.1695,0.52,3.34E4,407.1688,0.50,3.67E5,0.62:1.00:0.77:0.94:1.86:1.95:0.76:0.14:1.51,2.52E5,2.66E5,1.00:1.05,0.51,,
,0.95,4.49,656.6679,0.10 - 0.21,1,2.6E5,656.6685,0.16,1.9E5,656.6677,0.17,3.52E5,656.6680,0.16,5.77E5,656.6675,0.18,1.99E5,656.6683,0.18,1.82E5,-,-,0,656.6680,0.17,3.56E5,656.6674,0.17,3.15E5,656.6680,0.16,1.55E5,0.54:1.00:1.64:0.56:0.52:0:1.01:0.89:0.44,3E5,2.06E5,1.00:0.69,0.17,,
,0.94,3.24,519.3911,15.94 - 20.18,1,8.6E4,519.3914,18.60,9.24E4,519.3907,18.68,8.3E4,519.3911,18.49,6.94E4,519.3917,18.72,9.5E4,519.3918,18.58,1E5,519.3911,18.71,8.86E4,519.3909,18.49,8.25E4,519.3908,18.69,6.51E4,519.3908,18.64,9.36E4,1.11:1.00:0.84:1.14:1.21:1.07:0.99:0.78:1.13,8.81E4,8.25E4,1.00:0.94,18.62,,
,0.94,4.84,445.9760,0.28 - 0.79,1,2.3E5,445.9764,0.51,3.11E4,445.9762,0.52,1.27E4,445.9757,0.52,2.86E5,445.9760,0.53,3.51E5,445.9755,0.50,2.44E5,445.9756,0.56,7.25E5,445.9756,0.51,1.25E4,445.9768,0.52,2.62E4,445.9760,0.50,3.98E5,2.45:1.00:22.55:27.61:19.20:57.10:0.98:2.06:31.29,1.85E5,2.9E5,1.00:1.57,0.52,,
,0.94,4.30,448.1000,3.83 - 6.61,1,1.6E5,448.0999,4.55,1.42E5,448.1003,4.56,1.24E5,448.0999,4.54,2.07E5,448.1000,4.55,1E5,448.0995,4.55,1.08E5,448.1000,4.54,1.85E5,448.0998,4.56,2.43E5,448.1003,4.56,1.48E5,448.1003,4.57,1.83E5,1.15:1.00:1.66:0.81:0.87:1.49:1.96:1.19:1.47,1.36E5,1.9E5,1.00:1.39,4.55,,
,0.93,5.50,463.9862,0.24 - 0.50,1,2.4E5,463.9862,0.34,5.81E4,-,-,0,463.9857,0.40,1.35E5,463.9861,0.37,3.34E5,463.9861,0.36,3.67E5,463.9863,0.39,9.1E5,-,-,0,463.9869,0.38,1.49E4,463.9863,0.37,3.58E5,1.00:0:2.32:5.74:6.32:15.65:0:0.26:6.15,1.79E5,3.21E5,1.00:1.79,0.37,,
,0.92,25.16,311.2006,0.10 - 0.30,1,9.3E5,311.2004,0.18,4.5E6,311.2005,0.19,5.8E4,311.2003,0.18,6.83E5,311.2008,0.18,2.74E5,311.2008,0.18,2.78E6,311.2006,0.20,3.55E4,-,-,0,-,-,0,-,-,0,77.63:1.00:11.78:4.73:47.92:0.61:0:0:0,1.66E6,8.87E3,1.00:0.01,0.18,,
,0.91,3.56,792.8618,15.16 - 20.26,1,5.2E5,792.8618,20.16,5.99E5,-,-,-,792.8616,20.16,3.79E5,792.8622,20.17,6.44E5,792.8615,20.16,6.34E5,792.8614,20.17,5.65E5,792.8615,20.16,4.29E5,792.8618,20.17,4.37E5,792.8624,20.17,5.09E5,1.00:-:0.63:1.07:1.06:0.94:0.72:0.73:0.85,5.64E5,4.85E5,1.00:0.86,20.16,,
,0.90,3.88,481.3655,0.10 - 1.43,1,1.2E5,481.3654,1.31,2.38E5,481.3655,1.32,4.25E4,481.3655,1.31,4.57E4,481.3655,1.32,1.07E5,481.3655,1.32,9.3E4,481.3654,1.31,6.44E4,481.3655,1.32,1.87E5,481.3655,1.32,8.5E4,481.3656,1.32,1.95E5,5.61:1.00:1.08:2.51:2.19:1.52:4.41:2.00:4.60,1.05E5,1.33E5,1.00:1.26,1.32,,
,0.90,5.65,616.5531,0.10 - 0.21,1,3.3E5,616.5526,0.14,1.49E5,616.5538,0.15,5.23E5,616.5527,0.16,9.8E5,616.5530,0.16,2.3E5,616.5536,0.16,1.8E5,-,-,0,616.5538,0.15,4.71E5,616.5522,0.15,4.22E5,-,-,0,0.28:1.00:1.87:0.44:0.34:0:0.90:0.81:0,4.12E5,2.23E5,1.00:0.54,0.15,,
,0.89,3.99,687.5816,15.32 - 16.49,1,6.3E4,687.5817,15.91,3.09E4,687.5818,15.91,7.31E4,687.5811,15.94,2.51E4,687.5818,15.87,7.33E4,687.5807,15.87,7.59E4,687.5818,15.91,9.72E4,687.5817,15.94,6.78E4,687.5815,15.97,4.38E4,687.5820,16.00,7.98E4,0.42:1.00:0.34:1.00:1.04:1.33:0.93:0.60:1.09,5.57E4,7.22E4,1.00:1.30,15.92,,
,0.89,5.63,465.9832,0.24 - 0.52,1,2.2E5,465.9832,0.34,5.26E4,465.9836,0.38,4.42E3,465.9827,0.40,1.19E5,465.9831,0.37,3.01E5,465.9830,0.36,3.36E5,465.9827,0.39,8.56E5,-,-,0,465.9839,0.38,1.31E4,465.9833,0.37,3.29E5,11.90:1.00:26.85:68.11:76.10:193.62:0:2.97:74.35,1.63E5,2.99E5,1.00:1.84,0.37,,
,0.89,5.73,505.9969,0.15 - 0.65,1,2E5,505.9973,0.51,3.25E4,505.9972,0.52,9.64E3,505.9965,0.52,2.26E5,505.9971,0.53,2.71E5,505.9964,0.49,1.96E5,505.9965,0.51,7.62E5,-,-,0,505.9971,0.52,3.73E4,505.9971,0.50,3.04E5,3.37:1.00:23.39:28.13:20.37:78.99:0:3.86:31.48,1.47E5,2.76E5,1.00:1.87,0.51,,
,0.88,3.23,412.1923,3.81 - 4.85,1,3.7E4,412.1926,4.52,5.15E4,412.1924,4.55,2.66E4,412.1922,4.54,4.09E4,412.1925,4.55,3.22E4,412.1916,4.54,3.99E4,412.1923,4.54,2.3E4,412.1922,4.54,5.42E4,412.1926,4.56,3.07E4,412.1926,4.55,3.53E4,1.94:1.00:1.54:1.21:1.50:0.87:2.04:1.16:1.33,3.82E4,3.58E4,1.00:0.94,4.54,,
,0.88,4.47,316.9475,0.10 - 5.20,1,2.4E6,316.9478,0.18,1.4E6,316.9473,0.19,4.95E6,316.9477,0.18,3.71E6,316.9476,0.18,1.22E6,-,-,-,316.9474,0.20,2.7E6,316.9473,0.19,3.14E6,316.9475,0.17,9.85E5,316.9478,0.18,9.69E5,0.28:1.00:0.75:0.25:-:0.54:0.63:0.20:0.20,2.82E6,1.95E6,1.00:0.69,0.18,,
,0.88,3.97,502.1566,2.37 - 6.97,1,1.1E5,502.1567,4.54,7.29E4,502.1566,4.49,1.17E5,502.1568,4.54,6.8E4,502.1566,4.39,1.12E5,502.1561,4.64,1.01E5,502.1567,4.73,1.4E5,502.1567,4.68,1.05E5,502.1565,4.44,8.01E4,502.1567,4.47,1.59E5,0.63:1.00:0.58:0.96:0.86:1.20:0.90:0.69:1.37,9.4E4,1.21E5,1.00:1.29,4.55,,
,0.88,3.43,489.1716,0.24 - 0.65,1,6.6E4,489.1722,0.51,3.22E4,489.1717,0.52,5.95E4,489.1712,0.52,5.72E4,489.1717,0.49,5.7E4,489.1711,0.50,1.06E5,489.1712,0.52,1.11E5,489.1713,0.51,5.87E4,489.1727,0.52,8.05E3,489.1716,0.50,1.04E5,0.54:1.00:0.96:0.96:1.78:1.86:0.99:0.14:1.74,6.24E4,7.03E4,1.00:1.13,0.51,,
,0.87,3.01,306.9076,0.27 - 6.37,1,4.1E4,306.9076,1.81,3.26E4,306.9076,1.80,3.92E4,306.9076,1.83,4.32E4,306.9076,1.81,5.05E4,306.9076,1.81,3.74E4,306.9077,1.80,3.98E4,306.9076,1.81,5.01E4,306.9077,1.82,3.52E4,306.9076,1.81,3.71E4,0.83:1.00:1.10:1.29:0.96:1.02:1.28:0.90:0.95,4.06E4,4.06E4,1.00:1.00,1.81,,
,0.87,5.63,507.9938,0.25 - 0.65,1,1.9E5,507.9943,0.51,2.78E4,507.9940,0.52,7.69E3,507.9935,0.52,2.11E5,507.9939,0.53,2.51E5,507.9932,0.49,1.86E5,507.9933,0.51,7E5,-,-,0,507.9948,0.54,2.73E4,507.9938,0.50,2.79E5,3.62:1.00:27.39:32.66:24.15:91.04:0:3.55:36.23,1.37E5,2.52E5,1.00:1.84,0.52,,
,0.87,4.40,360.0127,0.34 - 2.25,1,1.4E5,360.0124,1.89,6.56E4,360.0127,1.91,2.68E5,360.0126,1.90,1.33E5,360.0127,1.91,3.7E4,360.0126,1.90,2.96E5,360.0128,1.90,5.73E4,360.0126,1.92,2.36E5,360.0127,1.91,3.21E4,360.0129,1.92,1.23E5,0.24:1.00:0.50:0.14:1.10:0.21:0.88:0.12:0.46,1.6E5,1.12E5,1.00:0.70,1.91,,
,0.86,3.76,402.1636,3.84 - 4.78,1,6.9E4,402.1645,4.54,7.56E4,402.1636,4.55,4.31E4,402.1634,4.54,8.64E4,402.1637,4.55,4.69E4,402.1627,4.54,6.36E4,402.1634,4.54,8.5E4,402.1634,4.56,1.3E5,402.1637,4.56,4.85E4,402.1637,4.55,4.6E4,1.75:1.00:2.01:1.09:1.48:1.97:3.02:1.13:1.07,6.31E4,7.74E4,1.00:1.23,4.55,,
,0.86,3.04,461.3299,3.56 - 4.27,1,4.1E4,461.3297,4.13,2.23E4,461.3302,4.14,4.1E4,461.3297,4.14,4.93E4,461.3303,4.14,4.57E4,461.3298,4.13,4.36E4,461.3304,4.14,2.74E4,461.3297,4.14,5.36E4,461.3299,4.15,3.77E4,461.3299,4.15,4.45E4,0.54:1.00:1.20:1.11:1.06:0.67:1.31:0.92:1.09,4.04E4,4.08E4,1.00:1.01,4.14,,
,0.86,3.18,351.1342,0.10 - 0.60,1,2.4E5,351.1340,0.16,2.16E5,351.1342,0.17,2.62E5,351.1343,0.16,1.54E5,351.1346,0.16,2.55E5,351.1349,0.16,3.37E5,351.1339,0.51,4.64E4,351.1343,0.17,4.26E5,351.1335,0.15,6.02E4,351.1343,0.16,4E5,0.83:1.00:0.59:0.98:1.29:0.18:1.63:0.23:1.53,2.45E5,2.33E5,1.00:0.95,0.20,,
,0.86,3.85,490.1123,1.64 - 3.23,1,4.3E4,490.1121,3.09,6.33E4,490.1127,3.10,3.61E4,490.1121,3.09,3.75E4,490.1122,3.10,2.01E4,490.1121,3.10,3.52E4,490.1122,3.10,2.08E4,490.1121,3.10,4.68E4,490.1122,3.10,5.97E4,490.1126,3.11,6.56E4,1.75:1.00:1.04:0.56:0.98:0.58:1.30:1.65:1.82,3.85E4,4.82E4,1.00:1.25,3.10,,
,0.85,4.41,296.8901,0.10 - 0.27,1,1.4E6,296.8900,0.16,2.65E6,296.8902,0.17,2.19E6,-,-,0,296.8901,0.18,1.82E6,296.8901,0.18,1.64E6,296.8900,0.20,7.37E5,-,-,0,296.8901,0.17,2.69E6,296.8903,0.16,1.22E6,1.21:1.00:0:0.83:0.75:0.34:0:1.23:0.56,1.66E6,1.16E6,1.00:0.70,0.17,,
,0.85,3.17,253.1443,0.10 - 5.41,1,1.8E6,253.1446,0.16,2.34E6,253.1443,0.15,2.31E6,253.1441,0.40,1.09E6,253.1441,0.41,1.59E6,253.1440,0.36,1.79E6,253.1441,0.39,1.95E6,253.1444,0.15,1.64E6,-,-,-,253.1444,0.16,1.65E6,1.01:1.00:0.47:0.69:0.77:0.84:0.71:-:0.71,1.83E6,1.74E6,1.00:0.95,0.27,,
,0.84,3.29,428.1876,3.82 - 4.82,1,3.2E4,428.1879,4.52,4.15E4,428.1877,4.55,2.09E4,428.1877,4.54,3.68E4,428.1879,4.55,2.81E4,428.1868,4.54,3.67E4,428.1876,4.54,2.33E4,428.1876,4.56,5.09E4,428.1877,4.54,2.23E4,428.1879,4.55,2.47E4,1.99:1.00:1.76:1.35:1.76:1.12:2.44:1.07:1.18,3.28E4,3.03E4,1.00:0.92,4.54,,
,0.84,3.17,388.0443,0.59 - 3.34,1,7.9E4,388.0444,2.84,5.74E4,388.0446,2.85,8.97E4,388.0436,2.84,8.46E4,388.0446,2.85,5.84E4,388.0445,2.84,1.15E5,388.0446,2.85,7.55E4,388.0435,2.85,8.46E4,388.0444,2.86,7.26E4,388.0445,2.85,7.58E4,0.64:1.00:0.94:0.65:1.28:0.84:0.94:0.81:0.85,8.09E4,7.72E4,1.00:0.95,2.85,,
,0.84,3.71,492.1094,1.54 - 3.23,1,4E4,492.1093,3.09,6.12E4,492.1094,3.10,3.52E4,492.1093,3.10,3.63E4,492.1095,3.10,1.96E4,492.1092,3.10,3.27E4,492.1096,3.10,1.86E4,492.1094,3.10,4.43E4,492.1095,3.10,5.54E4,492.1094,3.11,6.07E4,1.74:1.00:1.03:0.56:0.93:0.53:1.26:1.58:1.72,3.7E4,4.48E4,1.00:1.21,3.10,,
,0.84,3.14,390.0413,0.66 - 3.32,1,7.1E4,390.0412,2.84,5.27E4,390.0415,2.85,8.12E4,390.0414,2.85,7.27E4,390.0414,2.85,5.13E4,390.0413,2.84,1.02E5,390.0415,2.85,6.76E4,390.0404,2.85,7.74E4,390.0414,2.86,6.32E4,390.0414,2.85,6.84E4,0.65:1.00:0.90:0.63:1.26:0.83:0.95:0.78:0.84,7.2E4,6.92E4,1.00:0.96,2.85,,
,0.83,3.21,278.1767,1.02 - 2.62,1,3.3E4,278.1764,2.39,3.13E4,278.1769,2.38,4.16E4,278.1769,2.38,2.92E4,278.1769,2.39,1.87E4,278.1768,2.38,3.92E4,278.1769,2.39,2.38E4,278.1763,2.39,5.44E4,278.1764,2.39,2.91E4,278.1769,2.39,2.86E4,0.75:1.00:0.70:0.45:0.94:0.57:1.31:0.70:0.69,3.2E4,3.4E4,1.00:1.06,2.39,,
,0.83,3.11,433.2985,2.62 - 3.51,1,3.4E4,433.2982,3.38,1.89E4,433.2987,3.39,3.43E4,433.2984,3.39,3.75E4,433.2986,3.40,3.85E4,433.2985,3.39,3.67E4,433.2987,3.40,2.92E4,433.2984,3.39,4.04E4,433.2987,3.40,3.06E4,433.2987,3.40,3.65E4,0.55:1.00:1.09:1.12:1.07:0.85:1.18:0.89:1.06,3.32E4,3.42E4,1.00:1.03,3.39,,
,0.83,3.03,460.0445,0.59 - 2.27,1,4.4E4,460.0445,2.15,2.1E4,460.0446,2.15,4.96E4,460.0440,2.15,5.43E4,460.0445,2.15,4.78E4,460.0446,2.14,4.82E4,460.0446,2.15,3.9E4,460.0440,2.15,5.66E4,460.0446,2.15,4.48E4,460.0446,2.15,3.76E4,0.42:1.00:1.09:0.96:0.97:0.79:1.14:0.90:0.76,4.42E4,4.45E4,1.00:1.01,2.15,,
,0.83,3.64,600.7061,0.10 - 0.23,1,3.4E5,-,-,0,600.7061,0.17,4.9E5,600.7057,0.18,7.31E5,600.7063,0.18,3.34E5,600.7061,0.18,2.79E5,-,-,0,600.7063,0.17,5.18E5,600.7059,0.17,4.82E5,600.7064,0.16,2.24E5,0:1.00:1.49:0.68:0.57:0:1.06:0.98:0.46,3.67E5,3.06E5,1.00:0.83,0.17,,
,0.83,4.16,540.7506,0.10 - 0.25,1,4.9E5,540.7508,0.16,6.07E5,540.7510,0.17,7.63E5,540.7504,0.18,8.58E5,540.7501,0.18,5.75E5,-,-,0,-,-,0,540.7505,0.17,6.52E5,540.7510,0.17,6.08E5,540.7505,0.16,3.84E5,0.80:1.00:1.12:0.75:0:0:0.85:0.80:0.50,5.61E5,4.11E5,1.00:0.73,0.17,,
,0.83,5.19,295.1550,0.10 - 0.66,1,4.6E5,295.1546,0.16,3.66E5,295.1549,0.15,1.11E6,-,-,-,295.1550,0.16,2.61E5,295.1555,0.16,5.99E5,295.1552,0.39,1.84E5,295.1550,0.15,4.39E5,295.1549,0.15,4.65E5,295.1549,0.13,2.72E5,0.33:1.00:-:0.23:0.54:0.17:0.39:0.42:0.24,5.85E5,3.4E5,1.00:0.58,0.18,,
,0.82,3.45,413.9863,0.23 - 0.65,1,5.8E4,413.9865,0.38,8.07E4,413.9865,0.42,1.06E5,413.9855,0.40,2.41E4,413.9863,0.41,4.05E4,413.9859,0.41,5.49E4,413.9863,0.43,4.59E4,413.9868,0.41,3.89E4,413.9868,0.42,1.03E5,413.9864,0.42,2.73E4,0.76:1.00:0.23:0.38:0.52:0.43:0.37:0.97:0.26,6.12E4,5.38E4,1.00:0.88,0.41,,
