Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN15_G00_neg m/z,LCN15_G00_neg RT mean,LCN15_G00_neg Normalized Area,LCN15_G09_neg m/z,LCN15_G09_neg RT mean,LCN15_G09_neg Normalized Area,LCN15_G10_neg m/z,LCN15_G10_neg RT mean,LCN15_G10_neg Normalized Area,LCN15_G11_neg m/z,LCN15_G11_neg RT mean,LCN15_G11_neg Normalized Area,LCN15_G04_neg m/z,LCN15_G04_neg RT mean,LCN15_G04_neg Normalized Area,LCN15_G05_neg m/z,LCN15_G05_neg RT mean,LCN15_G05_neg Normalized Area,LCN15_G06_neg m/z,LCN15_G06_neg RT mean,LCN15_G06_neg Normalized Area,LCN15_G07_neg m/z,LCN15_G07_neg RT mean,LCN15_G07_neg Normalized Area,LCN15_G08_neg m/z,LCN15_G08_neg RT mean,LCN15_G08_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.43,4.70,506.8079,3.76 - 7.09,1,2.7E3,506.8073,4.11,1.58E3,506.8078,4.26,3.59E3,506.8098,4.40,9.26E2,506.8088,4.47,2.3E3,506.8089,4.09,8.16E2,506.8068,4.14,2.18E3,506.8071,4.66,5.08E3,506.8076,4.27,3.35E3,506.8074,4.53,4.6E3,0.72:1.64:0.42:1.05:0.37:1.00:2.32:1.53:2.11,2.1E3,3.21E3,0.65:1.00,4.32,,
,0.43,3.09,712.7553,17.69 - 20.09,1,2E4,712.7539,18.25,3.91E4,712.7550,18.44,2.88E4,712.7549,18.33,1.06E4,712.7546,17.74,1.63E3,712.7570,18.10,1.83E4,712.7546,18.51,2.22E4,712.7570,17.82,1.37E4,712.7545,18.90,1.07E4,712.7559,18.57,3.76E4,1.76:1.30:0.48:0.07:0.83:1.00:0.61:0.48:1.69,2E4,2.05E4,0.98:1.00,18.30,,
,0.43,5.19,814.7869,7.87 - 9.73,1,2.1E3,814.7874,8.51,1.08E3,814.7887,8.32,4E3,814.7880,8.45,3.71E3,814.7905,8.83,1.89E3,814.7855,8.02,8.15E2,814.7900,9.37,1.37E3,814.7797,8.29,1.51E3,814.7882,8.69,1.2E3,814.7844,9.21,3.15E3,0.79:2.92:2.71:1.38:0.59:1.00:1.11:0.88:2.30,2.67E3,1.61E3,1.66:1.00,8.63,,
,0.43,5.30,600.7982,7.21 - 9.84,1,2E3,600.7987,8.62,8.19E2,600.7993,8.44,3.57E3,600.7982,9.23,7.67E2,600.7988,8.64,5.38E3,600.7991,9.59,1.13E3,600.7985,7.24,3.55E2,600.7963,8.71,2.56E3,600.7969,8.17,1.54E3,600.7981,8.39,2.18E3,2.31:10.05:2.16:15.16:3.20:1.00:7.21:4.35:6.15,2.63E3,1.55E3,1.69:1.00,8.56,,
,0.43,4.40,440.9009,6.64 - 8.42,1,570.2,440.9010,7.24,2.81E2,440.9011,7.76,3.87E2,440.9001,7.50,6.22E2,440.9008,8.37,1.4E3,440.9001,6.78,4.64E2,440.9012,7.00,2.68E2,440.9010,6.82,6.48E2,440.9009,7.63,3.61E2,440.9016,7.11,7.04E2,1.05:1.44:2.32:5.20:1.73:1.00:2.41:1.34:2.62,6.72E2,4.89E2,1.37:1.00,7.36,,
,0.43,3.75,574.8492,12.57 - 15.23,1,3.4E3,574.8506,14.03,1.73E3,574.8489,14.53,3.76E3,574.8475,13.05,3.09E3,574.8490,14.26,6.28E3,574.8500,13.39,3.12E3,574.8486,13.05,2.18E3,574.8501,13.66,4.08E3,574.8507,13.62,1.85E3,574.8474,12.77,4.29E3,0.79:1.72:1.42:2.87:1.43:1.00:1.87:0.85:1.97,3.71E3,3.11E3,1.20:1.00,13.60,,
,0.43,3.89,657.1561,3.79 - 4.11,1,6.3E3,657.1553,3.92,7.83E3,657.1578,3.93,4.37E3,657.1555,3.92,1.06E4,657.1556,3.92,4.96E3,657.1561,3.93,5.7E3,-,-,-,657.1564,3.93,6.21E3,657.1555,3.94,1.49E3,657.1562,3.92,9.05E3,1.00:0.56:1.35:0.63:0.73:-:0.79:0.19:1.16,6.93E3,5.61E3,1.23:1.00,3.93,,
,0.43,3.73,401.8842,20.54 - 21.98,1,1.4E3,401.8837,21.20,1.55E3,401.8828,20.62,1.56E3,401.8846,21.07,1.15E3,401.8837,20.63,6.83E2,401.8847,21.13,1.4E3,401.8847,20.99,1.23E3,401.8828,20.60,6.39E2,401.8855,21.69,6.68E2,401.8856,20.92,3.42E3,1.26:1.26:0.93:0.55:1.13:1.00:0.52:0.54:2.77,1.24E3,1.47E3,0.84:1.00,20.98,,
,0.43,4.06,814.7818,18.74 - 19.84,1,2.5E3,814.7842,19.36,2.6E3,814.7816,19.33,1.79E3,814.7802,18.84,1.37E3,814.7796,19.36,2.73E3,814.7844,19.29,1.86E3,814.7795,19.35,2.43E3,814.7872,19.23,4.24E3,814.7795,19.40,2.38E3,814.7801,19.58,2.69E3,1.07:0.74:0.57:1.12:0.77:1.00:1.75:0.98:1.11,2.13E3,2.72E3,0.78:1.00,19.30,,
,0.43,3.56,586.8090,17.42 - 20.15,1,4.2E4,586.8091,18.60,2.41E4,-,-,-,586.8070,18.37,5.62E4,586.8091,18.86,5.69E4,586.8085,17.70,4.45E4,586.8104,17.88,5.07E4,586.8101,18.14,1.78E4,586.8087,18.31,1.72E4,586.8091,18.29,6.96E4,0.47:-:1.11:1.12:0.88:1.00:0.35:0.34:1.37,4.57E4,3.99E4,1.15:1.00,18.27,,
,0.43,3.63,756.8252,12.00 - 15.06,1,2.1E3,756.8243,13.62,1.15E3,756.8259,13.94,3.28E3,756.8268,13.34,1.52E3,756.8229,13.87,2.99E3,756.8237,13.57,1.92E3,756.8250,12.67,2.48E3,756.8248,12.14,1.96E3,756.8253,12.41,6.18E2,756.8282,13.30,2.64E3,0.47:1.32:0.61:1.21:0.77:1.00:0.79:0.25:1.06,2.24E3,1.92E3,1.16:1.00,13.21,,
,0.43,3.04,611.8597,19.24 - 20.14,1,2.2E3,611.8591,19.52,1.89E3,611.8577,19.41,1.4E3,611.8610,19.61,3.01E3,611.8611,19.88,2.39E3,611.8595,20.00,2.21E3,611.8589,19.45,6.28E2,611.8630,19.31,1.8E3,611.8584,19.99,2.75E3,611.8588,19.53,3.37E3,3.01:2.23:4.79:3.81:3.52:1.00:2.87:4.39:5.37,2.17E3,2.15E3,1.01:1.00,19.63,,
,0.43,3.82,354.9240,13.99 - 15.57,3,1.3E3,354.9233,15.16,4.99E2,354.9247,14.43,7.77E2,354.9246,14.16,1.76E3,354.9240,15.33,2.94E3,354.9240,14.65,1.54E3,354.9240,14.49,1.51E3,354.9241,14.73,1.15E3,354.9240,15.04,2.71E2,354.9233,14.18,1.68E3,0.33:0.51:1.16:1.95:1.02:1.00:0.76:0.18:1.11,1.49E3,1.23E3,1.21:1.00,14.69,,
,0.43,4.81,651.8695,13.87 - 14.94,1,772.6,651.8701,14.72,3.94E2,651.8670,14.57,3.17E2,651.8693,13.95,9.82E2,651.8712,14.19,7.4E2,651.8672,14.76,9.19E2,651.8706,13.95,8.56E2,651.8694,14.16,1.2E3,651.8694,14.87,5.09E2,651.8711,13.92,1.04E3,0.46:0.37:1.15:0.87:1.07:1.00:1.40:0.59:1.22,6.08E2,9.04E2,0.67:1.00,14.34,,
,0.43,6.26,323.1892,0.95 - 1.55,1,1E4,323.1888,1.46,1.64E4,323.1896,1.46,1.12E4,-,-,0,-,-,0,-,-,0,-,-,0,323.1888,1.45,5.06E4,-,-,0,323.1895,1.46,1.54E4,1.00:0.68:0:0:0:0:3.09:0:0.94,6.91E3,1.32E4,0.52:1.00,1.46,,
,0.43,3.47,668.7852,4.68 - 6.08,1,572.2,668.7847,4.89,3.8E2,668.7856,5.02,5.52E2,668.7847,5.24,3.34E2,668.7834,5.73,8.79E2,668.7866,5.80,8.62E2,668.7855,5.75,9.9E2,668.7856,5.09,2.8E2,668.7830,4.71,3.26E2,668.7877,5.12,5.47E2,0.38:0.56:0.34:0.89:0.87:1.00:0.28:0.33:0.55,5.36E2,6.01E2,0.89:1.00,5.26,,
,0.43,3.13,882.7760,12.52 - 14.54,1,834.2,882.7759,13.75,1.03E3,882.7741,13.72,5.98E2,882.7787,13.51,6.99E2,882.7780,14.01,9.53E2,882.7733,12.62,9.77E2,882.7756,13.23,9.51E2,882.7764,13.86,1E3,882.7766,13.68,6.2E2,882.7753,14.49,6.8E2,1.08:0.63:0.73:1.00:1.03:1.00:1.06:0.65:0.71,8.19E2,8.46E2,0.97:1.00,13.65,,
,0.43,4.02,682.8199,9.06 - 10.22,1,1E3,682.8227,9.67,4.91E2,682.8208,9.57,8.25E2,682.8208,9.33,1.83E3,682.8214,9.25,1.45E3,682.8208,10.02,5.29E2,682.8218,9.92,4.98E2,682.8182,9.69,5.42E2,682.8152,9.59,7.91E2,682.8173,9.68,2.14E3,0.99:1.66:3.67:2.92:1.06:1.00:1.09:1.59:4.31,1.15E3,9.01E2,1.28:1.00,9.64,,
,0.43,3.67,733.8314,13.71 - 15.97,1,1.7E3,733.8304,14.18,1.35E3,733.8306,14.25,1.48E3,733.8331,13.79,1.25E3,733.8303,14.63,3.52E3,733.8323,14.30,6.12E2,733.8317,14.63,9.52E2,733.8309,14.98,3.79E3,733.8325,14.91,1.31E3,733.8307,14.77,1.4E3,1.42:1.55:1.31:3.69:0.64:1.00:3.98:1.37:1.47,1.9E3,1.61E3,1.18:1.00,14.49,,
,0.43,3.59,348.9074,12.88 - 14.50,1,1.5E3,348.9083,13.57,4.09E2,348.9075,14.00,1.54E3,348.9077,13.27,1.34E3,348.9076,14.08,2.35E3,348.9068,13.37,1.83E3,348.9067,12.97,2.65E3,348.9075,13.61,1.11E3,348.9070,14.26,1.06E3,348.9077,13.21,1.48E3,0.15:0.58:0.51:0.89:0.69:1.00:0.42:0.40:0.56,1.41E3,1.63E3,0.87:1.00,13.59,,
,0.43,3.28,581.4329,9.29 - 9.85,1,2E3,581.4328,9.67,1.23E3,-,-,-,581.4332,9.69,3.2E3,581.4326,9.71,1.91E3,581.4337,9.69,1.92E3,581.4330,9.67,3.09E3,581.4328,9.67,1.74E3,581.4335,9.64,6.55E2,581.4321,9.65,2.45E3,0.40:-:1.04:0.62:0.62:1.00:0.56:0.21:0.79,2.11E3,1.97E3,1.07:1.00,9.68,,
,0.43,4.21,602.7958,3.10 - 5.30,1,586.2,602.7960,4.86,4.14E2,602.7971,5.07,4.4E2,602.7947,4.66,6.74E2,602.7960,3.15,1.18E3,602.7952,5.24,3.55E2,602.7959,5.00,6.17E2,602.7956,4.66,3.57E2,602.7950,5.22,3.22E2,602.7966,4.71,9.15E2,0.67:0.71:1.09:1.91:0.58:1.00:0.58:0.52:1.48,6.77E2,5.13E2,1.32:1.00,4.73,,
,0.43,6.94,814.7806,19.47 - 20.31,1,4.3E3,814.7795,20.01,2.63E3,814.7756,19.79,8.8E3,814.7839,20.22,2.66E3,814.7798,19.87,1.03E4,814.7805,20.02,3.46E3,814.7811,19.66,3.14E3,814.7835,19.64,3.49E3,814.7824,19.59,1.67E3,814.7787,19.69,2.67E3,0.84:2.80:0.85:3.28:1.10:1.00:1.11:0.53:0.85,6.09E3,2.89E3,2.11:1.00,19.83,,
,0.43,3.62,651.8692,12.26 - 14.06,1,1E3,651.8680,13.61,7.14E2,651.8699,13.96,1.06E3,651.8665,13.32,1.06E3,651.8677,13.86,1.53E3,651.8709,12.65,8.43E2,651.8690,12.61,1.19E3,651.8683,12.36,9.29E2,651.8720,13.70,5.63E2,651.8703,13.34,1.17E3,0.60:0.89:0.89:1.29:0.71:1.00:0.78:0.47:0.98,1.09E3,9.38E2,1.16:1.00,13.27,,
,0.43,3.18,668.7852,6.69 - 8.71,1,797.3,668.7864,7.88,5.28E2,668.7865,7.44,4.45E2,668.7871,7.21,5.38E2,668.7851,8.36,1.6E3,668.7843,7.25,6.09E2,668.7845,7.07,8.83E2,668.7830,7.39,8.63E2,668.7833,7.82,9.26E2,668.7863,6.82,7.82E2,0.60:0.50:0.61:1.81:0.69:1.00:0.98:1.05:0.89,7.78E2,8.13E2,0.96:1.00,7.47,,
,0.43,7.31,546.8380,1.66 - 4.44,1,4E3,546.8396,2.55,2.89E3,546.8390,2.22,3.26E3,546.8379,1.90,2.45E3,546.8392,2.00,1.46E4,546.8364,1.81,5.32E3,546.8368,2.28,1.87E3,546.8373,2.35,1.8E3,546.8381,2.41,7.66E2,546.8378,2.34,3.36E3,1.54:1.74:1.31:7.78:2.84:1.00:0.96:0.41:1.80,5.8E3,2.62E3,2.21:1.00,2.21,,
,0.43,6.21,361.0795,0.97 - 1.36,1,3.5E3,361.0794,1.28,1.01E4,361.0797,1.29,3.97E3,361.0795,1.28,4.95E3,-,-,0,361.0800,1.29,4.01E3,361.0793,1.28,4.19E3,-,-,0,-,-,0,361.0789,1.28,4.48E3,2.41:0.95:1.18:0:0.96:1.00:0:0:1.07,4.76E3,2.54E3,1.88:1.00,1.29,,
,0.43,4.68,671.7968,8.89 - 10.16,1,800.9,671.7962,9.44,1.07E3,671.7960,10.11,6.47E2,671.7971,9.31,9.61E2,671.7989,8.98,1.18E3,671.7963,9.28,4.88E2,671.7963,9.70,7.24E2,671.7964,9.60,5.1E2,671.7988,9.66,1.07E3,671.7949,9.79,5.59E2,1.47:0.89:1.33:1.63:0.67:1.00:0.70:1.48:0.77,9.65E2,6.7E2,1.44:1.00,9.54,,
,0.43,3.82,651.8712,11.97 - 13.94,1,1.4E3,651.8693,13.89,9.02E2,651.8722,13.44,1.48E3,651.8721,13.00,1.32E3,651.8702,13.62,1.13E3,651.8713,13.57,1.33E3,651.8729,13.22,1.45E3,651.8722,12.88,1.51E3,651.8708,12.61,1.13E3,651.8693,12.25,1.91E3,0.62:1.02:0.91:0.79:0.92:1.00:1.05:0.78:1.32,1.21E3,1.47E3,0.82:1.00,13.16,,
,0.43,4.56,768.7836,11.41 - 13.84,1,2E3,768.7875,13.42,1.58E3,768.7819,12.59,3.09E3,768.7828,12.35,3.46E3,768.7802,13.78,1.36E3,768.7889,12.15,1.53E3,768.7825,11.49,2.25E3,768.7824,12.75,6.46E2,768.7847,12.83,9.59E2,768.7815,12.39,3E3,0.70:1.37:1.54:0.60:0.68:1.00:0.29:0.43:1.33,2.37E3,1.68E3,1.41:1.00,12.64,,
,0.43,3.08,583.8836,7.98 - 8.77,1,637,583.8820,8.56,4.72E2,583.8842,8.26,5.18E2,583.8813,8.67,7.2E2,583.8827,8.56,8.1E2,583.8844,8.02,4E2,583.8840,8.40,8.16E2,583.8865,8.31,8.23E2,583.8829,8.54,5.89E2,583.8846,8.28,5.83E2,0.58:0.64:0.88:0.99:0.49:1.00:1.01:0.72:0.72,6.3E2,6.42E2,0.98:1.00,8.40,,
,0.43,6.22,498.3380,20.96 - 21.60,2,555.2,498.3378,21.17,4.66E2,498.3384,21.51,3.02E2,498.3391,21.08,9.41E2,498.3378,21.22,1.3E3,498.3373,21.27,4.4E2,498.3386,21.44,2.87E2,498.3379,21.03,6.51E2,498.3378,21.15,2.46E2,498.3372,21.45,3.67E2,1.62:1.05:3.28:4.52:1.53:1.00:2.27:0.86:1.28,7.51E2,3.98E2,1.89:1.00,21.26,,
,0.43,5.04,678.8100,15.62 - 16.52,1,1.6E3,678.8079,16.10,8.27E2,678.8107,16.38,1.53E3,678.8065,15.90,8.55E2,678.8102,15.98,1.75E3,678.8082,15.78,1.63E3,678.8128,16.13,1.92E3,678.8105,15.92,1.72E3,678.8103,16.19,1.08E3,678.8127,15.71,3.24E3,0.43:0.79:0.44:0.91:0.85:1.00:0.89:0.56:1.69,1.24E3,1.92E3,0.65:1.00,16.01,,
,0.43,4.98,718.6110,13.32 - 13.68,1,2E3,718.6112,13.44,7.27E2,718.6113,13.50,5.3E3,-,-,0,-,-,0,718.6111,13.55,2.88E3,718.6107,13.51,4.38E3,718.6111,13.51,2.9E3,-,-,0,718.6103,13.47,1.35E3,0.17:1.21:0:0:0.66:1.00:0.66:0:0.31,1.51E3,2.3E3,0.65:1.00,13.50,,
,0.43,4.85,348.9085,6.10 - 8.08,1,682.4,348.9088,6.89,1.13E3,348.9082,7.15,5.81E2,348.9088,6.92,9.8E2,348.9078,7.64,6.52E2,348.9079,6.52,4.3E2,348.9087,6.67,4.7E2,348.9088,6.25,8.63E2,348.9088,7.38,5.26E2,348.9087,6.83,5.07E2,2.41:1.24:2.08:1.39:0.91:1.00:1.83:1.12:1.08,8.36E2,5.59E2,1.50:1.00,6.92,,
,0.43,8.20,419.2064,1.19 - 2.34,1,1.4E4,419.2063,1.94,1.93E4,419.2066,1.95,3.4E4,419.2065,1.95,2.95E4,-,-,0,-,-,0,419.2064,1.95,4.11E4,-,-,0,-,-,0,-,-,0,0.47:0.83:0.72:0:0:1.00:0:0:0,2.07E4,8.21E3,2.52:1.00,1.95,,
,0.43,3.93,654.7968,17.34 - 20.15,1,3.2E4,-,-,-,654.7971,18.27,3.7E4,654.7979,18.11,2.24E4,654.7969,17.89,4.98E4,654.7956,18.20,1.47E4,654.7958,18.42,3.19E4,654.7960,18.64,1.64E4,654.7960,18.90,1.02E4,654.7991,17.94,7.33E4,-:1.16:0.70:1.56:0.46:1.00:0.51:0.32:2.30,3.64E4,2.93E4,1.24:1.00,18.30,,
,0.43,8.34,488.3577,0.81 - 2.02,1,8.6E3,488.3578,1.90,1.37E4,-,-,0,488.3579,1.90,4.56E3,-,-,0,488.3573,1.91,1.7E4,-,-,0,488.3573,1.91,2.42E4,-,-,0,488.3584,1.84,1.75E4,1.00:0:0.33:0:1.24:0:1.76:0:1.28,4.57E3,1.17E4,0.39:1.00,1.89,,
,0.43,3.10,586.9000,12.96 - 15.12,2,1.1E3,586.8990,14.73,9.4E2,586.9000,14.00,8.17E2,586.9006,13.03,5.15E2,586.8997,15.03,2.35E3,586.9004,14.26,1.12E3,586.9012,14.41,2.05E3,586.8990,14.30,1.22E3,586.9008,14.56,5.33E2,586.8997,13.92,7.07E2,0.46:0.40:0.25:1.14:0.55:1.00:0.59:0.26:0.34,1.15E3,1.13E3,1.03:1.00,14.25,,
,0.43,3.19,749.8127,4.15 - 5.38,1,569.6,749.8146,5.14,4.38E2,749.8159,5.01,6.76E2,749.8104,5.30,3.54E2,749.8136,4.16,8.7E2,749.8104,4.81,6.9E2,749.8108,5.12,4.77E2,749.8130,5.04,5.73E2,749.8102,5.14,2.58E2,749.8151,5.17,7.9E2,0.92:1.42:0.74:1.82:1.45:1.00:1.20:0.54:1.66,5.84E2,5.58E2,1.05:1.00,4.99,,
,0.43,3.85,710.7664,3.68 - 5.74,1,2.2E3,710.7637,4.92,8.56E2,710.7703,4.85,3.99E3,710.7646,5.26,1.71E3,710.7657,4.09,3.25E3,710.7654,5.08,2.54E3,710.7666,5.58,1.34E3,710.7712,4.83,2.73E3,710.7668,5.02,1.46E3,710.7635,4.94,2.04E3,0.64:2.97:1.27:2.42:1.90:1.00:2.04:1.09:1.52,2.45E3,2.02E3,1.21:1.00,4.95,,
,0.43,7.31,519.2943,2.74 - 3.71,1,1.5E4,519.2943,3.38,3.59E4,-,-,0,-,-,0,-,-,0,519.2947,3.39,4.29E4,519.2941,3.39,2.01E4,519.2942,3.39,3.34E4,-,-,0,-,-,0,1.78:0:0:0:2.13:1.00:1.66:0:0,8.98E3,1.93E4,0.47:1.00,3.39,,
,0.43,5.86,497.9091,0.62 - 1.55,1,9.1E3,497.9086,1.43,6.65E2,497.9094,1.44,1.77E4,497.9092,1.43,7.38E3,-,-,0,497.9094,1.43,6.94E3,497.9087,1.42,7.93E3,497.9088,1.42,2.23E4,497.9095,1.42,1.26E3,497.9094,1.43,1.76E4,0.08:2.24:0.93:0:0.88:1.00:2.82:0.16:2.22,6.44E3,1.12E4,0.58:1.00,1.43,,
,0.43,4.84,620.8557,3.86 - 5.96,1,1.9E3,620.8567,4.65,2.74E3,620.8564,4.84,1.1E3,620.8554,4.94,1.65E3,620.8552,4.08,3.73E3,620.8564,5.07,1.87E3,620.8560,4.88,3.38E3,620.8562,4.98,5.07E2,620.8553,5.29,4.02E2,620.8539,4.08,1.69E3,0.81:0.32:0.49:1.10:0.55:1.00:0.15:0.12:0.50,2.31E3,1.57E3,1.47:1.00,4.76,,
,0.43,3.77,400.1546,2.97 - 3.77,1,7.1E3,400.1551,3.66,6.91E3,400.1557,3.68,1.1E4,400.1537,3.68,7.61E3,-,-,0,400.1548,3.67,1.71E4,-,-,0,-,-,0,400.1544,3.65,8.77E3,400.1541,3.67,1.21E4,1.00:1.60:1.10:0:2.48:0:0:1.27:1.75,6.39E3,7.6E3,0.84:1.00,3.67,,
,0.43,3.06,610.8262,15.44 - 16.89,1,1.9E3,610.8262,15.54,1.57E3,610.8251,16.32,8.73E2,610.8256,16.67,1.94E3,610.8275,16.30,3.31E3,610.8252,15.82,1.59E3,610.8279,16.23,1.55E3,610.8259,16.53,2.9E3,610.8259,16.32,6.05E2,610.8264,15.98,2.85E3,1.02:0.56:1.25:2.14:1.03:1.00:1.88:0.39:1.84,1.93E3,1.9E3,1.01:1.00,16.19,,
,0.43,3.44,700.7974,14.33 - 15.63,1,989,700.8002,14.68,6.06E2,700.7991,14.72,8.48E2,700.7981,14.44,8.75E2,700.7979,15.02,1.86E3,700.7935,15.39,7.4E2,700.7959,14.50,1.32E3,700.7983,14.64,7.93E2,700.7969,15.55,4.46E2,700.7968,14.78,1.41E3,0.46:0.64:0.67:1.42:0.56:1.00:0.60:0.34:1.07,1.05E3,9.42E2,1.11:1.00,14.86,,
,0.43,4.31,447.9083,6.50 - 8.47,1,459.4,447.9086,7.01,2.34E2,447.9087,7.29,5.2E2,447.9080,7.43,3.66E2,447.9083,8.36,1.02E3,447.9087,6.85,3.22E2,447.9073,6.66,4.89E2,447.9090,6.59,4.84E2,447.9080,7.44,1.83E2,447.9084,7.17,5.18E2,0.48:1.06:0.75:2.09:0.66:1.00:0.99:0.37:1.06,5.35E2,3.99E2,1.34:1.00,7.20,,
,0.43,5.92,740.4201,3.97 - 4.75,1,8.3E3,740.4203,4.20,3.71E3,740.4210,4.55,7.97E3,740.4203,4.55,4.48E3,740.4211,4.53,7.52E3,740.4191,4.53,1.75E4,740.4201,4.53,1.12E4,740.4193,4.55,1.62E3,740.4194,4.55,1.2E4,-,-,-,0.33:0.71:0.40:0.67:1.56:1.00:0.14:1.07:-,5.92E3,1.06E4,0.56:1.00,4.50,,
,0.43,8.31,485.2778,1.02 - 1.41,1,3.1E3,485.2776,1.30,3.24E3,485.2778,1.31,2.04E3,485.2780,1.31,1.48E3,-,-,0,-,-,0,-,-,0,485.2776,1.31,1.25E4,485.2782,1.30,1.83E3,485.2777,1.31,6.99E3,1.00:0.63:0.46:0:0:0:3.86:0.56:2.16,1.69E3,4.27E3,0.40:1.00,1.31,,
,0.43,3.19,574.8507,4.62 - 8.24,1,8.1E3,574.8484,5.31,5.26E3,574.8492,6.75,1.49E4,574.8516,6.57,2.26E3,574.8499,5.23,8.97E3,574.8507,6.03,6.79E3,574.8491,6.16,6.72E3,574.8507,5.52,2.04E4,574.8551,5.53,2.77E3,574.8513,5.52,4.41E3,0.78:2.22:0.34:1.34:1.01:1.00:3.04:0.41:0.66,7.85E3,8.22E3,0.95:1.00,5.85,,
,0.43,3.01,583.8836,10.54 - 12.40,1,1.1E3,583.8857,12.32,6.06E2,583.8853,12.34,8.37E2,583.8835,10.67,8.39E2,583.8827,11.40,1.97E3,583.8814,11.37,1.02E3,583.8830,11.02,8.98E2,583.8845,11.44,1.27E3,583.8837,11.43,7.49E2,583.8823,11.24,1.37E3,0.67:0.93:0.93:2.19:1.13:1.00:1.42:0.83:1.52,1.06E3,1.06E3,1.00:1.00,11.47,,
,0.43,7.29,756.8271,7.85 - 12.75,1,2.3E3,756.8222,8.48,4.93E3,756.8333,8.25,2.77E3,756.8260,8.47,4.6E3,756.8245,8.53,1.03E3,756.8293,8.07,1.84E3,756.8257,8.06,1.58E3,756.8280,8.74,1.4E3,756.8261,8.72,1.02E3,756.8285,7.96,1.74E3,3.12:1.75:2.90:0.65:1.16:1.00:0.88:0.65:1.10,3.33E3,1.52E3,2.20:1.00,8.36,,
,0.43,3.38,710.8268,14.71 - 15.79,1,1.6E3,710.8281,14.76,1.05E3,710.8259,15.09,1.84E3,710.8276,14.96,5.51E2,710.8265,15.02,3.33E3,710.8279,15.43,2.25E3,710.8290,15.01,1.68E3,710.8250,15.36,1.32E3,710.8260,15.30,1.33E3,710.8248,15.13,1.15E3,0.63:1.09:0.33:1.98:1.34:1.00:0.78:0.79:0.68,1.69E3,1.55E3,1.09:1.00,15.12,,
,0.43,3.04,876.8207,12.05 - 14.32,1,1.9E3,876.8195,13.50,9.09E2,876.8198,13.80,1.45E3,876.8168,13.26,2.25E3,876.8239,14.12,2.99E3,876.8221,12.99,2.17E3,876.8229,13.25,2.14E3,876.8198,12.36,2.18E3,876.8218,14.00,1.29E3,876.8196,13.06,1.82E3,0.42:0.68:1.05:1.40:1.01:1.00:1.02:0.60:0.85,1.9E3,1.92E3,0.99:1.00,13.37,,
,0.43,7.20,367.2149,1.21 - 1.69,1,1.1E4,367.2149,1.60,1.63E4,367.2150,1.61,1.03E4,-,-,0,-,-,0,-,-,0,-,-,0,367.2149,1.60,5.78E4,-,-,0,367.2149,1.60,1.46E4,1.00:0.63:0:0:0:0:3.54:0:0.89,6.64E3,1.45E4,0.46:1.00,1.60,,
,0.43,6.45,1175.7736,18.91 - 20.23,1,6.7E3,1175.7743,19.63,7.01E3,1175.7783,19.02,1.23E4,1175.7671,19.24,6.86E3,1175.7720,19.49,1.06E4,1175.7725,19.21,4.43E3,1175.7754,19.53,8.37E3,1175.7734,19.52,5.73E3,1175.7771,19.11,1.13E3,1175.7727,19.42,3.88E3,0.84:1.47:0.82:1.27:0.53:1.00:0.69:0.14:0.46,9.2E3,4.71E3,1.95:1.00,19.35,,
,0.43,7.24,698.2862,13.14 - 14.42,2,1.3E3,698.2863,14.00,2.21E3,698.2853,14.31,2.71E3,698.2891,14.09,1.21E3,698.2836,13.57,1.12E3,698.2898,13.21,1.1E3,698.2860,13.51,5.84E2,698.2869,13.89,6.06E2,698.2842,14.35,6.58E2,698.2851,13.42,1.18E3,3.79:4.64:2.06:1.92:1.89:1.00:1.04:1.13:2.03,1.81E3,8.27E2,2.19:1.00,13.81,,
,0.43,3.34,749.8106,10.77 - 13.28,1,909,749.8085,12.60,4.22E2,749.8125,12.45,5.94E2,749.8074,11.65,1.55E3,749.8112,13.24,9.09E2,749.8102,11.43,4.76E2,749.8146,10.89,1.2E3,749.8076,12.00,8.85E2,749.8108,11.99,1.67E3,749.8121,11.57,4.69E2,0.35:0.49:1.29:0.75:0.40:1.00:0.73:1.38:0.39,8.7E2,9.4E2,0.92:1.00,11.98,,
,0.43,4.20,583.8832,5.81 - 7.33,1,600.8,583.8837,5.91,3.41E2,583.8839,6.10,9.57E2,583.8820,6.23,6.67E2,583.8818,7.23,7.82E2,583.8838,5.97,5.03E2,583.8829,6.03,1.11E3,583.8842,6.14,3.2E2,583.8848,6.27,1.47E2,583.8820,6.08,5.81E2,0.31:0.86:0.60:0.71:0.45:1.00:0.29:0.13:0.52,6.87E2,5.32E2,1.29:1.00,6.22,,
,0.42,3.37,396.8809,20.46 - 20.99,1,889.7,396.8807,20.60,4.26E2,396.8807,20.65,7.07E2,396.8807,20.68,8.4E2,396.8807,20.83,1.74E3,396.8808,20.58,5.74E2,396.8808,20.60,6.93E2,396.8817,20.65,1.12E3,-,-,-,396.8807,20.65,1.02E3,0.61:1.02:1.21:2.51:0.83:1.00:1.61:-:1.47,9.28E2,8.51E2,1.09:1.00,20.66,,
