Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,FABP1_C00_neg m/z,FABP1_C00_neg RT mean,FABP1_C00_neg Normalized Area,FABP1_C05_neg m/z,FABP1_C05_neg RT mean,FABP1_C05_neg Normalized Area,FABP1_C06_neg m/z,FABP1_C06_neg RT mean,FABP1_C06_neg Normalized Area,FABP1_C07_neg m/z,FABP1_C07_neg RT mean,FABP1_C07_neg Normalized Area,FABP1_C11_neg m/z,FABP1_C11_neg RT mean,FABP1_C11_neg Normalized Area,FABP1_C12_neg m/z,FABP1_C12_neg RT mean,FABP1_C12_neg Normalized Area,FABP1_C08_neg m/z,FABP1_C08_neg RT mean,FABP1_C08_neg Normalized Area,FABP1_C09_neg m/z,FABP1_C09_neg RT mean,FABP1_C09_neg Normalized Area,FABP1_C10_neg m/z,FABP1_C10_neg RT mean,FABP1_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.34,3.14,566.7662,10.67 - 12.12,1,672.1,-,-,-,566.7661,11.98,8.53E2,566.7655,10.70,9.3E2,566.7649,11.41,4.31E2,566.7673,11.60,5.57E2,566.7657,11.13,5.3E2,566.7662,11.52,7.06E2,566.7672,11.23,6.88E2,566.7668,10.90,6.81E2,-:1.53:1.67:0.78:1.00:0.95:1.27:1.24:1.22,6.6E2,6.92E2,1.00:1.05,11.31,,
,0.34,9.64,786.6485,9.77 - 10.20,1,2.9E3,786.6479,10.01,3.17E3,786.6474,10.02,9.09E3,-,-,0,786.6488,10.02,1.07E4,-,-,0,786.6478,9.98,4.43E2,-,-,0,-,-,0,786.6506,10.02,2.61E3,1.00:2.87:0:3.39:0:0.14:0:0:0.83,3.91E3,8.71E2,1.00:0.22,10.01,,
,0.34,5.24,586.8122,10.41 - 11.91,1,2.9E3,586.8124,10.75,4.34E3,586.8123,11.29,1.67E3,586.8110,11.02,1.8E3,586.8112,10.77,2.72E3,586.8136,10.56,5.92E3,586.8121,11.32,3.15E3,586.8134,10.92,1.66E3,586.8115,10.88,1.78E3,-,-,-,0.73:0.28:0.30:0.46:1.00:0.53:0.28:0.30:-,3.27E3,1.72E3,1.00:0.53,10.94,,
,0.34,3.87,386.8205,9.52 - 10.64,1,181,386.8201,9.85,2.38E2,-,-,-,386.8202,10.02,1.84E2,386.8202,10.49,2.69E2,386.8216,10.60,1.11E2,386.8203,10.14,1.91E2,386.8206,9.64,1.84E2,386.8207,9.78,1.09E2,386.8202,10.01,1.62E2,2.15:-:1.66:2.43:1.00:1.73:1.67:0.98:1.46,1.99E2,1.52E2,1.00:0.76,10.07,,
,0.34,6.82,318.8323,13.05 - 14.19,1,733.2,318.8322,13.68,1.06E3,-,-,-,318.8315,13.26,1.07E3,318.8323,13.51,8.78E2,318.8327,13.76,6.64E2,318.8323,14.10,1.09E3,318.8320,13.98,3.72E2,318.8327,14.03,3.9E2,318.8330,13.29,3.39E2,1.60:-:1.60:1.32:1.00:1.65:0.56:0.59:0.51,9.53E2,3.67E2,1.00:0.39,13.70,,
,0.34,20.50,717.4729,4.41 - 5.92,1,6.9E3,-,-,0,-,-,0,-,-,0,717.4722,5.68,2.31E3,-,-,0,-,-,0,717.4727,5.70,1.32E4,717.4729,5.69,2.88E4,717.4738,5.68,1.74E4,0:0:0:1.00:0:0:5.70:12.46:7.56,3.85E2,1.98E4,1.00:51.44,5.69,,
,0.34,4.84,802.8153,20.04 - 20.33,1,2.4E3,802.8149,20.22,3.39E3,-,-,0,-,-,0,802.8147,20.23,2.75E3,802.8164,20.24,1.54E3,802.8165,20.22,3.83E3,802.8132,20.22,2.94E3,802.8165,20.23,2.41E3,802.8148,20.21,4.49E3,2.21:0:0:1.79:1.00:2.49:1.91:1.57:2.92,1.92E3,3.28E3,1.00:1.71,20.23,,
,0.34,19.91,583.9545,2.13 - 2.57,1,2E3,-,-,0,583.9548,2.47,5.09E3,583.9545,2.43,5.39E3,583.9540,2.43,1.81E3,-,-,0,583.9547,2.43,5.33E3,-,-,0,-,-,0,-,-,0,0:1.00:1.06:0.36:0:1.05:0:0:0,2.94E3,0,1.00:0,2.44,,
,0.34,3.21,612.8244,14.49 - 16.55,1,278.3,612.8245,14.55,3.52E2,612.8199,15.99,2.48E2,612.8279,15.39,3.6E2,612.8221,15.50,1.81E2,612.8241,15.24,2.96E2,612.8280,15.66,1.94E2,612.8282,15.24,1.62E2,612.8248,16.30,3.4E2,612.8201,15.28,3.71E2,1.19:0.84:1.21:0.61:1.00:0.66:0.55:1.15:1.25,2.72E2,2.91E2,1.00:1.07,15.46,,
,0.34,19.61,841.5233,7.23 - 8.18,1,2.9E3,-,-,0,-,-,0,841.5212,7.93,6.79E2,841.5227,7.99,1.8E3,-,-,0,-,-,0,841.5237,7.98,6.94E3,841.5236,7.97,1.12E4,841.5254,7.94,5.84E3,0:0:1.00:2.65:0:0:10.22:16.51:8.60,4.13E2,8E3,1.00:19.37,7.96,,
,0.34,4.08,674.8031,11.51 - 12.84,1,506.3,674.8007,11.55,3.78E2,674.8029,12.78,3.11E2,674.8016,11.94,1.25E3,674.8041,11.56,3.2E2,674.8049,12.56,7.63E2,674.8062,12.52,2.52E2,674.8016,12.46,4.73E2,-,-,-,674.8032,12.52,3.06E2,0.50:0.41:1.63:0.42:1.00:0.33:0.62:-:0.40,5.45E2,3.89E2,1.00:0.71,12.24,,
,0.34,19.59,621.9574,2.19 - 2.79,1,2.1E3,621.9573,2.51,7.09E3,621.9568,2.55,6.99E3,621.9573,2.51,3.38E3,-,-,0,-,-,0,621.9580,2.51,1.75E3,-,-,0,-,-,0,-,-,0,1.00:0.98:0.48:0:0:0.25:0:0:0,3.2E3,0,1.00:0,2.52,,
,0.34,4.45,684.8356,19.23 - 20.16,2,1.6E3,684.8351,20.07,1.44E3,684.8389,19.30,7.01E2,684.8342,19.44,5.38E2,684.8337,19.73,2.36E3,684.8337,19.71,1.58E3,684.8378,19.98,3.93E3,684.8356,19.88,1.57E3,684.8362,19.63,7.02E2,-,-,-,0.92:0.44:0.34:1.50:1.00:2.49:0.99:0.45:-,1.76E3,1.13E3,1.00:0.64,19.72,,
,0.34,3.88,838.7103,15.26 - 16.53,1,566.3,838.7103,15.47,6.97E2,838.7073,15.99,4.61E2,838.7080,15.32,4.4E2,-,-,-,838.7113,16.16,7.78E2,838.7104,16.07,7.47E2,838.7085,16.42,5.54E2,838.7112,15.97,3.46E2,838.7152,15.86,5.08E2,0.90:0.59:0.56:-:1.00:0.96:0.71:0.44:0.65,6.24E2,4.69E2,1.00:0.75,15.91,,
,0.34,3.99,914.7237,19.15 - 19.99,1,2E3,914.7213,19.64,2.63E3,914.7213,19.57,2.15E3,914.7202,19.94,9.4E2,914.7275,19.26,1.66E3,914.7251,19.61,1.51E3,914.7252,19.19,2.15E3,914.7233,19.30,1.71E3,-,-,-,914.7256,19.56,3.36E3,1.74:1.42:0.62:1.10:1.00:1.42:1.13:-:2.22,1.84E3,2.54E3,1.00:1.38,19.51,,
,0.34,3.60,732.8147,11.12 - 12.38,1,898.3,732.8104,11.22,6.86E2,732.8159,12.09,1.24E3,732.8145,11.40,9.9E2,732.8177,11.46,8.43E2,732.8160,12.32,3.91E2,-,-,-,732.8142,11.91,1.09E3,732.8140,11.44,1.33E3,732.8149,12.33,6.21E2,1.76:3.17:2.54:2.16:1.00:-:2.79:3.40:1.59,8.3E2,1.01E3,1.00:1.22,11.77,,
,0.34,3.23,654.3013,8.09 - 8.72,2,1E3,-,-,-,654.2994,8.19,1.7E3,654.3018,8.26,3.11E2,654.3009,8.64,7.53E2,654.3020,8.21,5.94E2,654.3011,8.58,1.8E3,654.3017,8.22,4.38E2,654.3024,8.57,4.15E2,654.3008,8.57,2E3,-:2.86:0.52:1.27:1.00:3.03:0.74:0.70:3.37,1.03E3,9.51E2,1.00:0.92,8.41,,
,0.34,3.84,768.7865,8.87 - 9.73,1,695.8,768.7825,9.13,3.09E2,768.7850,9.55,2.32E2,768.7893,9.28,7E2,768.7904,9.26,1.46E3,768.7853,9.53,8.62E2,768.7859,9.19,8.88E2,-,-,-,768.7867,9.13,3.56E2,768.7870,9.02,7.63E2,0.36:0.27:0.81:1.69:1.00:1.03:-:0.41:0.88,7.41E2,5.59E2,1.00:0.75,9.26,,
,0.34,3.64,486.8046,6.90 - 9.06,1,949.1,486.8050,7.89,5.16E2,486.8051,8.23,1.02E3,486.8043,7.98,1.17E3,486.8035,8.23,8.82E2,486.8044,7.60,5.34E2,486.8038,8.33,1.87E3,-,-,-,486.8041,8.58,1.08E3,486.8065,7.00,5.25E2,0.96:1.90:2.19:1.65:1.00:3.49:-:2.02:0.98,9.98E2,8.04E2,1.00:0.81,7.98,,
,0.34,3.15,318.8322,11.93 - 13.62,1,658,318.8316,12.55,7.27E2,-,-,0,318.8315,12.31,5.1E2,318.8323,12.43,2.17E3,318.8327,13.39,2.18E2,318.8318,12.88,3.87E2,318.8326,13.11,1.08E3,318.8322,13.41,1.62E2,318.8330,12.75,6.68E2,3.33:0:2.33:9.95:1.00:1.77:4.93:0.74:3.06,6.69E2,6.36E2,1.00:0.95,12.85,,
,0.34,4.85,256.8803,17.74 - 18.70,3,2.1E3,256.8805,17.82,4.7E2,-,-,-,256.8798,18.30,3.29E3,256.8804,18.32,3.91E3,256.8802,18.19,1.83E3,256.8801,18.36,3.31E3,256.8806,18.04,7.13E2,256.8801,18.40,3.18E3,256.8811,17.96,4.9E2,0.26:-:1.80:2.13:1.00:1.81:0.39:1.73:0.27,2.56E3,1.46E3,1.00:0.57,18.17,,
,0.34,3.01,701.8099,8.84 - 10.55,1,470,-,-,-,701.8094,10.49,2.61E2,701.8115,9.95,1.04E3,701.8096,8.88,2.29E2,701.8097,9.98,5.26E2,701.8090,9.89,2.98E2,701.8094,9.71,7.83E2,701.8101,9.81,3.43E2,701.8101,9.78,2.83E2,-:0.50:1.97:0.43:1.00:0.57:1.49:0.65:0.54,4.7E2,4.7E2,1.00:1.00,9.81,,
,0.34,8.67,277.1105,0.10 - 0.28,1,2.2E4,277.1102,0.14,6.99E4,-,-,0,-,-,0,277.1105,0.22,2.95E4,277.1104,0.15,6.63E4,277.1104,0.25,7.19E3,-,-,0,-,-,0,277.1110,0.17,2.19E4,1.05:0:0:0.45:1.00:0.11:0:0:0.33,2.88E4,7.3E3,1.00:0.25,0.19,,
,0.34,8.50,442.2832,4.01 - 4.76,1,5.8E3,442.2830,4.56,4.66E3,442.2834,4.38,1.68E3,-,-,0,442.2828,4.58,6.7E3,-,-,0,442.2830,4.56,5.01E3,442.2833,4.57,9.58E3,442.2830,4.57,6.93E3,442.2839,4.57,1.81E4,1.00:0.36:0:1.44:0:1.08:2.06:1.49:3.88,3.01E3,1.15E4,1.00:3.83,4.54,,
,0.34,4.21,678.8162,9.11 - 12.51,1,1.3E3,678.8158,9.28,1.45E3,678.8149,10.86,5.84E2,678.8173,9.26,7.5E2,678.8156,9.74,3.18E3,678.8174,9.31,5.71E2,678.8145,9.93,1.92E3,-,-,-,678.8175,9.58,1.21E3,678.8167,9.84,7.1E2,2.53:1.02:1.31:5.56:1.00:3.36:-:2.11:1.24,1.41E3,9.58E2,1.00:0.68,9.72,,
,0.34,5.71,586.8110,7.13 - 8.62,1,1.1E3,586.8112,7.71,7.81E2,586.8072,8.56,4.18E2,586.8130,7.67,1.05E3,586.8105,7.74,1.13E3,586.8121,7.18,1.37E3,586.8082,7.63,4.24E2,-,-,-,586.8118,7.61,1.21E3,586.8140,7.42,2.53E3,0.57:0.31:0.77:0.82:1.00:0.31:-:0.88:1.85,8.62E2,1.87E3,1.00:2.17,7.69,,
,0.33,3.27,418.8174,9.52 - 10.61,1,376.6,418.8174,9.93,4.93E2,418.8168,10.52,3.67E2,418.8179,9.77,3.6E2,418.8170,9.94,4.83E2,418.8185,10.21,2.44E2,-,-,-,418.8174,9.60,3.21E2,418.8175,9.93,4.44E2,418.8168,9.99,3E2,2.02:1.50:1.47:1.98:1.00:-:1.31:1.82:1.23,3.89E2,3.55E2,1.00:0.91,9.99,,
,0.33,18.20,458.4212,3.89 - 4.41,1,1.8E4,-,-,0,458.4205,4.09,1.38E5,-,-,0,458.4211,4.07,1.74E4,-,-,0,458.4221,4.05,3.65E3,458.4211,4.09,4.16E3,-,-,0,-,-,0,0:1.00:0:0.13:0:0.03:0.03:0:0,2.65E4,1.39E3,1.00:0.05,4.07,,
,0.33,18.20,815.5077,6.89 - 8.01,1,4.1E3,-,-,0,-,-,0,815.5065,7.82,7.57E2,815.5079,7.84,2.08E3,-,-,0,-,-,0,815.5081,7.87,9.11E3,815.5074,7.84,1.58E4,815.5085,7.83,9.21E3,0:0:1.00:2.75:0:0:12.03:20.84:12.17,4.73E2,1.14E4,1.00:24.02,7.84,,
,0.33,4.28,659.8589,20.04 - 20.27,2,3E3,-,-,0,659.8562,20.17,4.71E3,659.8573,20.20,4.13E3,659.8604,20.22,3.28E3,-,-,0,659.8618,20.22,3.35E3,659.8567,20.18,4.29E3,659.8578,20.17,3.32E3,659.8619,20.22,4.1E3,0:1.00:0.88:0.70:0:0.71:0.91:0.71:0.87,2.58E3,3.9E3,1.00:1.51,20.20,,
,0.33,3.13,722.7883,10.69 - 16.22,1,3.2E3,722.7870,11.52,1.32E3,722.7859,12.39,4.63E3,722.7896,11.22,8.48E3,722.7877,11.24,7.31E2,722.7889,11.56,2.18E3,722.7874,11.18,1.87E3,-,-,-,722.7893,10.77,9.25E2,722.7903,11.05,5.19E3,0.61:2.12:3.89:0.34:1.00:0.86:-:0.42:2.38,3.2E3,3.06E3,1.00:0.95,11.37,,
,0.33,3.26,508.8073,8.50 - 11.25,1,2.4E3,508.8076,8.76,3.63E3,508.8069,10.14,1.03E3,-,-,-,508.8070,10.03,1.57E3,508.8070,8.86,5.1E3,508.8071,9.12,1.07E3,508.8076,9.40,2.58E3,508.8069,9.10,8.8E2,508.8080,9.17,3.33E3,0.71:0.20:-:0.31:1.00:0.21:0.51:0.17:0.65,2.48E3,2.26E3,1.00:0.91,9.32,,
,0.33,7.04,805.1966,5.71 - 5.97,1,2.1E3,805.1967,5.77,2.72E3,805.1948,5.80,4.19E3,805.1965,5.78,2.86E3,-,-,0,805.1975,5.79,2.62E3,805.1967,5.78,3.91E3,-,-,0,805.1976,5.79,2.7E3,-,-,0,1.04:1.60:1.09:0:1.00:1.49:0:1.03:0,2.72E3,9E2,1.00:0.33,5.79,,
,0.33,4.56,780.7469,17.05 - 20.11,1,1.1E4,780.7478,17.40,1.9E4,780.7465,17.70,4.85E3,780.7480,17.45,1.08E4,780.7476,17.39,5.63E3,780.7458,17.54,2.37E3,-,-,-,780.7455,17.95,1.2E4,780.7457,17.94,2.19E3,780.7478,17.61,2.8E4,8.01:2.05:4.58:2.38:1.00:-:5.08:0.92:11.81,8.53E3,1.41E4,1.00:1.65,17.62,,
,0.33,6.66,846.7433,13.81 - 17.89,1,5.4E3,846.7449,13.84,1.32E4,846.7437,14.54,2.76E3,846.7395,14.79,3.22E3,846.7432,15.21,2.33E3,846.7429,14.27,1.36E4,846.7448,14.59,3.18E3,-,-,-,846.7445,14.17,1.63E3,846.7427,15.28,2.97E3,0.97:0.20:0.24:0.17:1.00:0.23:-:0.12:0.22,6.37E3,2.3E3,1.00:0.36,14.59,,
,0.33,5.07,282.1430,14.39 - 16.02,1,838.9,282.1431,14.75,3.44E2,282.1426,15.24,1.88E3,282.1431,15.23,1.31E3,-,-,-,282.1427,14.69,4.22E2,282.1433,15.28,1.14E3,282.1424,15.43,1.16E3,282.1438,15.66,2.92E2,282.1433,15.50,1.6E2,0.82:4.47:3.10:-:1.00:2.70:2.76:0.69:0.38,1.02E3,5.38E2,1.00:0.53,15.23,,
,0.33,13.40,387.1555,1.43 - 2.78,1,1.4E4,387.1559,2.69,2.81E4,-,-,0,-,-,0,387.1554,2.69,1.06E4,387.1553,2.69,1.7E4,387.1560,2.69,6.06E4,387.1551,1.57,6.55E3,-,-,0,-,-,0,1.65:0:0:0.62:1.00:3.56:0.38:0:0,1.94E4,2.18E3,1.00:0.11,2.47,,
,0.33,4.35,1175.7760,17.42 - 19.44,1,3E3,1175.7759,17.73,2.33E3,1175.7775,17.99,1.39E3,1175.7747,17.93,3.74E3,-,-,-,1175.7753,17.97,3.53E3,1175.7771,18.14,1.4E3,1175.7743,17.99,5.3E3,1175.7732,17.80,1.59E3,1175.7798,17.53,4.66E3,0.66:0.39:1.06:-:1.00:0.40:1.50:0.45:1.32,2.48E3,3.85E3,1.00:1.55,17.89,,
,0.33,15.07,321.2092,2.05 - 3.10,1,8.6E4,321.2099,2.39,3.77E3,321.2099,2.43,1.79E4,321.2100,2.40,6.8E3,321.2099,2.40,5.92E4,321.2101,2.40,1.88E4,321.2102,2.39,7.45E3,321.2095,2.40,2.76E5,321.2094,2.39,3.29E5,321.2036,3.02,5.49E4,0.20:0.95:0.36:3.14:1.00:0.40:14.63:17.48:2.92,1.9E4,2.2E5,1.00:11.58,2.47,,
,0.33,4.38,671.8201,19.24 - 20.18,1,2.3E3,671.8212,19.67,4.2E3,671.8187,19.93,3.5E3,-,-,-,671.8196,19.78,2.95E3,671.8187,19.41,7.68E2,671.8203,19.80,1.89E3,671.8220,19.74,4.69E2,671.8201,20.11,7.24E2,671.8203,19.27,3.87E3,5.47:4.55:-:3.84:1.00:2.46:0.61:0.94:5.03,2.66E3,1.69E3,1.00:0.63,19.71,,
,0.33,6.38,408.3055,1.60 - 1.96,1,4.1E3,408.3049,1.88,8.11E3,-,-,0,-,-,0,408.3052,1.90,5.9E3,408.3056,1.90,4.73E3,408.3060,1.89,1.23E4,-,-,0,-,-,0,408.3057,1.73,5.88E3,1.71:0:0:1.25:1.00:2.59:0:0:1.24,5.17E3,1.96E3,1.00:0.38,1.86,,
,0.33,17.63,623.9542,2.21 - 2.75,1,2.5E3,623.9537,2.51,9.01E3,623.9538,2.55,7.55E3,623.9548,2.51,3.75E3,-,-,0,-,-,0,623.9543,2.51,2.2E3,-,-,0,-,-,0,-,-,0,1.00:0.84:0.42:0:0:0.24:0:0:0,3.75E3,0,1.00:0,2.52,,
,0.33,3.21,318.8324,11.68 - 13.86,1,845.9,318.8316,12.81,5.7E2,-,-,-,318.8322,12.84,5.4E2,318.8323,13.17,7.59E2,318.8327,12.93,1.13E3,318.8324,12.70,1.1E3,318.8326,13.81,2.43E2,318.8328,12.46,2.21E3,318.8329,13.14,2.08E2,0.50:-:0.48:0.67:1.00:0.97:0.21:1.95:0.18,8.21E2,8.87E2,1.00:1.08,12.98,,
,0.33,3.67,746.7964,17.85 - 19.01,1,1.5E3,746.7963,18.11,1.17E3,746.7935,18.10,9.8E2,746.7944,18.29,1.01E3,746.7940,18.17,2.05E3,746.7979,18.10,1.56E3,-,-,-,746.7953,18.87,1.11E3,746.7997,18.67,1.58E3,746.8003,18.71,2.45E3,0.75:0.63:0.65:1.31:1.00:-:0.71:1.01:1.57,1.35E3,1.72E3,1.00:1.27,18.38,,
,0.33,3.90,644.2727,9.36 - 10.43,2,1.1E3,644.2717,9.90,1.33E3,644.2725,10.14,1.07E3,644.2726,9.52,7.84E2,-,-,-,644.2727,10.14,1.03E3,644.2733,10.15,1.8E3,644.2717,9.51,6.21E2,644.2736,9.90,1.32E3,644.2731,9.63,7.13E2,1.28:1.03:0.76:-:1.00:1.74:0.60:1.27:0.69,1.2E3,8.83E2,1.00:0.73,9.86,,
,0.33,6.66,722.6682,15.21 - 15.48,1,2.1E3,722.6677,15.32,1.3E3,722.6680,15.32,9.75E3,722.6685,15.35,8.44E2,722.6677,15.35,2.82E3,-,-,0,722.6670,15.31,1.17E3,722.6688,15.35,9.79E2,-,-,0,722.6701,15.32,1.81E3,1.00:7.49:0.65:2.16:0:0.90:0.75:0:1.39,2.65E3,9.3E2,1.00:0.35,15.33,,
,0.33,3.37,634.7466,15.85 - 16.71,1,1.2E3,634.7438,15.99,1.15E3,634.7496,16.26,6.91E2,634.7455,15.97,1.33E3,634.7429,16.15,2.3E3,634.7478,16.21,8.86E2,-,-,-,634.7496,16.62,1.03E3,634.7480,16.35,1.14E3,634.7458,15.94,1.16E3,1.29:0.78:1.50:2.59:1.00:-:1.16:1.28:1.30,1.27E3,1.11E3,1.00:0.87,16.19,,
,0.33,17.39,507.1205,3.43 - 3.69,1,1.1E4,507.1207,3.55,7.67E3,507.1205,3.60,1.99E4,507.1206,3.56,1.88E4,-,-,0,507.1205,3.57,1.89E4,507.1203,3.56,3.67E4,-,-,0,-,-,0,-,-,0,0.41:1.05:0.99:0:1.00:1.94:0:0:0,1.7E4,0,1.00:0,3.57,,
,0.33,4.38,502.0014,0.23 - 0.47,1,1.2E4,502.0013,0.36,1.21E4,502.0010,0.34,1.37E4,-,-,0,502.0013,0.35,3.23E4,502.0020,0.37,2.58E4,-,-,0,-,-,0,502.0012,0.36,9.3E3,502.0016,0.38,1.72E4,0.47:0.53:0:1.25:1.00:0:0:0.36:0.67,1.4E4,8.83E3,1.00:0.63,0.36,,
,0.33,17.65,466.2572,0.38 - 0.89,1,4.5E3,-,-,0,-,-,0,-,-,0,-,-,0,466.2582,0.78,2.3E3,-,-,0,466.2567,0.78,4.8E3,466.2567,0.78,1.68E4,466.2574,0.77,1.67E4,0:0:0:0:1.00:0:2.09:7.32:7.28,3.83E2,1.28E4,1.00:33.38,0.78,,
,0.33,3.47,700.7982,5.86 - 7.56,1,1.3E3,-,-,-,700.7977,6.93,8.07E2,700.7969,6.74,1.12E3,700.7970,5.98,9.67E2,700.8003,6.67,2.2E3,700.8018,6.19,1.92E3,700.7966,7.00,1.32E3,700.7967,6.34,6.89E2,700.7987,6.56,1.54E3,-:0.37:0.51:0.44:1.00:0.87:0.60:0.31:0.70,1.4E3,1.18E3,1.00:0.84,6.55,,
,0.33,4.27,486.8053,6.12 - 7.33,1,524,486.8056,6.82,4.9E2,486.8055,7.26,4.1E2,486.8050,6.98,6.29E2,486.8051,6.27,7.27E2,486.8050,6.49,3.2E2,486.8058,6.28,8.73E2,-,-,-,486.8055,6.35,3.23E2,486.8046,6.51,4.2E2,1.53:1.28:1.97:2.27:1.00:2.73:-:1.01:1.31,5.75E2,3.71E2,1.00:0.65,6.62,,
,0.33,7.04,576.7950,9.84 - 15.35,1,2.9E3,576.7952,10.40,2.35E3,576.7959,10.80,8.4E2,576.7953,9.94,7.85E2,576.7938,10.83,2.99E3,-,-,-,576.7939,10.71,9.12E2,576.7952,10.56,1.62E3,576.7946,10.16,2.05E3,576.7959,10.35,1.14E4,1.00:0.36:0.33:1.27:-:0.39:0.69:0.87:4.83,1.58E3,5.01E3,1.00:3.18,10.47,,
,0.33,5.34,504.7922,21.43 - 22.00,1,695.1,504.7921,21.61,3.91E2,504.7921,21.69,1.99E3,504.7933,21.72,9.6E2,504.7921,21.87,8.06E2,504.7915,21.86,1.79E2,-,-,-,504.7921,21.82,5.32E2,504.7930,21.73,4.05E2,504.7917,21.78,2.98E2,2.18:11.10:5.35:4.49:1.00:-:2.96:2.26:1.66,8.65E2,4.12E2,1.00:0.48,21.76,,
,0.33,3.06,824.8131,16.22 - 17.90,1,809.2,824.8126,16.47,1.25E3,824.8126,17.05,4.37E2,824.8138,17.43,6.21E2,-,-,-,824.8128,17.30,8.22E2,824.8145,17.49,9.51E2,824.8126,17.07,3.15E2,824.8110,17.69,1.31E3,824.8151,17.15,7.76E2,1.52:0.53:0.76:-:1.00:1.16:0.38:1.59:0.94,8.15E2,7.99E2,1.00:0.98,17.20,,
,0.33,16.85,667.0601,0.10 - 0.20,1,2.1E5,667.0601,0.16,1.93E6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,3.22E5,0,1.00:0,0.16,,
,0.33,4.23,668.7875,10.39 - 11.46,1,726.5,668.7882,11.16,6.71E2,668.7856,11.20,2.58E2,668.7887,10.75,7.62E2,-,-,-,668.7886,11.29,9.13E2,668.7865,11.22,4.27E2,668.7879,11.17,8.57E2,668.7874,10.98,6.59E2,668.7869,10.45,1.27E3,0.73:0.28:0.83:-:1.00:0.47:0.94:0.72:1.39,6.06E2,9.27E2,1.00:1.53,11.03,,
,0.33,4.13,740.8487,7.79 - 9.68,1,974.2,740.8519,8.48,7.79E2,-,-,-,740.8486,7.99,6.09E2,740.8464,8.52,2.54E3,740.8480,7.83,7.93E2,740.8495,8.65,8.23E2,740.8483,8.21,7.75E2,740.8492,8.42,8.47E2,740.8480,8.48,6.32E2,0.98:-:0.77:3.20:1.00:1.04:0.98:1.07:0.80,1.11E3,7.51E2,1.00:0.68,8.32,,
,0.33,3.62,369.3007,3.45 - 5.11,1,2.3E4,369.3004,4.35,1.52E4,369.3004,4.39,1.12E5,369.3012,4.91,1.26E4,-,-,0,369.3013,4.37,9.09E3,-,-,0,369.3004,4.37,1.57E4,369.3001,4.42,1.38E4,369.3012,4.39,3.02E4,1.67:12.37:1.38:0:1.00:0:1.73:1.51:3.32,2.49E4,1.99E4,1.00:0.80,4.46,,
,0.33,17.16,485.2099,3.13 - 3.84,1,2.1E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,485.2102,3.76,5.58E4,485.2095,3.66,6.09E4,485.2100,3.69,6.99E4,0:0:0:0:0:0:1.00:1.09:1.25,0,6.22E4,0:1.00,3.71,,
,0.33,3.06,312.8643,17.31 - 18.09,3,333.5,312.8642,17.78,3.79E2,312.8638,17.79,2.77E2,312.8644,17.77,4.13E2,312.8643,17.96,3.94E2,312.8641,17.71,3.19E2,312.8650,17.37,2.29E2,312.8643,17.92,5.05E2,312.8643,17.96,1.51E2,-,-,-,1.19:0.87:1.29:1.23:1.00:0.72:1.58:0.47:-,3.35E2,3.28E2,1.00:0.98,17.78,,
,0.33,5.24,684.3301,19.09 - 20.18,2,1.1E3,684.3298,19.51,9.37E2,684.3309,19.82,1.57E3,684.3282,19.77,1.93E3,684.3308,19.22,1.1E3,684.3284,19.58,1.32E3,-,-,-,684.3298,19.88,7.53E2,684.3317,19.79,5.4E2,684.3309,20.12,7.52E2,0.71:1.18:1.46:0.83:1.00:-:0.57:0.41:0.57,1.37E3,6.81E2,1.00:0.50,19.71,,
,0.33,15.31,265.1476,0.10 - 5.82,1,1.2E6,265.1473,0.79,1.61E6,265.1477,0.82,2E6,265.1472,0.80,1.43E6,265.1482,0.80,1.86E6,265.1482,0.80,1.81E6,265.1472,0.79,1.7E6,265.1472,0.80,2.08E5,265.1472,0.80,8.73E4,265.1478,0.79,1.3E5,0.89:1.11:0.79:1.03:1.00:0.94:0.11:0.05:0.07,1.73E6,1.42E5,1.00:0.08,0.80,,
,0.33,12.91,642.7844,6.05 - 11.70,1,5.7E3,642.7856,6.08,1.06E3,642.7863,7.18,3.38E2,642.7827,6.45,1.47E3,642.7819,6.46,3.82E4,642.7847,6.70,6.82E3,642.7849,6.72,1.02E3,642.7834,6.79,1.09E3,642.7836,6.33,6.14E2,642.7867,6.51,1.07E3,0.16:0.05:0.22:5.61:1.00:0.15:0.16:0.09:0.16,8.16E3,9.28E2,1.00:0.11,6.58,,
,0.33,3.01,410.1581,0.10 - 0.43,1,7.2E4,-,-,0,-,-,0,410.1575,0.16,4.32E5,-,-,0,-,-,0,-,-,0,410.1587,0.15,2.17E5,-,-,0,-,-,0,0:0:1.00:0:0:0:0.50:0:0,7.2E4,7.22E4,1.00:1.00,0.15,,
