Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS1_A00_neg m/z,CLVS1_A00_neg RT mean,CLVS1_A00_neg Normalized Area,CLVS1_A04_neg m/z,CLVS1_A04_neg RT mean,CLVS1_A04_neg Normalized Area,CLVS1_A05_neg m/z,CLVS1_A05_neg RT mean,CLVS1_A05_neg Normalized Area,CLVS1_A06_neg m/z,CLVS1_A06_neg RT mean,CLVS1_A06_neg Normalized Area,CLVS1_A07_neg m/z,CLVS1_A07_neg RT mean,CLVS1_A07_neg Normalized Area,CLVS1_A08_neg m/z,CLVS1_A08_neg RT mean,CLVS1_A08_neg Normalized Area,CLVS1_A09_neg m/z,CLVS1_A09_neg RT mean,CLVS1_A09_neg Normalized Area,CLVS1_A10_neg m/z,CLVS1_A10_neg RT mean,CLVS1_A10_neg Normalized Area,CLVS1_A11_neg m/z,CLVS1_A11_neg RT mean,CLVS1_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.09,9.30,544.1927,6.06 - 6.47,1,555.9,-,-,0,544.1927,6.32,5E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,8.34E2,0,1.00:0,6.32,,
,0.09,9.30,493.3536,4.78 - 5.32,1,408.5,-,-,0,493.3536,5.24,3.68E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,6.13E2,0,1.00:0,5.24,,
,0.11,9.30,620.8559,2.73 - 3.88,1,713.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,620.8547,2.78,3.35E2,620.8552,3.65,2.74E3,620.8574,3.05,1.8E3,620.8561,3.25,1.54E3,0:0:0:0:0:0.12:1.00:0.66:0.56,5.58E1,2.03E3,0.03:1.00,3.19,,
,0.09,9.30,785.7785,11.61 - 13.30,1,148.6,785.7767,12.54,2.97E2,785.7811,11.65,3.29E2,785.7827,11.86,4.02E2,-,-,0,785.7736,13.24,3.09E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.11:1.35:0:1.04:0:0:0:0,2.23E2,0,1.00:0,12.32,,
,0.09,9.30,681.6155,11.82 - 12.16,1,372.1,-,-,0,-,-,0,681.6155,11.97,3.35E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,5.58E2,0,1.00:0,11.97,,
,0.09,9.30,614.8261,0.00 - 1.27,1,703.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,614.8274,0.02,5.56E2,614.8236,0.47,5.24E3,614.8274,0.04,5.31E2,0:0:0:0:0:0:1.00:9.42:0.95,0,2.11E3,0:1.00,0.18,,
,0.12,9.30,606.0368,2.43 - 2.70,1,770.6,-,-,0,606.0369,2.55,6.12E3,-,-,0,-,-,0,-,-,0,606.0368,2.49,8.18E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.13:0:0:0,1.16E3,0,1.00:0,2.52,,
,0.12,9.30,1499.1526,14.74 - 15.69,1,1.6E4,-,-,0,-,-,0,-,-,0,1499.1526,15.09,1.44E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.4E4,0,1.00:0,15.09,,
,0.12,9.30,764.4415,0.12 - 0.19,1,6E4,764.4415,0.15,5.43E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,9.05E4,0,1.00:0,0.15,,
,0.10,9.30,309.0903,0.10 - 0.14,1,1.8E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,309.0903,0.14,1.59E5,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.3E4,0:1.00,0.14,,
,0.10,9.30,308.8639,20.60 - 21.80,1,378.7,-,-,0,308.8643,21.16,3.04E3,308.8637,21.21,1.8E2,308.8637,20.64,1.87E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.06:0.06:0:0:0:0:0,5.68E2,0,1.00:0,21.00,,
,0.10,9.30,1003.1702,10.35 - 11.81,1,5.3E3,-,-,0,-,-,0,-,-,0,1003.1702,10.57,4.76E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.93E3,0,1.00:0,10.57,,
,0.10,9.30,756.6359,9.79 - 10.16,1,1.1E3,-,-,0,756.6359,10.01,9.91E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.65E3,0,1.00:0,10.01,,
,0.10,9.30,591.3276,6.06 - 6.47,1,1.3E3,-,-,0,591.3276,6.30,1.14E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.9E3,0,1.00:0,6.30,,
,0.10,9.30,769.9932,3.95 - 4.09,1,537.7,-,-,0,769.9932,3.97,4.84E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,8.06E2,0,1.00:0,3.97,,
,0.10,9.30,555.7175,0.04 - 0.10,1,4.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,555.7175,0.04,3.68E4,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.23E4,0:1.00,0.04,,
,0.09,9.30,1476.1694,15.19 - 15.50,1,973.2,-,-,0,-,-,0,-,-,0,1476.1694,15.33,8.76E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.46E3,0,1.00:0,15.33,,
,0.09,9.30,1238.1564,12.72 - 13.01,1,865.5,-,-,0,1238.1564,12.91,7.79E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.3E3,0,1.00:0,12.91,,
,0.09,9.30,776.4322,14.88 - 15.04,1,625.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,776.4322,14.94,5.63E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.88E3,0:1.00,14.94,,
,0.09,9.30,634.3401,2.80 - 3.11,1,938.8,-,-,0,-,-,0,634.3401,3.03,8.45E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.41E3,0,1.00:0,3.03,,
,0.09,9.30,401.8833,1.74 - 4.41,1,3.4E3,-,-,0,401.8803,2.69,2.99E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,401.8854,1.75,2.79E2,401.8841,2.39,1.39E2,0:1.00:0:0:0:0:0:0.01:0.00,4.98E3,1.39E2,35.74:1.00,2.28,,
,0.10,9.29,1011.2019,9.40 - 10.77,1,7.7E3,-,-,0,-,-,0,-,-,0,1011.2019,10.10,6.96E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.16E4,0,1.00:0,10.10,,
,0.10,9.29,1003.1689,11.50 - 11.75,1,3.4E3,-,-,0,-,-,0,-,-,0,1003.1689,11.60,3.09E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,5.15E3,0,1.00:0,11.60,,
,0.10,9.29,710.4651,6.15 - 6.48,1,971.2,-,-,0,710.4651,6.29,8.74E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.46E3,0,1.00:0,6.29,,
,0.10,9.29,319.8162,0.00 - 0.11,1,920.6,-,-,0,319.8162,0.06,8.29E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.38E3,0,1.00:0,0.06,,
,0.10,9.29,1106.1106,9.52 - 9.79,1,1.1E3,-,-,0,-,-,0,-,-,0,1106.1106,9.64,9.73E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.62E3,0,1.00:0,9.64,,
,0.10,9.29,1231.3130,13.77 - 14.09,1,2E3,-,-,0,-,-,0,-,-,0,1231.3130,13.99,1.79E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.98E3,0,1.00:0,13.99,,
,0.11,9.29,1025.1609,12.70 - 14.14,1,9.3E3,-,-,0,-,-,0,-,-,0,1025.1609,13.17,8.33E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.39E4,0,1.00:0,13.17,,
,0.11,9.29,670.1412,3.56 - 3.97,1,2.1E3,-,-,0,670.1412,3.69,1.87E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.12E3,0,1.00:0,3.69,,
,0.11,9.29,507.6457,0.14 - 0.19,1,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,507.6457,0.16,1.05E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.76E4,0,1.00:0,0.16,,
,0.10,9.29,1305.3300,14.59 - 14.77,1,2.2E3,-,-,0,-,-,0,-,-,0,1305.3300,14.69,1.96E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,3.27E3,0,1.00:0,14.69,,
,0.09,9.28,877.1234,12.18 - 12.51,1,411.7,-,-,0,-,-,0,-,-,0,877.1234,12.50,3.71E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,6.18E2,0,1.00:0,12.50,,
,0.09,9.28,820.5603,8.70 - 8.98,1,602.3,-,-,0,820.5603,8.91,5.42E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,9.04E2,0,1.00:0,8.91,,
,0.09,9.28,1217.1360,15.17 - 15.81,1,1.3E3,-,-,0,-,-,0,-,-,0,1217.1360,15.41,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2E3,0,1.00:0,15.41,,
,0.09,9.28,632.3263,3.20 - 3.37,1,452.5,-,-,0,632.3263,3.25,4.07E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,6.79E2,0,1.00:0,3.25,,
,0.10,9.28,899.5072,5.27 - 5.50,1,704.1,-,-,0,-,-,0,899.5072,5.37,6.34E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.06E3,0,1.00:0,5.37,,
,0.10,9.28,949.1622,11.99 - 12.63,1,1.8E3,-,-,0,-,-,0,-,-,0,949.1622,12.48,1.58E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.63E3,0,1.00:0,12.48,,
,0.10,9.28,870.0544,5.14 - 6.46,1,9.4E3,-,-,0,-,-,0,-,-,0,870.0544,6.20,8.45E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.41E4,0,1.00:0,6.20,,
,0.10,9.28,617.3560,0.62 - 1.39,1,754.8,617.3560,1.31,6.79E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.13E3,0,1.00:0,1.31,,
,0.10,9.28,1381.1804,14.62 - 14.91,1,1.2E3,-,-,0,-,-,0,-,-,0,1381.1804,14.75,1.04E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.73E3,0,1.00:0,14.75,,
,0.10,9.28,534.1168,2.42 - 3.24,1,1.4E3,-,-,0,534.1168,3.12,1.26E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.09E3,0,1.00:0,3.12,,
,0.10,9.28,355.0458,0.21 - 0.33,1,606.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,355.0458,0.25,5.46E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.82E3,0:1.00,0.25,,
,0.10,9.28,332.8594,1.22 - 1.99,1,357.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,332.8593,1.32,1.45E3,332.8596,1.50,1.78E3,0:0:0:0:0:0:0:1.00:1.23,0,1.07E3,0:1.00,1.41,,
,0.10,9.28,1567.2107,15.51 - 16.17,1,1.1E3,-,-,0,-,-,0,-,-,0,1567.2107,15.54,9.92E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.65E3,0,1.00:0,15.54,,
,0.10,9.28,798.5276,9.70 - 10.04,1,901.2,-,-,0,798.5276,9.91,8.11E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.35E3,0,1.00:0,9.91,,
,0.10,9.28,435.9464,0.75 - 1.38,1,567.5,-,-,0,435.9464,1.32,5.11E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,8.51E2,0,1.00:0,1.32,,
,0.10,9.28,525.1880,1.97 - 2.61,1,1.1E3,-,-,0,525.1880,2.34,9.53E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.59E3,0,1.00:0,2.34,,
,0.13,9.28,386.9386,0.19 - 0.50,1,1.2E4,-,-,0,-,-,0,386.9386,0.33,1.11E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.86E4,0,1.00:0,0.33,,
,0.13,9.28,383.1016,2.88 - 3.82,1,2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,383.1014,3.65,1.3E4,-,-,0,383.1019,3.69,5.29E3,0:0:0:0:0:0:1.00:0:0.41,0,6.09E3,0:1.00,3.67,,
,0.10,9.28,1088.1255,8.51 - 9.41,1,1.9E3,-,-,0,-,-,0,-,-,0,1088.1255,8.84,1.75E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.92E3,0,1.00:0,8.84,,
,0.09,9.28,1428.3477,15.54 - 15.62,1,509.7,-,-,0,-,-,0,-,-,0,1428.3477,15.57,4.59E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.65E2,0,1.00:0,15.57,,
,0.09,9.28,1087.1268,9.41 - 9.63,1,534.8,-,-,0,-,-,0,-,-,0,1087.1268,9.51,4.81E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,8.02E2,0,1.00:0,9.51,,
,0.13,9.28,571.4968,9.38 - 9.93,1,7.3E3,-,-,0,571.4968,9.64,6.53E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.09E4,0,1.00:0,9.64,,
,0.13,9.28,383.8643,2.26 - 8.12,1,2E4,-,-,0,-,-,0,-,-,0,-,-,0,383.8640,2.65,7.65E2,383.8644,2.68,2.28E2,383.8642,3.12,5.22E4,383.8647,2.38,1.04E3,383.8644,2.56,1.27E5,0:0:0:0:0.01:0.00:1.00:0.02:2.42,1.66E2,6E4,0.00:1.00,2.68,,
,0.09,9.28,743.1399,14.80 - 15.17,1,596.3,-,-,0,-,-,0,-,-,0,743.1399,14.88,5.37E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,8.94E2,0,1.00:0,14.88,,
,0.09,9.28,894.0826,7.85 - 8.09,1,615.7,-,-,0,-,-,0,-,-,0,894.0826,7.96,5.54E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,9.23E2,0,1.00:0,7.96,,
,0.09,9.27,266.8029,0.58 - 1.17,3,1.4E3,-,-,0,-,-,0,-,-,0,266.8028,0.59,2.89E3,-,-,0,266.8029,0.78,1.01E4,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:3.49:0:0:0,2.16E3,0,1.00:0,0.69,,
,0.13,9.27,352.1913,2.22 - 2.47,1,428.3,-,-,0,352.1911,2.41,2.65E3,-,-,0,-,-,0,352.1914,2.36,1.21E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0.46:0:0:0:0,6.42E2,0,1.00:0,2.39,,
,0.09,9.27,1014.2012,9.82 - 10.53,1,1E3,-,-,0,-,-,0,-,-,0,1014.2012,10.10,9.41E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.57E3,0,1.00:0,10.10,,
,0.09,9.27,1397.3420,14.64 - 14.78,1,703.5,-,-,0,1397.3420,14.71,6.33E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.06E3,0,1.00:0,14.71,,
,0.09,9.27,743.1378,15.92 - 16.57,1,870.5,-,-,0,-,-,0,-,-,0,743.1378,16.11,7.83E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.31E3,0,1.00:0,16.11,,
,0.09,9.27,428.1284,1.46 - 2.22,1,833.2,-,-,0,428.1284,1.63,7.5E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.25E3,0,1.00:0,1.63,,
,0.09,9.27,868.0565,5.55 - 6.37,1,3.1E3,-,-,0,868.0565,6.22,2.76E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.6E3,0,1.00:0,6.22,,
,0.09,9.27,1347.1602,14.04 - 14.59,1,982.5,-,-,0,-,-,0,-,-,0,1347.1602,14.25,8.84E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.47E3,0,1.00:0,14.25,,
,0.10,9.27,1456.3655,15.54 - 15.62,1,920.3,-,-,0,-,-,0,-,-,0,1456.3655,15.58,8.28E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.38E3,0,1.00:0,15.58,,
,0.10,9.27,639.1262,11.75 - 12.34,1,1E3,-,-,0,-,-,0,-,-,0,639.1262,12.17,9.32E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.55E3,0,1.00:0,12.17,,
,0.10,9.27,730.5258,12.82 - 13.11,1,878.4,-,-,0,-,-,0,-,-,0,730.5258,12.92,7.91E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.32E3,0,1.00:0,12.92,,
,0.10,9.27,956.0742,6.75 - 7.11,1,1.2E3,-,-,0,-,-,0,-,-,0,956.0742,6.97,1.06E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.76E3,0,1.00:0,6.97,,
,0.10,9.27,464.8240,6.04 - 7.45,1,586,464.8240,6.33,6.51E2,-,-,0,-,-,0,464.8239,6.72,1.3E3,464.8240,6.12,1.56E3,464.8242,6.81,1.77E3,-,-,0,-,-,0,-,-,0,1.00:0:0:1.99:2.39:2.71:0:0:0,8.79E2,0,1.00:0,6.49,,
,0.53,9.27,426.2712,1.89 - 3.08,1,3.4E4,426.2711,2.95,6.95E4,426.2714,3.00,5.19E4,426.2715,2.95,8.53E4,426.2715,2.95,4.05E4,-,-,0,426.2708,2.94,2.5E4,-,-,0,-,-,0,426.2709,2.94,3.49E4,1.00:0.75:1.23:0.58:0:0.36:0:0:0.50,4.54E4,1.16E4,3.90:1.00,2.96,,
,0.10,9.27,623.5358,5.37 - 5.82,1,1.2E3,-,-,0,623.5358,5.69,1.1E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.83E3,0,1.00:0,5.69,,
,0.09,9.26,1108.1078,9.61 - 9.79,1,366.5,-,-,0,1108.1078,9.69,3.3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.5E2,0,1.00:0,9.69,,
,0.09,9.26,613.4786,6.10 - 6.61,1,758.2,-,-,0,613.4786,6.32,6.82E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.14E3,0,1.00:0,6.32,,
,0.09,9.26,871.4724,4.50 - 4.69,1,422,-,-,0,871.4724,4.56,3.8E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,6.33E2,0,1.00:0,4.56,,
,0.09,9.26,466.0930,2.47 - 2.95,1,1.1E3,-,-,0,466.0930,2.90,9.64E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.61E3,0,1.00:0,2.90,,
,0.09,9.26,716.7659,3.45 - 3.72,1,145.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,716.7650,3.65,7.59E2,716.7668,3.49,5.48E2,0:0:0:0:0:0:0:1.00:0.72,0,4.36E2,0:1.00,3.57,,
,0.09,9.26,506.1411,5.20 - 6.19,1,1.8E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,506.1411,5.86,1.66E4,-,-,0,0:0:0:0:0:0:0:1.00:0,0,5.54E3,0:1.00,5.86,,
,0.09,9.26,873.1564,7.84 - 8.05,1,445.2,-,-,0,-,-,0,-,-,0,873.1564,7.92,4.01E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,6.68E2,0,1.00:0,7.92,,
,0.09,9.26,687.1676,7.15 - 7.41,1,384.9,-,-,0,-,-,0,-,-,0,687.1676,7.31,3.46E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,5.77E2,0,1.00:0,7.31,,
,0.09,9.26,845.6572,12.71 - 13.10,1,495.5,-,-,0,-,-,0,-,-,0,845.6572,12.86,4.46E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.43E2,0,1.00:0,12.86,,
,0.09,9.26,1120.6851,13.95 - 14.19,1,600.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1120.6851,14.06,5.4E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.8E3,0:1.00,14.06,,
,0.13,9.26,798.3770,13.45 - 13.73,1,1.2E3,-,-,0,798.3770,13.55,6.79E3,798.3770,13.58,3.89E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.57:0:0:0:0:0:0,1.78E3,0,1.00:0,13.56,,
,0.10,9.26,639.5300,3.52 - 4.05,1,900.8,-,-,0,639.5300,3.95,8.11E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.35E3,0,1.00:0,3.95,,
,0.13,9.26,432.0461,0.59 - 1.01,1,1.9E3,-,-,0,-,-,0,432.0463,0.93,4.78E3,432.0465,0.92,5.83E3,432.0456,0.91,6.51E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.22:1.36:0:0:0:0,2.85E3,0,1.00:0,0.92,,
,0.10,9.26,425.3628,6.57 - 6.92,1,561.7,-,-,0,-,-,0,425.3625,6.71,2.95E3,-,-,0,425.3630,6.65,2.1E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0.71:0:0:0:0,8.43E2,0,1.00:0,6.68,,
,0.11,9.26,1017.8405,0.12 - 0.20,1,4.9E4,1017.8405,0.17,4.44E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,7.41E4,0,1.00:0,0.17,,
,0.11,9.26,1499.1539,15.51 - 16.53,1,1.5E4,-,-,0,-,-,0,-,-,0,1499.1539,15.96,1.33E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.21E4,0,1.00:0,15.96,,
,0.09,9.26,585.2875,4.10 - 4.34,1,299.6,-,-,0,585.2875,4.28,2.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.49E2,0,1.00:0,4.28,,
,0.09,9.26,946.8904,16.83 - 16.95,1,571.3,-,-,0,-,-,0,946.8904,16.88,5.14E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,8.57E2,0,1.00:0,16.88,,
,0.09,9.26,278.9016,2.83 - 3.41,3,711.5,-,-,0,278.9016,3.29,6.4E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.07E3,0,1.00:0,3.29,,
,0.09,9.26,772.5026,3.56 - 3.65,1,584.1,-,-,0,772.5026,3.60,5.26E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,8.76E2,0,1.00:0,3.60,,
,0.09,9.26,634.7337,0.08 - 0.62,1,587.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,634.7337,0.12,5.29E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.76E3,0:1.00,0.12,,
,0.09,9.26,895.4899,7.15 - 7.60,1,1.1E3,-,-,0,895.4899,7.51,9.95E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.66E3,0,1.00:0,7.51,,
,0.09,9.26,1099.1802,12.31 - 12.63,1,1.4E3,-,-,0,-,-,0,-,-,0,1099.1802,12.46,1.29E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.14E3,0,1.00:0,12.46,,
,0.09,9.26,705.4931,5.61 - 6.12,1,1.5E3,-,-,0,705.4931,6.04,1.32E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.2E3,0,1.00:0,6.04,,
,0.10,9.26,1173.2920,11.84 - 12.24,1,2.5E3,-,-,0,1173.2935,12.11,2.15E4,-,-,0,-,-,0,-,-,0,1173.2905,12.09,8.45E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.04:0:0:0,3.73E3,0,1.00:0,12.10,,
,0.09,9.26,1017.2216,9.52 - 9.76,1,568.1,-,-,0,-,-,0,-,-,0,1017.2216,9.63,5.11E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,8.52E2,0,1.00:0,9.63,,
