Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP10_C00_neg m/z,ORP10_C00_neg RT mean,ORP10_C00_neg Normalized Area,ORP10_C07_neg m/z,ORP10_C07_neg RT mean,ORP10_C07_neg Normalized Area,ORP10_C08_neg m/z,ORP10_C08_neg RT mean,ORP10_C08_neg Normalized Area,ORP10_C09_neg m/z,ORP10_C09_neg RT mean,ORP10_C09_neg Normalized Area,ORP10_C10_neg m/z,ORP10_C10_neg RT mean,ORP10_C10_neg Normalized Area,ORP10_C11_neg m/z,ORP10_C11_neg RT mean,ORP10_C11_neg Normalized Area,ORP10_C04_neg m/z,ORP10_C04_neg RT mean,ORP10_C04_neg Normalized Area,ORP10_C05_neg m/z,ORP10_C05_neg RT mean,ORP10_C05_neg Normalized Area,ORP10_C06_neg m/z,ORP10_C06_neg RT mean,ORP10_C06_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.15,3.29,666.0981,0.11 - 0.21,2,2.3E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,666.0973,0.18,1.32E5,-,-,0,-,-,0,666.0990,0.16,7.82E4,0:0:0:0:0:1.00:0:0:0.59,2.2E4,2.61E4,0.84:1.00,0.17,,
,0.15,4.11,884.2814,19.32 - 20.18,2,793.4,884.2842,19.57,7.15E2,884.2800,19.92,1.98E3,-,-,0,-,-,0,-,-,0,884.2808,19.81,1.03E3,884.2811,19.78,1.54E3,884.2762,20.08,1.23E3,884.2860,19.42,6.44E2,0.58:1.61:0:0:0:0.84:1.25:1.00:0.52,6.21E2,1.14E3,0.55:1.00,19.76,,
,0.15,3.63,966.1079,6.86 - 7.14,1,606.4,-,-,0,-,-,0,-,-,0,-,-,0,966.1068,6.99,4.04E3,-,-,0,966.1090,7.02,1.42E3,-,-,0,-,-,0,0:0:0:0:1.00:0:0.35:0:0,6.73E2,4.73E2,1.42:1.00,7.01,,
,0.15,6.46,425.3647,6.17 - 7.13,1,2.4E3,-,-,0,425.3648,6.72,2.58E3,-,-,0,425.3647,6.71,3.85E3,-,-,0,-,-,0,425.3649,6.73,7.1E3,425.3645,6.72,5.44E3,425.3647,6.73,3.06E3,0:0.47:0:0.71:0:0:1.31:1.00:0.56,1.07E3,5.2E3,0.21:1.00,6.72,,
,0.15,6.91,640.5653,11.40 - 12.05,1,1.4E3,-,-,0,-,-,0,-,-,0,-,-,0,640.5651,11.83,1.2E4,-,-,0,-,-,0,640.5655,11.85,1.04E3,-,-,0,0:0:0:0:11.55:0:0:1.00:0,1.99E3,3.45E2,5.77:1.00,11.84,,
,0.15,3.75,507.3698,3.37 - 3.74,1,443.5,-,-,0,-,-,0,-,-,0,507.3699,3.60,2.26E3,-,-,0,-,-,0,-,-,0,507.3698,3.60,1.73E3,-,-,0,0:0:0:1.31:0:0:0:1.00:0,3.77E2,5.76E2,0.65:1.00,3.60,,
,0.15,3.10,925.7642,19.67 - 20.15,1,2.8E3,925.7617,19.97,2.99E3,-,-,0,925.7680,19.87,7.17E3,-,-,0,-,-,0,925.7640,19.93,6.24E3,925.7625,20.08,3.29E3,925.7646,19.90,5.39E3,-,-,0,0.55:0:1.33:0:0:1.16:0.61:1.00:0,2.73E3,2.9E3,0.94:1.00,19.95,,
,0.15,10.13,575.0947,0.16 - 0.18,1,2.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,575.0947,0.16,2.47E4,-,-,0,0:0:0:0:0:0:0:1.00:0,0,8.24E3,0:1.00,0.16,,
,0.15,10.06,1237.7827,7.66 - 7.86,1,643.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1237.7815,7.80,4.23E3,1237.7838,7.78,1.56E3,0:0:0:0:0:0:0:1.00:0.37,0,1.93E3,0:1.00,7.79,,
,0.15,4.65,777.8201,19.05 - 20.23,1,4.8E3,-,-,0,777.8194,19.42,6.58E3,777.8203,19.57,1.45E4,777.8210,19.44,7.52E3,-,-,0,777.8190,19.21,7.48E3,-,-,0,-,-,0,777.8208,19.80,7.55E3,0:1.00:2.20:1.14:0:1.14:0:0:1.15,6.02E3,2.52E3,2.39:1.00,19.48,,
,0.15,5.88,586.8203,11.64 - 13.47,1,1.2E3,586.8214,13.37,1.73E3,-,-,0,586.8231,12.65,1.51E3,586.8207,12.47,5.89E2,586.8205,13.15,4.14E3,586.8221,11.87,1.85E3,-,-,0,586.8141,12.76,1.22E3,-,-,0,1.42:0:1.24:0.48:3.40:1.52:0:1.00:0,1.64E3,4.06E2,4.03:1.00,12.71,,
,0.15,8.02,722.8343,18.87 - 20.25,2,789.8,722.8345,19.23,3.27E3,722.8352,19.29,1.39E3,-,-,0,722.8336,19.66,5.03E2,722.8349,19.50,1.05E3,722.8330,19.04,5.01E2,-,-,0,722.8344,18.89,3.88E2,-,-,0,8.44:3.57:0:1.30:2.72:1.29:0:1.00:0,1.12E3,1.29E2,8.66:1.00,19.27,,
,0.15,3.49,926.0865,9.22 - 9.56,1,300.8,-,-,0,-,-,0,-,-,0,-,-,0,926.0861,9.50,1.63E3,-,-,0,-,-,0,926.0870,9.28,1.08E3,-,-,0,0:0:0:0:1.50:0:0:1.00:0,2.71E2,3.61E2,0.75:1.00,9.39,,
,0.15,6.10,361.8728,4.73 - 7.54,1,1.1E3,361.8726,4.77,2.69E2,-,-,0,361.8726,4.92,1.02E3,-,-,0,361.8726,5.22,1.09E3,361.8726,5.74,6.27E2,361.8729,6.38,3.63E3,361.8736,5.63,2.98E3,-,-,0,0.09:0:0.34:0:0.36:0.21:1.22:1.00:0,5.01E2,2.2E3,0.23:1.00,5.44,,
,0.15,4.05,459.1008,2.21 - 2.42,1,377.8,-,-,0,-,-,0,-,-,0,459.1007,2.35,7.19E2,459.1014,2.34,1.07E3,-,-,0,-,-,0,459.1005,2.33,6.86E2,459.1005,2.34,9.22E2,0:0:0:1.05:1.56:0:0:1.00:1.34,2.99E2,5.36E2,0.56:1.00,2.34,,
,0.15,3.66,674.8606,20.05 - 20.25,1,1.4E3,674.8614,20.18,3.25E3,-,-,0,-,-,0,674.8589,20.18,1.99E3,-,-,0,674.8599,20.18,1.83E3,674.8633,20.20,2.97E3,674.8597,20.20,2.19E3,-,-,0,1.48:0:0:0.91:0:0.84:1.36:1.00:0,1.18E3,1.72E3,0.69:1.00,20.19,,
,0.15,10.13,390.8713,16.80 - 17.05,1,399,390.8712,16.97,1.72E3,-,-,0,-,-,0,390.8713,16.92,1.87E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:1.09:0:0:0:0:0,5.98E2,0,1.00:0,16.94,,
,0.15,10.13,478.3117,2.89 - 3.02,1,656.6,-,-,0,478.3120,2.94,1.96E3,-,-,0,478.3115,2.94,2.38E3,478.3116,2.94,1.57E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:1.22:0.80:0:0:0:0,9.85E2,0,1.00:0,2.94,,
,0.15,4.75,429.2865,0.85 - 3.92,1,1E4,-,-,0,429.2867,2.57,1.16E4,429.2864,3.38,1.64E4,-,-,0,429.2859,2.64,1.35E4,-,-,0,429.2865,2.61,4.12E4,-,-,0,429.2872,2.82,1.08E4,0:1.00:1.42:0:1.17:0:3.57:0:0.94,6.91E3,1.74E4,0.40:1.00,2.80,,
,0.15,3.90,535.4016,5.00 - 5.48,1,469.6,-,-,0,-,-,0,-,-,0,-,-,0,535.4011,5.36,2.31E3,-,-,0,-,-,0,535.4020,5.14,1.91E3,-,-,0,0:0:0:0:1.21:0:0:1.00:0,3.85E2,6.38E2,0.60:1.00,5.25,,
,0.15,5.14,585.9820,2.98 - 3.20,1,837.3,-,-,0,-,-,0,585.9811,3.05,9.02E2,585.9821,3.05,1.02E3,-,-,0,585.9821,3.05,1.13E3,-,-,0,585.9821,3.05,2.58E3,585.9828,3.05,1.9E3,0:0:0.35:0.40:0:0.44:0:1.00:0.74,5.09E2,1.49E3,0.34:1.00,3.05,,
,0.15,3.05,406.3098,1.36 - 1.95,1,1.7E3,-,-,0,406.3098,1.70,4.61E3,-,-,0,406.3098,1.89,5.52E3,-,-,0,-,-,0,-,-,0,406.3099,1.69,5.21E3,-,-,0,0:0.89:0:1.06:0:0:0:1.00:0,1.69E3,1.74E3,0.97:1.00,1.76,,
,0.15,10.12,380.2808,0.26 - 0.87,1,2.1E3,380.2808,0.74,5.3E3,380.2808,0.73,7.37E3,-,-,0,380.2809,0.75,6.08E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.39:0:1.15:0:0:0:0:0,3.13E3,0,1.00:0,0.74,,
,0.15,3.44,521.3851,4.20 - 4.89,1,968.3,-,-,0,-,-,0,-,-,0,-,-,0,521.3845,4.53,5.3E3,-,-,0,-,-,0,521.3857,4.55,3.41E3,-,-,0,0:0:0:0:1.55:0:0:1.00:0,8.84E2,1.14E3,0.78:1.00,4.54,,
,0.15,10.15,337.8612,21.43 - 21.99,1,218.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,337.8616,21.44,1.73E3,337.8608,21.96,2.4E2,-,-,0,0:0:0:0:0:0:7.20:1.00:0,0,6.55E2,0:1.00,21.70,,
,0.15,4.02,444.3063,2.82 - 3.30,2,571.5,444.3060,2.95,7.86E2,444.3078,3.16,1.4E3,444.3056,2.93,1.4E3,-,-,0,444.3055,2.91,4.21E2,-,-,0,-,-,0,444.3067,2.97,1.14E3,-,-,0,0.69:1.23:1.23:0:0.37:0:0:1.00:0,6.67E2,3.8E2,1.76:1.00,2.98,,
,0.15,10.07,318.0699,1.41 - 1.97,1,1.4E3,318.0696,1.90,7.66E3,-,-,0,318.0702,1.91,4.71E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0.61:0:0:0:0:0:0,2.06E3,0,1.00:0,1.91,,
,0.15,6.42,681.3544,19.32 - 20.20,1,683.5,681.3566,20.13,1.45E3,681.3527,20.14,1.38E3,681.3544,20.13,2.3E3,-,-,0,-,-,0,681.3530,19.59,4.59E2,681.3542,19.38,1.32E2,681.3555,19.69,4.3E2,-,-,0,3.36:3.22:5.34:0:0:1.07:0.31:1.00:0,9.31E2,1.88E2,4.97:1.00,19.84,,
,0.15,8.45,740.6447,12.66 - 13.06,1,1.2E3,-,-,0,-,-,0,-,-,0,740.6448,12.86,1.8E3,-,-,0,-,-,0,-,-,0,-,-,0,740.6445,12.87,8.89E3,0:0:0:1.00:0:0:0:0:4.95,2.99E2,2.96E3,0.10:1.00,12.87,,
,0.15,5.35,656.8127,0.64 - 8.32,3,1.2E4,656.8094,3.68,1.45E4,656.8122,4.00,2.72E4,-,-,0,-,-,0,-,-,0,-,-,0,656.8147,4.00,1.86E4,656.8154,3.88,2.57E4,656.8117,3.56,2.36E4,0.56:1.06:0:0:0:0:0.72:1.00:0.92,6.96E3,2.26E4,0.31:1.00,3.82,,
,0.15,5.95,585.5148,9.88 - 10.53,1,2.2E3,-,-,0,-,-,0,-,-,0,-,-,0,585.5146,10.36,1.78E4,-,-,0,-,-,0,585.5150,10.40,2.15E3,-,-,0,0:0:0:0:8.30:0:0:1.00:0,2.97E3,7.16E2,4.15:1.00,10.38,,
,0.15,10.06,1062.8423,16.82 - 16.90,1,165.8,-,-,0,-,-,0,-,-,0,1062.8433,16.86,5.67E2,1062.8413,16.84,9.25E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:1.63:0:0:0:0,2.49E2,0,1.00:0,16.85,,
,0.15,4.00,467.1328,18.05 - 19.17,1,823.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,467.1327,18.51,3.96E3,-,-,0,467.1330,18.21,3.46E3,-,-,0,0:0:0:0:0:1.14:0:1.00:0,6.6E2,1.15E3,0.57:1.00,18.36,,
,0.15,5.45,473.1240,3.12 - 3.87,1,1.5E3,473.1230,3.66,4.33E3,473.1249,3.24,4.34E3,473.1243,3.34,2.38E3,-,-,0,-,-,0,473.1237,3.29,7.82E2,-,-,0,-,-,0,473.1238,3.24,1.72E3,1.00:1.00:0.55:0:0:0.18:0:0:0.40,1.97E3,5.75E2,3.43:1.00,3.36,,
,0.15,9.90,994.6025,0.12 - 0.21,1,4.4E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,994.6025,0.18,3.96E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,6.6E4,0,1.00:0,0.18,,
,0.15,3.26,406.8670,1.86 - 10.33,1,7.7E4,406.8674,4.81,1.12E5,406.8669,4.18,6.26E4,406.8668,4.55,1.31E5,406.8669,4.58,4.93E4,406.8677,5.33,1.33E5,-,-,0,406.8669,4.82,1.14E5,-,-,0,406.8669,4.58,9.44E4,1.00:0.56:1.18:0.44:1.19:0:1.02:0:0.85,8.13E4,6.95E4,1.17:1.00,4.69,,
,0.15,3.01,312.8653,16.63 - 17.99,3,487.5,312.8654,17.42,4.98E2,312.8649,16.89,5.01E2,312.8661,16.78,1.09E3,-,-,0,312.8647,17.84,8.29E2,-,-,0,312.8656,17.12,1.31E3,312.8650,17.26,1.61E2,-,-,0,3.09:3.12:6.79:0:5.15:0:8.13:1.00:0,4.87E2,4.89E2,0.99:1.00,17.22,,
,0.15,3.87,710.3354,19.22 - 20.23,1,628.1,710.3376,20.11,1.46E3,710.3364,20.02,1.49E3,-,-,0,-,-,0,-,-,0,710.3319,19.29,1.6E2,710.3369,19.52,5.88E2,710.3367,20.12,9.93E2,710.3330,20.09,9.65E2,1.47:1.50:0:0:0:0.16:0.59:1.00:0.97,5.18E2,8.49E2,0.61:1.00,19.86,,
,0.15,9.90,264.1600,0.14 - 2.22,1,2E5,264.1603,0.16,7.99E5,264.1604,0.17,8.5E5,-,-,0,264.1594,0.18,1.63E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.06:0:0.20:0:0:0:0:0,3.02E5,0,1.00:0,0.17,,
,0.15,9.90,479.1625,9.51 - 15.91,1,1.8E4,-,-,0,-,-,0,-,-,0,-,-,0,479.1624,10.91,1.33E5,479.1625,9.69,3.21E4,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.24:0:0:0,2.76E4,0,1.00:0,10.30,,
,0.15,4.73,610.3914,3.63 - 3.71,1,278.6,-,-,0,-,-,0,-,-,0,610.3915,3.68,1.11E3,-,-,0,-,-,0,-,-,0,610.3914,3.67,1.4E3,-,-,0,0:0:0:0.79:0:0:0:1.00:0,1.85E2,4.66E2,0.40:1.00,3.68,,
,0.15,9.96,437.1371,0.14 - 0.41,1,5.5E3,437.1371,0.16,4.98E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,8.3E3,0,1.00:0,0.16,,
,0.15,4.32,396.8495,4.65 - 6.48,1,638,396.8496,5.57,1.49E3,396.8488,4.70,2.19E2,-,-,0,-,-,0,396.8497,5.27,8.37E2,396.8497,5.00,2.87E2,396.8497,6.43,3.03E2,396.8497,5.64,2.61E3,-,-,0,0.57:0.08:0:0:0.32:0.11:0.12:1.00:0,4.72E2,9.71E2,0.49:1.00,5.43,,
,0.15,3.32,734.8314,19.75 - 20.30,1,2.3E3,734.8301,19.92,3.06E2,-,-,0,734.8289,20.19,6.68E3,734.8315,20.20,3.88E3,-,-,0,734.8307,20.20,3.47E3,734.8329,20.22,4.92E3,734.8340,19.96,1E3,-,-,0,0.31:0:6.67:3.87:0:3.46:4.91:1.00:0,2.39E3,1.97E3,1.21:1.00,20.11,,
,0.15,3.50,327.1806,1.03 - 1.74,1,2.7E3,-,-,0,-,-,0,-,-,0,327.1808,1.60,3.64E3,327.1807,1.59,1.09E4,-,-,0,-,-,0,327.1802,1.58,9.7E3,-,-,0,0:0:0:0.37:1.12:0:0:1.00:0,2.42E3,3.23E3,0.75:1.00,1.59,,
,0.15,10.04,588.5723,0.12 - 0.22,3,3.8E4,588.5723,0.16,1.5E5,588.5729,0.17,1.06E5,588.5717,0.16,8.29E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.70:0.55:0:0:0:0:0:0,5.65E4,0,1.00:0,0.16,,
,0.15,3.16,424.8332,0.11 - 0.24,1,2.6E5,-,-,0,-,-,0,-,-,0,424.8330,0.18,9.22E5,424.8338,0.17,5.85E5,-,-,0,-,-,0,-,-,0,424.8329,0.18,8.26E5,0:0:0:1.00:0.63:0:0:0:0.90,2.51E5,2.75E5,0.91:1.00,0.18,,
,0.15,3.42,812.0356,4.63 - 4.85,1,2.4E3,812.0355,4.71,1.25E3,812.0372,4.71,1.27E3,-,-,0,-,-,0,812.0349,4.71,1.3E4,-,-,0,812.0349,4.75,6.06E3,-,-,0,-,-,0,1.00:1.01:0:0:10.38:0:4.84:0:0,2.58E3,2.02E3,1.28:1.00,4.72,,
,0.15,3.63,723.8350,19.41 - 20.16,2,575.4,723.8318,19.58,7.31E2,723.8340,19.94,1.98E3,723.8375,19.79,2.38E2,-,-,0,-,-,0,723.8359,19.86,8.99E2,723.8342,19.90,6.01E2,723.8367,19.60,7.32E2,-,-,0,1.00:2.70:0.32:0:0:1.23:0.82:1.00:0,6.41E2,4.44E2,1.44:1.00,19.78,,
,0.15,3.23,737.7746,18.79 - 20.09,1,1.4E3,737.7774,19.80,8.56E2,737.7743,18.83,2.75E3,737.7780,19.20,1.71E3,-,-,0,737.7714,19.00,3.15E3,-,-,0,737.7708,19.56,2.99E3,-,-,0,737.7756,19.40,7.05E2,1.00:3.22:2.00:0:3.68:0:3.49:0:0.82,1.41E3,1.23E3,1.15:1.00,19.30,,
,0.15,4.95,275.8247,9.12 - 12.69,1,576.7,-,-,0,-,-,0,275.8243,10.28,5.42E2,275.8247,10.99,1.15E3,275.8252,10.94,4.75E2,-,-,0,275.8248,12.33,1.93E3,275.8248,10.80,9.65E2,275.8248,9.16,1.29E2,0:0:0.56:1.19:0.49:0:2.00:1.00:0.13,3.61E2,1.01E3,0.36:1.00,10.75,,
,0.15,9.92,990.6067,0.12 - 0.21,1,3.6E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,990.6067,0.18,3.2E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,5.33E4,0,1.00:0,0.18,,
,0.15,9.31,450.8484,3.54 - 8.65,1,1.7E4,450.8480,3.96,7.71E2,-,-,0,450.8481,3.65,1.47E5,-,-,0,450.8484,3.85,1.32E3,450.8486,3.63,5.17E2,-,-,0,450.8487,3.71,4.86E3,450.8486,3.63,7.33E2,0.16:0:30.25:0:0.27:0.11:0:1.00:0.15,2.49E4,1.86E3,13.37:1.00,3.74,,
,0.15,7.98,452.9223,0.11 - 5.21,1,4.6E5,-,-,0,-,-,0,-,-,0,452.9219,0.19,2.4E5,-,-,0,452.9221,0.21,5.31E5,-,-,0,452.9229,0.16,2.12E5,452.9224,0.18,3.18E6,0:0:0:1.13:0:2.50:0:1.00:15.00,1.28E5,1.13E6,0.11:1.00,0.19,,
,0.15,3.62,459.1046,17.96 - 19.17,1,689.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,459.1053,18.39,4.61E3,-,-,0,459.1038,18.21,1.6E3,-,-,0,0:0:0:0:0:2.89:0:1.00:0,7.68E2,5.32E2,1.44:1.00,18.30,,
,0.15,9.77,459.1043,13.70 - 20.09,1,4.9E4,-,-,0,-,-,0,-,-,0,-,-,0,459.1046,16.52,4.4E5,459.1041,17.76,1.81E3,-,-,0,459.1044,17.53,1.34E3,-,-,0,0:0:0:0:329.41:1.35:0:1.00:0,7.37E4,4.46E2,165.38:1.00,17.27,,
,0.15,5.21,838.4855,8.23 - 8.61,1,822.1,-,-,0,838.4850,8.46,2.87E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,838.4860,8.49,4.53E3,-,-,0,0:0.63:0:0:0:0:0:1.00:0,4.78E2,1.51E3,0.32:1.00,8.47,,
,0.15,5.09,742.8517,20.01 - 20.24,1,2E3,-,-,0,742.8521,20.16,3.99E3,742.8529,20.16,3.36E3,-,-,0,-,-,0,-,-,0,742.8540,20.20,4.74E3,742.8518,20.17,3.98E3,742.8477,20.19,2.36E3,0:1.00:0.85:0:0:0:1.19:1.00:0.59,1.22E3,3.69E3,0.33:1.00,20.18,,
,0.15,9.68,323.9395,0.26 - 0.45,1,6E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,323.9395,0.32,5.4E4,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.8E4,0:1.00,0.32,,
,0.15,7.05,987.7985,18.91 - 20.23,1,5.5E3,-,-,0,987.7988,19.59,1.79E3,-,-,0,987.8036,19.41,8.17E2,987.7955,20.15,8.78E3,-,-,0,987.7980,20.15,2.04E4,987.7986,20.15,1.12E4,987.7962,20.13,6.59E3,0:0.16:0:0.07:0.78:0:1.82:1.00:0.59,1.9E3,1.27E4,0.15:1.00,19.93,,
,0.15,3.51,443.2811,3.02 - 3.14,1,451.8,-,-,0,443.2806,3.09,1.88E3,-,-,0,-,-,0,-,-,0,443.2813,3.11,5.36E2,-,-,0,443.2814,3.09,1.65E3,-,-,0,0:1.14:0:0:0:0.33:0:1.00:0,4.03E2,5.49E2,0.73:1.00,3.10,,
,0.15,4.10,914.7254,19.15 - 20.13,1,3.6E3,914.7251,19.57,9.2E3,914.7261,19.95,6.75E3,914.7257,19.95,5.17E3,-,-,0,-,-,0,914.7247,19.49,4.55E3,-,-,0,914.7255,19.70,6.77E3,-,-,0,1.36:1.00:0.76:0:0:0.67:0:1.00:0,4.28E3,2.26E3,1.89:1.00,19.73,,
,0.15,4.10,576.7953,13.05 - 16.66,1,5.6E3,-,-,0,576.7957,14.54,5.12E3,576.7962,16.10,1.15E3,576.7953,16.60,1.57E3,576.7949,13.45,3.16E4,576.7946,16.06,5.24E2,576.7939,15.38,1.36E3,576.7964,13.66,9.24E3,-,-,0,0:0.55:0.12:0.17:3.42:0.06:0.15:1.00:0,6.67E3,3.53E3,1.89:1.00,15.11,,
,0.15,3.39,934.7873,16.35 - 18.32,1,7.5E3,-,-,0,934.7859,18.07,7.11E3,934.7905,17.24,3.24E4,-,-,0,934.7849,17.85,8.72E3,-,-,0,934.7887,17.89,1.13E4,-,-,0,934.7866,17.91,7.7E3,0:1.00:4.56:0:1.23:0:1.60:0:1.08,8.04E3,6.35E3,1.27:1.00,17.79,,
,0.15,3.92,662.8377,2.43 - 6.34,1,9.4E3,662.8388,2.93,1.99E3,-,-,0,662.8389,3.32,2.84E4,-,-,0,662.8382,3.34,5.79E2,662.8348,3.44,1.44E4,-,-,0,662.8429,3.53,1.71E4,662.8327,3.42,2.17E4,0.12:0:1.66:0:0.03:0.84:0:1.00:1.27,7.56E3,1.29E4,0.58:1.00,3.33,,
,0.15,8.82,498.1408,3.32 - 4.44,1,1.5E3,498.1408,3.62,2.33E2,-,-,0,-,-,0,498.1424,4.25,1.05E3,498.1403,3.78,6.28E2,-,-,0,498.1399,3.69,8.71E3,498.1406,3.81,3.12E3,-,-,0,0.07:0:0:0.34:0.20:0:2.79:1.00:0,3.18E2,3.94E3,0.08:1.00,3.83,,
,0.15,4.47,800.8065,14.38 - 18.39,1,1.2E3,800.8121,14.74,1.31E3,800.8040,16.21,1.3E3,-,-,0,800.8037,15.84,1.62E3,-,-,0,800.8079,14.58,1.03E3,800.8059,16.06,3.45E3,800.8052,14.70,2.53E3,-,-,0,0.52:0.51:0:0.64:0:0.41:1.36:1.00:0,8.75E2,1.99E3,0.44:1.00,15.36,,
,0.15,5.82,808.8363,11.35 - 19.78,1,3.8E4,808.8365,13.96,9.58E3,-,-,0,-,-,0,808.8375,14.78,7.08E4,-,-,0,808.8361,14.11,3.09E4,808.8370,15.24,6.82E4,808.8342,14.22,9.84E4,808.8365,13.76,6.71E4,0.10:0:0:0.72:0:0.31:0.69:1.00:0.68,1.85E4,7.79E4,0.24:1.00,14.35,,
,0.15,6.05,680.8112,17.14 - 20.15,1,1.4E3,680.8114,18.16,6.23E2,680.8136,18.74,1.28E3,-,-,0,680.8106,17.20,4.92E2,-,-,0,680.8114,18.02,1.33E3,680.8088,18.65,7.55E3,680.8116,18.17,9.54E2,-,-,0,0.65:1.35:0:0.52:0:1.40:7.92:1.00:0,6.21E2,2.84E3,0.22:1.00,18.16,,
,0.15,9.78,449.0754,18.10 - 19.43,1,2E3,-,-,0,-,-,0,-,-,0,-,-,0,449.0744,18.30,1.79E4,449.0763,18.53,3.8E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.02:0:0:0,3.04E3,0,1.00:0,18.42,,
,0.14,9.78,713.4736,0.11 - 0.26,1,1.3E4,-,-,0,713.4736,0.17,1.2E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.01E4,0,1.00:0,0.17,,
,0.14,9.85,845.9666,0.10 - 0.19,1,3E4,845.9675,0.16,2.93E4,-,-,0,-,-,0,845.9658,0.18,2.36E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:8.06:0:0:0:0:0,4.43E4,0,1.00:0,0.17,,
,0.14,4.71,845.8068,19.26 - 20.23,1,3E3,845.8068,19.70,3.22E3,845.8072,19.51,5.6E3,845.8057,19.54,1.14E4,-,-,0,-,-,0,845.8082,19.37,2.54E3,-,-,0,845.8060,19.72,4.53E3,-,-,0,0.71:1.24:2.51:0:0:0.56:0:1.00:0,3.79E3,1.51E3,2.51:1.00,19.57,,
,0.14,5.71,728.2255,0.43 - 0.56,1,611.7,-,-,0,728.2253,0.51,1.87E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,728.2256,0.52,3.63E3,0:1.00:0:0:0:0:0:0:1.94,3.12E2,1.21E3,0.26:1.00,0.52,,
,0.14,3.39,319.1916,2.33 - 3.20,1,652.9,-,-,0,-,-,0,-,-,0,-,-,0,319.1914,3.13,3.6E3,-,-,0,-,-,0,319.1917,3.12,2.28E3,-,-,0,0:0:0:0:1.58:0:0:1.00:0,5.99E2,7.6E2,0.79:1.00,3.13,,
,0.14,9.79,749.4808,0.16 - 0.66,1,1.2E4,-,-,0,-,-,0,749.4808,0.18,1.06E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.76E4,0,1.00:0,0.18,,
,0.14,4.34,580.8040,10.83 - 13.96,1,194.7,580.8080,12.17,4.15E2,580.8081,11.70,2.45E2,-,-,0,-,-,0,-,-,0,580.8055,12.08,1.92E2,580.8032,13.86,3.68E2,580.7990,11.97,3.14E2,580.7999,10.85,2.17E2,1.32:0.78:0:0:0:0.61:1.17:1.00:0.69,1.42E2,3E2,0.47:1.00,12.11,,
,0.14,9.85,428.2074,0.10 - 0.18,1,5.3E3,428.2074,0.16,4.8E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,8.01E3,0,1.00:0,0.16,,
,0.14,5.14,567.0889,3.62 - 3.72,1,1.2E3,-,-,0,567.0888,3.66,1.92E3,-,-,0,567.0890,3.66,2.48E3,-,-,0,-,-,0,-,-,0,567.0888,3.67,4.49E3,567.0889,3.67,2.22E3,0:0.43:0:0.55:0:0:0:1.00:0.49,7.33E2,2.24E3,0.33:1.00,3.67,,
