Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,PITPNC1_G00_neg m/z,PITPNC1_G00_neg RT mean,PITPNC1_G00_neg Normalized Area,PITPNC1_G05_neg m/z,PITPNC1_G05_neg RT mean,PITPNC1_G05_neg Normalized Area,PITPNC1_G06_neg m/z,PITPNC1_G06_neg RT mean,PITPNC1_G06_neg Normalized Area,PITPNC1_G07_neg m/z,PITPNC1_G07_neg RT mean,PITPNC1_G07_neg Normalized Area,PITPNC1_G10_neg m/z,PITPNC1_G10_neg RT mean,PITPNC1_G10_neg Normalized Area,PITPNC1_G11_neg m/z,PITPNC1_G11_neg RT mean,PITPNC1_G11_neg Normalized Area,PITPNC1_G12_neg m/z,PITPNC1_G12_neg RT mean,PITPNC1_G12_neg Normalized Area,PITPNC1_G08_neg m/z,PITPNC1_G08_neg RT mean,PITPNC1_G08_neg Normalized Area,PITPNC1_G09_neg m/z,PITPNC1_G09_neg RT mean,PITPNC1_G09_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.24,3.32,552.8686,7.60 - 9.14,1,1.1E3,552.8706,7.69,1.3E3,552.8678,8.03,2E3,552.8683,8.68,1.65E3,552.8684,8.83,1.41E3,-,-,0,-,-,0,552.8692,8.05,1.39E3,552.8683,8.66,9.63E2,552.8676,8.13,9.09E2,0.65:1.00:0.83:0.70:0:0:0.70:0.48:0.45,1.11E3,9.36E2,1.00:0.85,8.30,,
,0.24,3.18,473.2829,3.20 - 3.74,1,3.1E3,473.2897,3.68,1.53E4,473.2805,3.56,2E3,-,-,0,-,-,0,-,-,0,-,-,0,473.2816,3.57,5.07E3,473.2811,3.56,3.03E3,473.2817,3.56,2.79E3,7.65:1.00:0:0:0:0:2.54:1.52:1.40,3.19E3,2.91E3,1.00:0.91,3.59,,
,0.24,3.09,846.7343,17.76 - 19.64,1,2.5E3,-,-,0,-,-,0,846.7341,18.62,2.62E3,846.7351,18.90,3.54E3,846.7350,19.39,4.78E3,846.7330,18.69,3E3,846.7335,19.27,3.44E3,846.7327,17.94,2.5E3,846.7369,18.04,2.72E3,0:0:1.00:1.35:1.83:1.15:1.31:0.95:1.04,2.48E3,2.61E3,1.00:1.05,18.69,,
,0.24,3.18,672.7951,12.12 - 12.96,1,645,672.7931,12.33,6.4E2,-,-,0,672.7950,12.90,1.53E3,672.7941,12.33,8.41E2,672.7899,12.28,5.08E2,672.7980,12.27,6.32E2,672.7993,12.26,4.56E2,672.7961,12.22,1.2E3,-,-,0,1.00:0:2.40:1.31:0.79:0.99:0.71:1.87:0,6.58E2,5.98E2,1.00:0.91,12.37,,
,0.24,11.40,740.6401,12.65 - 13.11,1,1.8E3,-,-,0,740.6408,12.89,2.38E3,-,-,0,-,-,0,-,-,0,740.6395,12.85,4E3,740.6399,12.88,1E4,-,-,0,-,-,0,0:1.00:0:0:0:1.68:4.21:0:0,2.34E3,0,1.00:0,12.87,,
,0.24,11.40,501.3029,3.31 - 3.94,1,5.2E3,-,-,0,501.3025,3.86,1.02E4,501.3029,3.86,8.97E3,501.3026,3.85,1.34E3,-,-,0,501.3028,3.86,2.54E4,501.3038,3.63,5.84E2,-,-,0,-,-,0,0:1.00:0.88:0.13:0:2.48:0.06:0:0,6.65E3,0,1.00:0,3.81,,
,0.24,5.69,429.8587,10.13 - 14.34,1,3.2E3,429.8584,10.58,2.44E3,429.8587,11.26,1.13E4,429.8582,10.85,2.06E3,-,-,0,-,-,0,429.8584,10.45,3.38E3,429.8597,10.74,6.99E3,429.8588,10.93,1.57E3,429.8585,14.28,7.46E2,0.22:1.00:0.18:0:0:0.30:0.62:0.14:0.07,3.74E3,1.16E3,1.00:0.31,11.30,,
,0.24,4.59,892.7962,19.47 - 20.26,2,7.2E3,-,-,0,892.7952,19.63,2.25E3,892.7944,20.17,1.28E4,-,-,0,892.7964,20.16,1.43E4,-,-,0,892.7975,20.15,1.08E4,892.7971,20.17,1.02E4,892.7966,20.14,1.42E4,0:1.00:5.68:0:6.35:0:4.81:4.54:6.34,5.72E3,1.22E4,1.00:2.13,20.07,,
,0.24,3.60,678.8067,18.48 - 20.06,1,2.1E3,-,-,0,678.8059,19.03,1.32E3,678.8064,19.22,3.02E3,678.8123,18.64,3.45E3,678.8068,19.32,3.38E3,-,-,0,678.8066,19.40,2.14E3,678.8051,20.02,1.54E3,678.8038,19.23,3.62E3,0:1.00:2.29:2.62:2.56:0:1.63:1.17:2.74,1.9E3,2.58E3,1.00:1.36,19.27,,
,0.24,11.38,477.1600,14.85 - 20.08,1,1.1E5,477.1595,18.28,3.18E3,477.1592,18.40,2.75E3,477.1609,18.35,1.4E3,477.1599,18.27,1.89E3,477.1602,18.51,6.87E2,477.1600,17.23,9.96E5,-,-,0,-,-,0,-,-,0,1.16:1.00:0.51:0.69:0.32:362.17:0:0:0,1.44E5,0,1.00:0,18.18,,
,0.24,5.46,701.8082,10.67 - 11.63,1,755.9,-,-,0,701.8086,10.75,1.05E3,701.8076,11.54,8.73E2,701.8053,11.54,8.22E2,701.8083,11.44,1.18E3,701.8083,11.33,8.28E2,701.8087,11.17,1.46E3,701.8107,10.94,5.93E2,-,-,0,0:1.00:0.83:0.78:1.12:0.79:1.38:0.56:0,8.87E2,2.96E2,1.00:0.33,11.25,,
,0.24,4.57,661.7675,10.78 - 11.75,1,271.3,661.7656,11.48,3.5E2,-,-,0,661.7678,11.25,3.03E2,661.7668,11.51,3.24E2,661.7686,11.67,3.99E2,661.7688,10.82,2.22E2,661.7672,11.59,5.49E2,661.7677,11.23,2.93E2,-,-,0,1.00:0:0.87:0.93:1.14:0.63:1.57:0.84:0,3.07E2,1.47E2,1.00:0.48,11.36,,
,0.24,6.48,274.1441,1.12 - 1.95,1,4.2E3,-,-,0,274.1442,1.80,1.68E4,-,-,0,-,-,0,-,-,0,-,-,0,274.1440,1.80,1.86E4,274.1441,1.83,2.4E3,-,-,0,0:1.00:0:0:0:0:1.11:0.14:0,5.06E3,1.2E3,1.00:0.24,1.81,,
,0.24,5.33,872.7476,10.37 - 13.52,1,2.7E3,872.7520,11.24,1.59E3,872.7479,10.53,1.8E3,872.7461,12.07,9.37E3,872.7500,10.82,2.52E3,872.7489,11.09,5.27E3,872.7464,11.39,1.46E3,-,-,0,872.7418,10.67,2.23E3,-,-,0,0.89:1.00:5.21:1.40:2.93:0.81:0:1.24:0,3.14E3,1.11E3,1.00:0.35,11.12,,
,0.24,3.27,513.9582,1.94 - 2.48,1,5.1E3,513.9586,2.34,4.54E3,513.9581,2.35,1.36E4,-,-,0,-,-,0,513.9583,2.35,5.52E3,513.9581,2.35,3.88E3,513.9580,2.35,7.21E3,-,-,0,513.9580,2.34,1.14E4,0.33:1.00:0:0:0.41:0.29:0.53:0:0.84,4.97E3,5.72E3,1.00:1.15,2.35,,
,0.24,6.16,825.4124,14.39 - 14.69,1,5.8E3,825.4115,14.50,8.88E3,-,-,0,-,-,0,825.4126,14.49,3.92E4,-,-,0,-,-,0,-,-,0,-,-,0,825.4131,14.52,3.67E3,1.00:0:0:4.42:0:0:0:0:0.41,6.87E3,1.84E3,1.00:0.27,14.50,,
,0.24,11.52,679.4100,5.89 - 6.24,1,810.4,-,-,0,-,-,0,-,-,0,679.4095,6.03,1.33E3,-,-,0,-,-,0,-,-,0,679.4109,6.03,3.88E3,679.4096,6.02,2.08E3,0:0:0:1.00:0:0:0:2.92:1.56,1.9E2,2.98E3,1.00:15.68,6.03,,
,0.24,11.74,1099.2721,10.84 - 11.07,1,2.3E3,1099.2673,10.95,3.98E2,1099.2725,10.95,7.3E3,1099.2754,10.93,5.18E3,1099.2731,10.97,1.05E3,-,-,0,1099.2725,10.96,6.65E3,-,-,0,-,-,0,-,-,0,0.05:1.00:0.71:0.14:0:0.91:0:0:0,2.94E3,0,1.00:0,10.95,,
,0.24,11.74,386.2825,2.36 - 2.66,1,2E3,-,-,0,386.2827,2.56,5.02E3,-,-,0,-,-,0,-,-,0,386.2824,2.55,9.43E3,386.2825,2.55,3.17E3,-,-,0,-,-,0,0:1.00:0:0:0:1.88:0.63:0:0,2.52E3,0,1.00:0,2.55,,
,0.24,11.74,1433.9040,7.12 - 7.29,1,2.9E3,-,-,0,-,-,0,-,-,0,1433.9027,7.19,2.37E3,-,-,0,-,-,0,-,-,0,1433.9028,7.19,1.57E4,1433.9064,7.19,8.02E3,0:0:0:1.00:0:0:0:6.65:3.39,3.38E2,1.19E4,1.00:35.14,7.19,,
,0.24,11.74,312.8640,13.08 - 14.67,3,211.9,312.8639,14.12,2.22E2,312.8638,13.12,1.8E2,312.8636,13.44,2.72E2,312.8636,14.61,3.77E2,312.8641,13.81,4.45E2,312.8643,13.52,1.76E2,312.8649,13.91,2.35E2,-,-,0,-,-,0,1.23:1.00:1.51:2.10:2.47:0.98:1.31:0:0,2.73E2,0,1.00:0,13.79,,
,0.24,11.61,613.2796,0.58 - 1.34,1,3.9E3,613.2798,1.26,7.66E3,-,-,0,-,-,0,-,-,0,613.2793,1.26,2.96E3,-,-,0,613.2797,1.25,2.46E4,-,-,0,-,-,0,1.00:0:0:0:0.39:0:3.21:0:0,5.03E3,0,1.00:0,1.26,,
,0.24,3.82,372.0367,0.61 - 2.02,1,8.4E3,372.0367,1.91,1.69E4,372.0361,1.90,9.87E3,372.0372,1.90,1.17E3,-,-,0,372.0365,1.91,9.36E3,-,-,0,372.0363,1.91,2.62E4,372.0371,1.91,1.06E4,372.0369,1.90,1.53E3,1.71:1.00:0.12:0:0.95:0:2.66:1.07:0.15,9.08E3,6.06E3,1.00:0.67,1.91,,
,0.24,3.28,508.8052,14.94 - 16.54,1,1.1E3,-,-,0,508.8054,16.37,2.34E3,508.8054,15.11,1.49E3,-,-,0,508.8049,15.39,1.56E3,508.8049,15.16,1.71E3,508.8054,15.79,1.11E3,508.8049,15.22,1E3,508.8054,16.17,1.04E3,0:1.00:0.64:0:0.67:0.73:0.48:0.43:0.44,1.17E3,1.02E3,1.00:0.87,15.60,,
,0.24,4.01,374.8333,0.00 - 4.79,1,1.5E3,374.8328,0.05,1.27E3,374.8333,1.33,-,-,-,0,-,-,0,374.8334,0.05,2.04E3,374.8329,0.05,2.21E3,374.8331,0.05,2.09E3,374.8331,0.04,1.69E3,374.8341,0.05,2.43E3,1.00:-:0:0:1.60:1.74:1.64:1.32:1.91,1.27E3,2.06E3,1.00:1.62,0.23,,
,0.24,3.59,845.8035,19.04 - 19.96,1,1.4E3,845.7991,19.37,1.22E3,-,-,0,845.8052,19.62,2.82E3,845.8055,19.39,1.95E3,845.8003,19.51,2.89E3,845.8040,19.08,7.92E2,845.8050,19.14,9.15E2,-,-,0,845.8053,19.57,2.26E3,1.00:0:2.30:1.60:2.36:0.65:0.75:0:1.84,1.51E3,1.13E3,1.00:0.75,19.38,,
,0.24,11.60,810.7523,16.24 - 16.37,1,1.4E3,-,-,0,-,-,0,810.7519,16.29,2.54E3,-,-,0,-,-,0,810.7519,16.30,2.16E3,810.7531,16.30,7.56E3,-,-,0,-,-,0,0:0:1.00:0:0:0.85:2.98:0:0,1.75E3,0,1.00:0,16.30,,
,0.24,5.08,447.9092,5.48 - 6.28,1,246.7,447.9109,5.80,2.69E2,-,-,0,447.9100,5.66,2.69E2,447.9078,5.56,2.18E2,447.9090,6.16,3.7E2,447.9097,6.11,4.25E2,447.9094,5.90,4.44E2,-,-,0,447.9078,5.54,2.26E2,1.00:0:1.00:0.81:1.38:1.58:1.65:0:0.84,2.85E2,1.13E2,1.00:0.40,5.82,,
,0.24,5.73,383.8645,4.85 - 9.95,1,3.5E3,-,-,0,383.8654,5.07,4.26E3,383.8636,4.94,3.42E3,383.8644,5.08,6.08E2,383.8647,5.28,2.73E3,-,-,0,383.8648,4.95,1.76E4,383.8645,5.07,1.78E3,383.8644,5.03,7.83E2,0:1.00:0.80:0.14:0.64:0:4.13:0.42:0.18,4.09E3,1.28E3,1.00:0.31,5.06,,
,0.24,8.81,376.0106,1.49 - 1.73,1,770.6,376.0112,1.66,4.05E3,376.0100,1.66,9.21E2,-,-,0,-,-,0,-,-,0,-,-,0,376.0101,1.66,1.73E3,-,-,0,376.0111,1.65,2.34E2,4.40:1.00:0:0:0:0:1.88:0:0.25,9.57E2,1.17E2,1.00:0.12,1.66,,
,0.24,11.54,953.4468,2.26 - 3.02,1,4.8E3,953.4467,2.95,1.73E4,-,-,0,-,-,0,-,-,0,953.4474,2.95,1.61E3,-,-,0,953.4462,2.95,2.4E4,-,-,0,-,-,0,1.00:0:0:0:0.09:0:1.39:0:0,6.14E3,0,1.00:0,2.95,,
,0.24,3.92,568.4567,3.00 - 3.23,1,1.4E3,-,-,0,568.4566,3.14,5.26E3,-,-,0,-,-,0,-,-,0,568.4572,3.13,3.67E3,-,-,0,-,-,0,568.4565,3.12,4.01E3,0:1.00:0:0:0:0.70:0:0:0.76,1.28E3,2.01E3,1.00:1.57,3.13,,
,0.24,4.70,708.8091,18.58 - 20.16,1,7.3E3,-,-,0,708.8079,20.01,3.64E3,708.8098,19.81,2.14E4,708.8091,19.78,6.3E3,-,-,0,708.8090,19.62,6.37E3,708.8097,19.69,2.02E4,708.8104,18.92,5.14E3,708.8079,19.57,2.44E3,0:1.00:5.90:1.73:0:1.75:5.56:1.41:0.67,8.28E3,3.79E3,1.00:0.46,19.63,,
,0.24,7.20,670.7812,12.99 - 14.44,1,888.4,670.7769,14.35,9.94E2,670.7800,13.32,1.54E3,-,-,0,670.7777,14.03,1.46E3,670.7812,13.78,1.75E3,670.7859,13.79,1E3,670.7841,13.82,8.41E2,670.7824,13.01,4.11E2,-,-,0,0.65:1.00:0:0.95:1.14:0.65:0.55:0.27:0,1.08E3,2.06E2,1.00:0.19,13.73,,
,0.24,3.65,805.4379,3.81 - 3.98,1,723.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,805.4374,3.92,2.42E3,805.4397,3.92,2.24E3,-,-,0,805.4366,3.93,1.85E3,0:0:0:0:0:1.00:0.93:0:0.77,6.66E2,9.26E2,1.00:1.39,3.93,,
,0.24,4.44,882.7742,12.98 - 16.32,1,2.6E3,882.7669,15.48,1.48E3,882.7767,15.09,5.54E2,882.7756,13.71,1.11E4,-,-,-,882.7797,14.98,1.39E3,882.7744,16.22,6.98E2,882.7770,15.07,2.59E3,882.7764,13.60,2.05E3,882.7672,16.30,9.45E2,2.67:1.00:20.07:-:2.50:1.26:4.67:3.70:1.71,2.97E3,1.5E3,1.00:0.50,15.06,,
,0.24,4.50,604.8088,2.89 - 4.01,1,514.1,-,-,0,604.8105,3.28,4.2E2,604.8090,3.21,3.83E2,604.8071,3.96,3.72E2,604.8082,2.92,9.49E2,604.8097,3.16,8.34E2,604.8091,3.21,1.1E3,-,-,0,604.8082,3.21,5.71E2,0:1.00:0.91:0.89:2.26:1.99:2.61:0:1.36,5.79E2,2.86E2,1.00:0.49,3.28,,
,0.24,11.55,836.7053,18.49 - 19.23,1,924.2,836.7063,18.61,1.28E3,836.7048,19.10,1.1E3,836.7086,18.64,8.47E2,836.7062,19.19,8.2E2,836.7029,18.74,7.12E2,836.7039,18.77,1.69E3,836.7042,18.86,1.87E3,-,-,0,-,-,0,1.16:1.00:0.77:0.74:0.65:1.53:1.70:0:0,1.19E3,0,1.00:0,18.84,,
,0.24,11.55,1017.4493,6.61 - 6.86,1,2.3E3,-,-,0,1017.4502,6.73,1.2E4,1017.4484,6.70,5.01E3,1017.4493,6.74,3.74E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.42:0.31:0:0:0:0:0,2.96E3,0,1.00:0,6.72,,
,0.24,3.54,786.3092,19.38 - 20.12,1,871.7,786.3098,19.57,1.33E3,-,-,0,-,-,0,786.3113,19.54,6.66E2,786.3064,19.50,1.72E3,786.3090,20.08,1.38E3,786.3091,19.75,1.35E3,786.3079,20.07,6.09E2,786.3110,19.67,7.92E2,1.00:0:0:0.50:1.30:1.04:1.02:0.46:0.60,9.21E2,7E2,1.00:0.76,19.74,,
,0.24,4.57,654.8057,13.00 - 19.69,1,8.1E3,654.8062,13.96,3.27E4,654.8065,13.12,2.92E3,-,-,0,654.8071,13.57,3.69E3,654.8057,13.27,3.7E3,654.8062,13.19,1.3E4,654.8065,13.46,8.01E3,-,-,0,654.8021,14.69,8.75E3,11.20:1.00:0:1.26:1.27:4.46:2.75:0:3.00,9.14E3,4.38E3,1.00:0.48,13.61,,
,0.24,11.49,621.2903,2.01 - 2.25,1,3.6E3,-,-,0,-,-,0,621.2900,2.17,5.51E3,-,-,0,621.2903,2.17,2.62E4,621.2907,2.18,5.97E2,-,-,0,-,-,0,-,-,0,0:0:1.00:0:4.75:0.11:0:0:0,4.62E3,0,1.00:0,2.17,,
,0.24,11.62,312.8644,7.34 - 8.62,3,206.9,312.8640,7.58,1.53E2,312.8646,8.08,2.45E2,312.8644,8.11,1.36E2,312.8647,8.56,2.4E2,312.8640,7.87,4.95E2,312.8639,8.37,4.07E2,312.8649,7.37,1.87E2,-,-,0,-,-,0,0.62:1.00:0.55:0.98:2.02:1.66:0.76:0:0,2.66E2,0,1.00:0,7.99,,
,0.24,3.44,490.8249,21.24 - 21.99,1,268.5,490.8252,21.77,2.32E2,490.8253,21.33,2.59E2,-,-,0,490.8246,21.56,3.53E2,490.8252,21.93,5.72E2,-,-,0,490.8246,21.29,3.66E2,490.8252,21.37,3.4E2,490.8244,21.95,2.95E2,0.89:1.00:0:1.36:2.20:0:1.41:1.31:1.14,2.55E2,3.17E2,1.00:1.25,21.60,,
,0.24,4.26,546.8386,1.55 - 3.11,1,423,-,-,0,546.8386,3.09,2.33E2,546.8401,2.28,3.6E2,546.8376,1.90,1.06E3,546.8387,2.31,7.22E2,546.8392,2.24,6.11E2,546.8370,1.71,3.03E2,-,-,0,546.8391,2.19,5.18E2,0:1.00:1.55:4.56:3.11:2.63:1.30:0:2.23,4.7E2,2.59E2,1.00:0.55,2.25,,
,0.24,3.64,632.8090,4.41 - 5.89,1,1.2E3,632.8081,4.45,5.41E2,632.8073,5.60,3.47E3,632.8111,5.22,1.49E3,632.8102,5.17,7.1E2,-,-,0,632.8086,5.35,1.77E3,-,-,0,632.8074,5.40,9.68E2,632.8104,5.28,2.17E3,0.16:1.00:0.43:0.20:0:0.51:0:0.28:0.62,1.14E3,1.57E3,1.00:1.38,5.21,,
,0.24,3.46,612.8237,9.98 - 13.40,1,325.6,612.8223,10.32,3.47E2,612.8260,10.44,6.04E2,612.8232,10.56,3.1E2,612.8234,10.24,4.11E2,612.8231,10.50,4.8E2,-,-,0,-,-,0,612.8228,10.04,3.66E2,612.8250,13.34,4.12E2,0.58:1.00:0.51:0.68:0.80:0:0:0.61:0.68,3.07E2,3.89E2,1.00:1.27,10.78,,
,0.24,3.47,386.8185,4.08 - 4.77,3,348.6,-,-,0,386.8186,4.52,5.49E2,386.8186,4.57,6.54E2,386.8186,4.60,2.92E2,-,-,0,386.8186,4.56,5.07E2,386.8177,4.57,5.59E2,386.8187,4.37,4.59E2,386.8186,4.08,1.15E2,0:1.00:1.19:0.53:0:0.92:1.02:0.84:0.21,3.66E2,2.87E2,1.00:0.78,4.47,,
,0.24,5.22,552.8685,5.57 - 7.60,1,628.3,552.8699,6.86,7.02E2,552.8682,7.20,1.42E3,552.8690,5.63,4.58E2,552.8660,6.53,3.63E2,552.8689,6.79,7.33E2,-,-,0,552.8693,6.53,1.43E3,-,-,0,552.8686,6.16,5.49E2,0.49:1.00:0.32:0.26:0.51:0:1.00:0:0.39,7.29E2,2.74E2,1.00:0.38,6.53,,
,0.24,11.62,621.4368,4.43 - 4.98,1,1E4,621.4368,4.83,1.08E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,621.4371,4.83,1.18E4,621.4365,4.83,7.69E4,-,-,0,1.00:0:0:0:0:0:10.95:71.15:0,1.85E3,3.85E4,1.00:20.83,4.83,,
,0.24,3.71,382.8591,4.03 - 9.57,1,4.1E3,-,-,0,382.8598,5.15,3.43E3,382.8588,4.64,7.99E3,382.8587,4.77,1.11E3,382.8600,5.40,1.12E3,-,-,0,382.8589,4.57,1.7E4,382.8590,4.58,4.73E3,382.8585,4.67,1.41E3,0:1.00:2.33:0.32:0.33:0:4.95:1.38:0.41,4.38E3,3.07E3,1.00:0.70,4.83,,
,0.24,4.71,409.3097,4.10 - 4.75,1,2E3,-,-,0,-,-,0,409.3094,4.43,3.47E3,-,-,0,-,-,0,409.3099,4.57,3.82E3,409.3098,4.54,4E3,409.3098,4.42,3.84E3,409.3095,4.55,3.21E3,0:0:1.00:0:0:1.10:1.15:1.11:0.92,1.61E3,3.52E3,1.00:2.18,4.50,,
,0.24,11.49,528.1991,8.44 - 8.99,1,2E3,-,-,0,528.1993,8.83,2.36E3,528.1982,8.80,3.72E3,-,-,0,-,-,0,-,-,0,528.1997,8.84,1.2E4,-,-,0,-,-,0,0:1.00:1.57:0:0:0:5.08:0:0,2.58E3,0,1.00:0,8.82,,
,0.24,11.37,454.8070,6.85 - 8.68,1,376.5,454.8065,7.52,6.06E2,454.8076,7.24,4.73E2,454.8068,6.91,3.23E2,454.8063,8.63,3.82E2,454.8076,7.43,3.49E2,454.8077,7.34,8.97E2,454.8067,7.22,3.59E2,-,-,0,-,-,0,1.28:1.00:0.68:0.81:0.74:1.90:0.76:0:0,4.84E2,0,1.00:0,7.47,,
,0.24,11.50,475.1732,1.81 - 2.16,1,1.8E3,-,-,0,475.1730,2.02,7.58E3,-,-,0,-,-,0,-,-,0,475.1736,2.04,3.45E3,475.1731,2.03,4.93E3,-,-,0,-,-,0,0:1.00:0:0:0:0.46:0.65:0:0,2.28E3,0,1.00:0,2.03,,
,0.24,4.26,486.8032,3.40 - 4.54,1,185.4,486.8025,4.32,2.05E2,486.8028,4.28,2.88E2,486.8031,3.48,1.08E2,486.8036,3.83,2.55E2,486.8040,4.48,3.28E2,486.8017,4.16,2.6E2,-,-,0,-,-,0,486.8049,4.36,2.26E2,0.71:1.00:0.37:0.88:1.14:0.90:0:0:0.78,2.06E2,1.13E2,1.00:0.55,4.13,,
,0.24,3.05,732.8136,10.47 - 13.15,1,2.4E3,732.8136,10.62,2.32E3,732.8114,11.99,1.37E3,732.8125,11.86,2.47E3,732.8158,11.26,9.98E2,-,-,0,732.8187,11.36,7.86E3,732.8112,11.96,1.57E3,732.8121,11.36,4.63E3,-,-,0,1.70:1.00:1.81:0.73:0:5.74:1.15:3.38:0,2.37E3,2.31E3,1.00:0.98,11.49,,
,0.24,4.53,575.2999,2.55 - 2.86,1,1.3E3,-,-,0,575.2993,2.77,6.09E3,-,-,0,575.3010,2.77,1.48E3,-,-,0,-,-,0,-,-,0,575.3003,2.75,1.94E3,575.2991,2.78,2.47E3,0:1.00:0:0.24:0:0:0:0.32:0.41,1.08E3,2.21E3,1.00:2.04,2.77,,
,0.24,3.79,319.8165,5.40 - 6.56,1,365.8,-,-,0,319.8168,6.45,3.38E2,319.8162,5.54,3.14E2,319.8167,5.89,8.1E2,319.8168,6.41,5.92E2,319.8170,5.62,2.61E2,-,-,0,319.8159,6.23,7.88E2,319.8160,6.03,1.9E2,0:1.00:0.93:2.40:1.75:0.77:0:2.33:0.56,3.31E2,4.89E2,1.00:1.48,6.02,,
,0.24,10.88,825.4417,8.03 - 8.79,1,5.4E3,-,-,0,-,-,0,-,-,0,825.4421,8.42,8.64E3,825.4421,8.47,1.28E3,-,-,0,-,-,0,825.4404,8.41,2.66E4,825.4421,8.41,1.21E4,0:0:0:1.00:0.15:0:0:3.08:1.40,1.42E3,1.94E4,1.00:13.65,8.43,,
,0.24,4.22,999.2726,0.15 - 0.17,1,2.7E4,-,-,0,-,-,0,-,-,0,999.2711,0.17,1.62E5,-,-,0,-,-,0,-,-,0,999.2742,0.17,8.31E4,-,-,0,0:0:0:1.00:0:0:0:0.51:0,2.32E4,4.15E4,1.00:1.79,0.17,,
,0.24,4.01,688.7722,5.68 - 6.99,1,275.5,688.7709,6.30,3.33E2,688.7734,6.92,4.95E2,688.7731,6.47,3.65E2,688.7704,5.71,1.64E2,-,-,0,688.7694,6.56,2.79E2,688.7719,6.13,4.72E2,-,-,0,688.7762,6.42,3.71E2,0.67:1.00:0.74:0.33:0:0.56:0.95:0:0.75,3.01E2,1.86E2,1.00:0.62,6.36,,
,0.24,3.43,862.7203,11.24 - 14.51,1,634.4,862.7215,11.33,4.24E2,862.7250,11.47,8.48E2,862.7211,12.68,1.6E3,862.7198,11.91,7.63E2,862.7164,11.82,5.73E2,-,-,0,-,-,0,862.7195,11.35,9.42E2,862.7186,14.48,5.57E2,0.50:1.00:1.89:0.90:0.68:0:0:1.11:0.66,6.02E2,7.49E2,1.00:1.25,12.15,,
,0.24,11.65,947.1764,6.90 - 7.10,1,1.5E3,-,-,0,947.1790,7.00,3.16E3,947.1761,7.01,5.53E3,-,-,0,-,-,0,947.1784,7.01,4.84E3,947.1720,6.99,4.17E2,-,-,0,-,-,0,0:1.00:1.75:0:0:1.53:0.13:0:0,1.99E3,0,1.00:0,7.00,,
,0.24,5.65,670.7819,11.51 - 12.92,1,1.6E3,670.7820,12.05,2.89E3,670.7830,12.51,1.62E3,670.7828,12.64,4.56E3,670.7833,12.19,4.87E2,670.7841,12.06,1.24E3,670.7809,11.79,2.44E3,-,-,0,670.7770,11.58,1.22E3,-,-,0,1.79:1.00:2.82:0.30:0.77:1.51:0:0.76:0,1.89E3,6.1E2,1.00:0.32,12.12,,
,0.24,11.62,498.0925,3.01 - 3.61,1,932.9,-,-,0,498.0912,3.05,2.5E3,498.0927,3.57,1.29E3,498.0930,3.56,6.71E2,498.0934,3.06,1.18E3,498.0923,3.05,1.11E3,498.0926,3.06,1.64E3,-,-,0,-,-,0,0:1.00:0.52:0.27:0.47:0.45:0.66:0:0,1.2E3,0,1.00:0,3.22,,
,0.24,3.97,680.8104,8.64 - 9.87,1,429.8,680.8126,8.89,6.42E2,680.8090,9.48,5.91E2,680.8101,9.40,8.12E2,680.8080,9.12,1.57E2,680.8082,8.67,4.5E2,-,-,0,-,-,0,680.8121,9.74,7.96E2,680.8127,9.03,4.21E2,1.09:1.00:1.37:0.27:0.76:0:0:1.35:0.71,3.79E2,6.09E2,1.00:1.61,9.19,,
,0.24,6.48,367.9055,1.11 - 9.46,3,1.1E5,-,-,0,367.9052,4.46,1.88E5,367.9050,4.05,1.83E5,367.9063,4.55,3.11E4,367.9060,3.91,1.86E5,367.9055,4.05,1.8E5,367.9052,4.09,1.88E5,367.9052,4.39,2.97E4,367.9053,4.63,3.58E4,0:1.00:0.97:0.17:0.99:0.95:1.00:0.16:0.19,1.37E5,3.28E4,1.00:0.24,4.27,,
,0.24,4.33,404.2928,0.78 - 2.00,1,3.2E3,-,-,0,404.2925,1.65,1.1E4,-,-,0,-,-,0,-,-,0,-,-,0,404.2928,1.60,7.86E3,404.2932,1.65,1.01E4,-,-,0,0:1.00:0:0:0:0:0.72:0.92:0,2.69E3,5.05E3,1.00:1.88,1.64,,
,0.24,3.55,700.7978,10.98 - 14.55,1,1.7E3,-,-,0,700.7985,12.07,6.02E3,-,-,0,700.7976,12.10,1.9E3,700.7970,11.09,2.32E3,700.7972,11.26,1.02E3,700.7983,11.92,1.58E3,700.7967,11.66,2.14E3,700.7989,14.45,6.32E2,0:1.00:0:0.32:0.39:0.17:0.26:0.36:0.10,1.84E3,1.39E3,1.00:0.76,12.08,,
