Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS2_C00_neg m/z,CLVS2_C00_neg RT mean,CLVS2_C00_neg Normalized Area,CLVS2_C04_neg m/z,CLVS2_C04_neg RT mean,CLVS2_C04_neg Normalized Area,CLVS2_C05_neg m/z,CLVS2_C05_neg RT mean,CLVS2_C05_neg Normalized Area,CLVS2_C06_neg m/z,CLVS2_C06_neg RT mean,CLVS2_C06_neg Normalized Area,CLVS2_C07_neg m/z,CLVS2_C07_neg RT mean,CLVS2_C07_neg Normalized Area,CLVS2_C08_neg m/z,CLVS2_C08_neg RT mean,CLVS2_C08_neg Normalized Area,CLVS2_C09_neg m/z,CLVS2_C09_neg RT mean,CLVS2_C09_neg Normalized Area,CLVS2_C10_neg m/z,CLVS2_C10_neg RT mean,CLVS2_C10_neg Normalized Area,CLVS2_C11_neg m/z,CLVS2_C11_neg RT mean,CLVS2_C11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.23,4.19,506.7963,19.51 - 20.47,1,2.1E3,506.7957,19.91,1.71E3,506.7946,19.84,3.33E3,506.7946,19.56,3.97E3,506.7965,19.97,3.61E3,506.7992,20.44,3.3E2,-,-,0,-,-,0,506.7968,19.89,3.23E3,506.7968,19.95,3.04E3,0.43:0.84:1.00:0.91:0.08:0:0:0.81:0.77,2.59E3,1.57E3,1.00:0.60,19.94,,
,0.23,13.52,352.1912,2.05 - 2.66,1,1.3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,352.1913,2.37,1.97E3,352.1911,2.37,4.06E3,352.1911,2.36,5.6E3,0:0:0:0:0:0:1.00:2.06:2.85,0,2.91E3,0:1.00,2.36,,
,0.23,3.95,683.5269,11.33 - 12.11,1,2.6E3,683.5266,11.57,2.34E3,683.5273,11.50,5.38E3,-,-,0,-,-,0,683.5265,11.81,3.05E3,-,-,0,-,-,0,683.5273,11.81,1.29E4,-,-,0,1.00:2.30:0:0:1.31:0:0:5.52:0,2.15E3,3.22E3,1.00:1.50,11.67,,
,0.23,3.61,780.7503,14.05 - 15.40,1,820.5,780.7516,14.68,3.51E2,-,-,0,780.7446,14.19,1.04E3,780.7495,14.50,7.95E2,780.7552,14.63,1.42E3,780.7510,14.19,1.46E3,-,-,0,780.7501,15.38,1.65E3,780.7504,14.82,6.6E2,0.34:0:1.00:0.76:1.37:1.41:0:1.59:0.63,7.22E2,9.44E2,1.00:1.31,14.63,,
,0.23,4.74,814.7882,11.16 - 14.32,1,1.6E3,814.7864,12.65,5.35E3,-,-,0,814.7889,12.66,1.72E3,814.7900,12.60,1.65E3,814.7845,12.87,1.62E3,814.7831,11.97,1.04E3,814.7888,12.59,1.09E3,814.7958,11.34,1.98E3,-,-,0,3.10:0:1.00:0.96:0.94:0.61:0.63:1.15:0,2.07E3,1.03E3,1.00:0.50,12.38,,
,0.23,5.37,752.6762,15.20 - 15.37,1,653,-,-,0,752.6756,15.25,2.1E3,752.6761,15.27,1.1E3,-,-,0,752.6769,15.28,1.25E3,-,-,0,-,-,0,752.6760,15.27,1.43E3,-,-,0,0:1.91:1.00:0:1.14:0:0:1.30:0,8.89E2,3.58E2,1.00:0.40,15.27,,
,0.23,8.98,729.5627,2.53 - 2.79,1,806.2,-,-,0,-,-,0,-,-,0,-,-,0,729.5627,2.72,1.13E3,-,-,0,-,-,0,729.5626,2.73,2.19E3,729.5629,2.71,3.94E3,0:0:0:0:1.00:0:0:1.93:3.47,2.27E2,1.53E3,1.00:6.76,2.72,,
,0.23,4.23,752.8191,9.19 - 12.41,1,1E4,752.8200,10.34,-,752.8195,10.74,1.56E4,752.8194,10.81,1.09E4,752.8156,10.71,2.16E4,752.8197,11.03,3.78E3,-,-,0,752.8207,11.47,2.21E4,-,-,0,752.8190,11.36,8.77E3,-:1.43:1.00:1.98:0.35:0:2.02:0:0.80,1.3E4,7.71E3,1.00:0.59,10.92,,
,0.23,4.14,768.7861,6.13 - 7.64,1,875,768.7847,6.72,6.53E2,-,-,0,768.7794,6.55,9.31E2,768.7862,6.33,6.44E2,768.7908,6.27,1.18E3,768.7867,6.53,1.44E3,768.7884,7.39,2.2E3,-,-,0,768.7863,7.05,8.28E2,0.70:0:1.00:0.69:1.26:1.55:2.36:0:0.89,6.81E2,1.12E3,1.00:1.64,6.69,,
,0.23,7.53,915.5979,4.92 - 5.12,1,630.7,-,-,0,915.5968,5.04,1.99E3,-,-,0,915.5992,5.06,1.32E3,915.5974,5.06,1.56E3,-,-,0,915.5983,5.06,8.08E2,-,-,0,-,-,0,0:1.00:0:0.66:0.78:0:0.41:0:0,9.74E2,2.02E2,1.00:0.21,5.05,,
,0.23,4.91,352.9105,2.78 - 7.46,3,3.8E3,-,-,-,352.9096,3.41,1.47E3,352.9110,3.42,1.89E3,352.9113,3.64,1.63E4,352.9095,3.47,1.28E3,352.9105,3.41,7.39E2,352.9105,3.38,7.77E3,352.9106,2.86,3.63E2,352.9108,3.31,7.27E2,-:0.78:1.00:8.61:0.68:0.39:4.10:0.19:0.38,5.24E3,2.4E3,1.00:0.46,3.36,,
,0.23,4.55,738.7687,6.75 - 8.17,1,284.1,738.7695,8.12,3.51E2,738.7638,6.91,4.46E2,738.7701,7.93,2.55E2,738.7700,6.80,4.7E2,738.7648,7.63,2.88E2,738.7715,7.69,3.38E2,738.7710,7.94,4.1E2,-,-,0,-,-,0,1.38:1.75:1.00:1.84:1.13:1.32:1.61:0:0,3.62E2,1.87E2,1.00:0.52,7.57,,
,0.23,6.25,428.2678,2.53 - 3.13,1,2.5E3,428.2676,2.95,8.95E3,428.2673,2.95,4.92E3,428.2686,2.93,1.5E3,-,-,0,428.2675,2.96,3.03E3,428.2681,2.96,2.55E3,-,-,0,-,-,0,428.2680,3.09,1.83E3,5.98:3.29:1.00:0:2.02:1.70:0:0:1.22,3.68E3,1.09E3,1.00:0.30,2.97,,
,0.23,3.72,600.7994,6.77 - 8.41,1,628.5,600.8013,7.87,1.11E3,600.7967,6.81,4.54E2,-,-,0,600.8004,8.13,6.81E2,600.7995,6.85,1.33E3,600.7994,7.24,8.72E2,600.8000,8.04,6.1E2,600.7984,8.24,5.97E2,-,-,0,1.00:0.41:0:0.61:1.19:0.78:0.55:0.54:0,7.15E2,5.2E2,1.00:0.73,7.60,,
,0.23,3.35,390.8705,20.37 - 21.32,1,2E3,390.8706,20.68,7.16E2,390.8702,20.95,1.5E3,-,-,0,390.8700,20.74,9.21E2,390.8705,20.55,7.48E3,-,-,0,390.8710,20.89,9.06E2,390.8707,20.94,6.35E2,390.8704,20.62,5.72E3,1.00:2.10:0:1.29:10.45:0:1.27:0.89:7.98,2.13E3,1.81E3,1.00:0.85,20.77,,
,0.23,3.88,602.7955,8.30 - 9.50,1,497.9,602.7943,8.60,4.13E2,-,-,0,602.7952,9.40,7.43E2,602.7979,8.37,5.96E2,602.7944,9.16,3.09E2,602.7934,9.32,6.91E2,602.7963,8.40,9.96E2,-,-,0,602.7971,8.43,7.33E2,0.56:0:1.00:0.80:0.42:0.93:1.34:0:0.99,4.12E2,6.05E2,1.00:1.47,8.81,,
,0.23,5.14,710.7679,5.35 - 7.10,1,786,710.7642,5.42,3.76E2,710.7644,5.59,6.79E2,710.7682,5.52,6.2E2,-,-,0,710.7699,5.73,7.72E2,-,-,0,710.7725,6.42,2.2E3,710.7682,7.02,1.15E3,710.7682,6.05,1.28E3,0.61:1.09:1.00:0:1.25:0:3.55:1.85:2.07,4.89E2,1.16E3,1.00:2.36,5.96,,
,0.23,3.42,769.7985,13.24 - 13.99,1,407.2,769.8004,13.35,5.2E2,-,-,0,769.7996,13.48,4.05E2,769.7993,13.37,7E2,769.7953,13.81,2.36E2,769.8013,13.41,8.32E2,769.7965,13.83,4.55E2,-,-,0,769.7974,13.92,5.16E2,1.29:0:1.00:1.73:0.58:2.06:1.13:0:1.28,3.72E2,4.51E2,1.00:1.21,13.60,,
,0.23,3.37,653.3003,1.85 - 2.25,1,1.8E3,653.3011,2.17,3.7E3,-,-,0,-,-,0,653.3005,1.99,2.03E3,653.2999,2.00,2.36E3,653.3001,1.97,1.67E3,-,-,0,653.2999,1.98,3.75E3,653.3002,1.97,2.26E3,1.00:0:0:0.55:0.64:0.45:0:1.01:0.61,1.62E3,1.92E3,1.00:1.19,2.01,,
,0.23,5.99,651.8718,5.16 - 6.84,1,248.1,-,-,0,-,-,0,651.8720,5.92,3.55E2,651.8728,5.74,2.77E2,-,-,0,651.8736,5.98,5.04E2,651.8710,5.20,4.01E2,651.8712,6.78,3.66E2,651.8700,6.10,3.3E2,0:0:1.00:0.78:0:1.42:1.13:1.03:0.93,1.26E2,4E2,1.00:3.16,5.95,,
,0.23,11.01,341.2119,0.58 - 1.81,1,2.7E3,-,-,0,341.2115,1.73,5E3,341.2116,1.73,1.3E4,341.2120,1.74,5.02E3,-,-,0,-,-,0,-,-,0,341.2122,0.68,1.63E3,-,-,0,0:0.39:1.00:0.39:0:0:0:0.13:0,4.6E3,4.08E2,1.00:0.09,1.47,,
,0.23,3.25,654.7977,14.23 - 20.12,1,3.7E4,-,-,0,654.7988,14.90,1.01E5,654.7989,15.50,1.7E4,654.7975,15.34,1.25E4,654.7987,15.10,6.31E4,654.7974,15.80,2.08E4,-,-,0,654.7967,14.93,7.95E4,654.7958,15.51,3.7E4,0:5.92:1.00:0.73:3.71:1.22:0:4.68:2.18,3.86E4,3.43E4,1.00:0.89,15.30,,
,0.23,12.94,1124.4443,8.61 - 9.06,1,3.2E3,-,-,0,1124.4431,8.91,1.94E4,1124.4434,8.97,6.95E3,1124.4463,8.95,2.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:2.80:1.00:0.39:0:0:0:0:0,5.82E3,0,1.00:0,8.94,,
,0.23,3.86,698.2847,16.28 - 17.92,2,1.2E3,-,-,0,-,-,0,698.2849,16.93,1.51E3,698.2833,17.73,2.25E3,698.2856,17.84,1.28E3,698.2855,16.59,1.18E3,698.2823,16.59,1.72E3,698.2856,16.34,9.93E2,698.2858,16.99,2.04E3,0:0:1.00:1.48:0.85:0.78:1.14:0.66:1.35,1.01E3,1.48E3,1.00:1.47,17.00,,
,0.23,3.29,749.8097,13.18 - 14.42,1,523.1,-,-,0,749.8118,14.13,5.75E2,749.8084,13.66,9.47E2,749.8135,13.92,4.64E2,749.8059,13.56,7.85E2,749.8084,13.23,7.3E2,-,-,0,749.8110,14.36,5.52E2,749.8088,14.02,6.56E2,0:0.61:1.00:0.49:0.83:0.77:0:0.58:0.69,5.54E2,4.84E2,1.00:0.87,13.84,,
,0.23,3.74,552.8677,16.53 - 18.35,1,1.7E3,-,-,0,552.8685,17.71,2.9E3,552.8679,16.94,1.62E3,552.8687,17.19,2.16E3,552.8674,17.89,3.14E3,-,-,0,552.8663,18.25,2.99E3,552.8663,17.59,1.98E3,552.8685,16.57,6.15E2,0:1.79:1.00:1.33:1.93:0:1.84:1.22:0.38,1.96E3,1.39E3,1.00:0.71,17.45,,
,0.23,4.92,756.8233,14.54 - 16.44,1,1.1E3,756.8239,14.72,6.48E2,-,-,0,756.8297,15.15,1.51E3,756.8193,15.14,1.38E3,-,-,0,756.8219,15.22,1.41E3,756.8234,15.41,1.92E3,756.8230,15.73,7.57E2,756.8221,15.64,2.32E3,0.43:0:1.00:0.91:0:0.93:1.27:0.50:1.53,7.09E2,1.6E3,1.00:2.26,15.29,,
,0.23,4.74,587.3911,13.96 - 17.12,1,6.2E3,587.3916,15.95,8.29E3,-,-,0,-,-,0,-,-,0,587.3915,15.18,1.23E4,587.3907,15.89,8.21E3,587.3904,15.46,6.82E3,587.3918,15.48,1.8E4,587.3907,16.47,2.02E3,1.00:0:0:0:1.48:0.99:0.82:2.18:0.24,4.11E3,8.77E3,1.00:2.13,15.74,,
,0.23,4.49,750.8060,5.31 - 6.66,1,379.2,750.8082,5.95,4.34E2,-,-,0,750.8062,6.04,4.87E2,750.8044,5.54,4.19E2,-,-,0,750.8044,5.54,6.13E2,750.8082,5.39,7.07E2,750.8073,6.62,3.58E2,750.8030,5.42,3.95E2,0.89:0:1.00:0.86:0:1.26:1.45:0.74:0.81,2.68E2,5.18E2,1.00:1.93,5.78,,
,0.23,3.78,515.8956,9.70 - 11.60,1,393,-,-,0,515.8946,10.24,5.82E2,515.8954,10.92,4.51E2,515.8961,10.21,6.08E2,-,-,0,515.8954,10.02,4.02E2,515.8960,11.56,3.86E2,515.8965,9.76,4.97E2,515.8954,10.82,6.11E2,0:1.29:1.00:1.35:0:0.89:0.86:1.10:1.36,3.28E2,4.74E2,1.00:1.45,10.50,,
,0.23,3.26,532.8113,6.73 - 9.22,1,1E3,532.8118,7.44,1.55E3,-,-,0,532.8126,6.91,1.73E3,532.8101,7.29,4.97E2,532.8109,8.04,1.15E3,532.8107,9.04,1.1E3,-,-,0,532.8105,7.39,2.89E2,532.8126,7.54,3.07E3,0.90:0:1.00:0.29:0.67:0.64:0:0.17:1.78,9.85E2,1.12E3,1.00:1.13,7.66,,
,0.23,5.19,722.7870,4.90 - 6.81,1,750.7,-,-,0,722.7871,5.43,6.03E2,-,-,0,722.7883,4.98,8.48E2,722.7853,5.18,8.01E2,722.7874,5.49,1E3,722.7887,6.55,2.12E3,722.7865,5.34,6.83E2,722.7859,6.63,7.01E2,0:1.00:0:1.41:1.33:1.66:3.52:1.13:1.16,4.5E2,1.13E3,1.00:2.50,5.66,,
,0.23,12.18,520.0819,0.56 - 0.80,1,6E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,520.0820,0.67,3.53E4,520.0817,0.65,1.91E4,-,-,0,0:0:0:0:0:0:1.00:0.54:0,0,1.36E4,0:1.00,0.66,,
,0.23,4.18,843.9638,0.10 - 0.21,1,3.5E5,843.9620,0.16,1.32E6,-,-,0,-,-,0,-,-,0,-,-,0,843.9642,0.16,2.73E5,843.9642,0.17,4.33E5,843.9656,0.16,5.68E5,843.9631,0.16,5.28E5,1.00:0:0:0:0:0.21:0.33:0.43:0.40,2.63E5,4.5E5,1.00:1.71,0.16,,
,0.23,3.47,682.8178,10.30 - 11.34,1,679.1,682.8179,10.38,4.4E2,682.8214,10.79,9.86E2,682.8140,10.47,1.14E3,682.8139,10.75,4.83E2,-,-,0,682.8222,10.57,1.27E3,-,-,0,682.8192,10.62,6.02E2,682.8163,11.06,1.2E3,0.39:0.87:1.00:0.42:0:1.11:0:0.53:1.05,6.09E2,7.66E2,1.00:1.26,10.66,,
,0.23,3.61,910.8141,20.08 - 20.23,2,2E3,-,-,0,910.8141,20.19,3.92E3,910.8140,20.21,1.63E3,910.8157,20.21,2.76E3,910.8121,20.19,3.22E3,-,-,0,-,-,0,910.8148,20.19,3.06E3,910.8140,20.19,3.81E3,0:2.41:1.00:1.69:1.97:0:0:1.87:2.34,2.31E3,1.72E3,1.00:0.74,20.20,,
,0.23,4.68,509.8103,4.26 - 6.02,1,935.3,-,-,0,509.8103,6.00,2.83E2,-,-,0,509.8105,5.90,1.21E3,509.8088,4.46,1.66E3,509.8098,5.42,2.1E3,509.8104,5.14,1.07E3,509.8114,5.05,7.34E2,509.8107,5.00,1.36E3,0:1.00:0:4.29:5.87:7.44:3.79:2.60:4.80,6.3E2,1.32E3,1.00:2.09,5.28,,
,0.23,6.86,668.7849,11.19 - 12.97,1,661.6,668.7836,12.25,1.4E3,668.7844,11.22,4.5E2,668.7855,12.36,1.19E3,668.7838,12.70,7.87E2,668.7848,12.01,1.19E3,-,-,0,668.7855,12.96,5.49E2,668.7866,12.26,3.89E2,-,-,0,1.18:0.38:1.00:0.66:1.00:0:0.46:0.33:0,1E3,2.34E2,1.00:0.23,12.25,,
,0.23,4.51,574.8495,11.15 - 15.86,1,4.8E3,574.8516,12.03,1.3E4,574.8497,12.23,1.57E3,-,-,0,574.8535,12.54,2.34E3,-,-,0,574.8480,11.33,3.05E3,574.8489,12.05,4.98E3,574.8482,12.35,1.48E4,574.8467,12.01,3.49E3,1.00:0.12:0:0.18:0:0.23:0.38:1.14:0.27,3.38E3,6.58E3,1.00:1.94,12.08,,
,0.23,3.48,668.7857,6.49 - 7.42,1,529.5,668.7887,6.85,4.31E2,-,-,0,668.7831,6.87,1.42E3,668.7820,6.54,5.09E2,668.7867,7.37,5.59E2,668.7894,6.52,6.57E2,668.7853,7.11,5.13E2,-,-,0,668.7847,7.20,6.8E2,0.30:0:1.00:0.36:0.39:0.46:0.36:0:0.48,5.83E2,4.62E2,1.00:0.79,6.92,,
,0.23,4.33,778.7537,9.09 - 10.88,1,2.3E3,778.7517,10.46,1.75E3,778.7518,10.76,8.8E2,778.7582,9.89,5.01E3,-,-,0,778.7534,9.85,8.36E2,778.7512,9.52,6.93E3,-,-,0,778.7551,9.45,3.42E3,778.7545,10.55,1.85E3,0.35:0.18:1.00:0:0.17:1.39:0:0.68:0.37,1.69E3,3.05E3,1.00:1.80,10.07,,
,0.23,3.04,474.8771,19.17 - 20.90,1,1.6E3,474.8769,19.79,1.01E3,474.8777,19.55,2.03E3,-,-,0,474.8773,19.89,2.87E3,474.8755,19.84,2.04E3,474.8770,19.64,2.84E3,474.8790,20.86,2.61E2,-,-,0,474.8762,19.32,3.36E3,1.00:2.01:0:2.84:2.02:2.81:0.26:0:3.33,1.59E3,1.61E3,1.00:1.02,19.84,,
,0.22,4.27,866.7908,17.46 - 18.34,1,5.6E3,-,-,0,866.7891,17.85,1.16E4,866.7935,18.08,9.32E3,-,-,0,-,-,0,866.7908,18.05,7.56E3,866.7899,17.59,2.88E3,866.7904,17.77,1.04E4,866.7911,17.63,8.68E3,0:1.25:1.00:0:0:0.81:0.31:1.12:0.93,4.18E3,7.39E3,1.00:1.77,17.83,,
,0.22,12.33,1120.6880,13.98 - 14.18,1,617.5,-,-,0,1120.6893,14.06,9.81E2,1120.6876,14.05,2.71E3,1120.6871,14.11,1.86E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.36:1.00:0.69:0:0:0:0:0,1.11E3,0,1.00:0,14.07,,
,0.22,3.58,700.7989,9.54 - 11.86,1,1.3E3,-,-,0,700.7976,10.40,6.13E2,700.8011,10.34,1E3,700.7983,10.13,2.66E3,700.7960,10.09,1.42E3,700.8054,9.63,1.44E3,700.7949,10.18,3.16E3,-,-,0,700.7991,10.60,1.4E3,0:0.61:1.00:2.66:1.42:1.44:3.16:0:1.40,1.14E3,1.5E3,1.00:1.32,10.19,,
,0.22,3.55,814.7898,4.79 - 7.07,1,621.1,-,-,0,-,-,0,814.7893,6.25,1.34E3,814.7892,5.28,5.31E2,814.7947,5.86,8.65E2,814.7885,4.80,4.82E2,814.7878,6.03,7.21E2,814.7918,5.25,3.52E2,814.7871,6.96,1.29E3,0:0:1.00:0.40:0.64:0.36:0.54:0.26:0.96,5.48E2,7.13E2,1.00:1.30,5.78,,
,0.22,12.04,1427.9905,16.38 - 16.63,1,6.6E3,-,-,0,1427.9916,16.44,4.73E4,1427.9885,16.44,9.71E3,1427.9913,16.45,2.57E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:4.87:1.00:0.26:0:0:0:0:0,1.19E4,0,1.00:0,16.44,,
,0.22,5.48,418.8646,20.25 - 20.40,1,1E3,418.8649,20.29,1.86E3,418.8649,20.32,1.15E3,418.8645,20.26,2.48E3,418.8644,20.27,1.8E3,-,-,0,-,-,0,418.8641,20.26,2.07E3,-,-,0,-,-,0,0.75:0.46:1.00:0.73:0:0:0.83:0:0,1.46E3,5.18E2,1.00:0.35,20.28,,
,0.22,5.38,690.7715,6.19 - 7.39,1,331.7,690.7710,6.97,6.26E2,690.7748,6.89,3.26E2,690.7658,6.46,4.5E2,690.7708,6.25,5.9E2,690.7726,6.42,3.15E2,690.7689,6.63,3.71E2,-,-,0,690.7767,7.35,3.08E2,-,-,0,1.39:0.72:1.00:1.31:0.70:0.82:0:0.68:0,4.61E2,1.7E2,1.00:0.37,6.71,,
,0.22,3.10,681.8222,6.37 - 7.51,1,629,681.8197,6.89,5.41E2,-,-,0,681.8216,6.46,7.71E2,681.8248,6.66,9.09E2,681.8217,6.93,8.55E2,681.8258,6.51,8.45E2,-,-,0,681.8157,7.17,6.98E2,681.8259,7.40,1.04E3,0.70:0:1.00:1.18:1.11:1.10:0:0.91:1.35,6.15E2,6.47E2,1.00:1.05,6.86,,
,0.22,4.75,720.7918,2.98 - 6.69,1,3.8E3,-,-,0,720.7951,4.39,9.13E2,720.7924,4.39,3.14E3,720.7903,4.29,8.23E3,720.7919,4.31,1.24E4,-,-,0,720.7913,4.16,2.68E3,720.7880,4.37,3.99E3,720.7937,3.19,2.48E3,0:0.29:1.00:2.63:3.95:0:0.85:1.27:0.79,4.93E3,2.29E3,1.00:0.46,4.16,,
,0.22,12.06,1253.7673,6.66 - 6.85,1,710.5,-,-,0,1253.7646,6.75,2.21E3,-,-,0,1253.7695,6.78,2.56E3,1253.7678,6.76,1.62E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:1.16:0.73:0:0:0:0,1.28E3,0,1.00:0,6.76,,
,0.22,5.50,374.8330,10.27 - 12.39,3,188.2,374.8320,11.62,1.87E2,-,-,0,-,-,0,374.8329,11.16,1.47E2,374.8337,12.33,1.84E2,374.8329,11.52,1.51E2,374.8329,11.12,2.6E2,374.8331,10.34,1.97E2,374.8335,10.99,5.69E2,1.00:0:0:0.78:0.98:0.81:1.39:1.05:3.04,1.04E2,2.94E2,1.00:2.84,11.30,,
,0.22,7.69,860.7803,13.12 - 14.70,1,707,860.7769,14.23,7.63E2,860.7809,13.56,1.5E3,860.7788,14.12,1.27E3,860.7789,14.09,9.87E2,860.7773,13.19,1.03E3,860.7803,14.33,4.41E2,-,-,0,860.7888,14.69,3.7E2,-,-,0,0.60:1.18:1.00:0.78:0.81:0.35:0:0.29:0,1.11E3,2.03E2,1.00:0.18,14.03,,
,0.22,3.85,527.2992,3.40 - 3.74,1,1.8E3,527.3002,3.62,1.67E3,527.2997,3.51,3.67E3,-,-,0,527.2990,3.63,2.46E3,527.2986,3.63,2.56E3,527.2995,3.64,2.96E3,-,-,0,527.2985,3.63,2.58E3,-,-,0,1.00:2.20:0:1.47:1.53:1.78:0:1.55:0,2.07E3,1.39E3,1.00:0.67,3.61,,
,0.22,4.66,629.4798,9.48 - 10.27,1,1.8E3,-,-,0,-,-,0,629.4805,9.91,2.23E3,629.4796,9.92,1.22E3,629.4794,9.96,2.59E3,-,-,0,-,-,0,629.4794,9.93,7.39E3,629.4803,9.88,2.64E3,0:0:1.00:0.54:1.16:0:0:3.31:1.18,1.21E3,2.51E3,1.00:2.08,9.92,,
,0.22,4.37,712.7572,15.26 - 17.38,1,1.1E3,712.7562,16.43,7.89E2,712.7554,16.21,8.96E2,712.7587,15.38,1.87E3,712.7568,16.39,1.55E3,712.7564,16.00,1.96E3,712.7560,17.27,1.69E3,-,-,0,-,-,0,712.7606,16.39,1.34E3,0.42:0.48:1.00:0.83:1.05:0.90:0:0:0.71,1.41E3,7.56E2,1.00:0.54,16.29,,
,0.22,3.29,674.8593,20.07 - 20.29,1,1.9E3,674.8600,20.20,2.03E3,674.8607,20.17,2.32E3,-,-,0,674.8578,20.19,2.93E3,674.8590,20.21,2.86E3,-,-,0,674.8613,20.18,3.28E3,-,-,0,674.8571,20.17,3.74E3,1.00:1.14:0:1.44:1.41:0:1.61:0:1.84,2.03E3,1.76E3,1.00:0.87,20.19,,
,0.22,3.06,549.1373,2.23 - 3.59,1,7E3,549.1387,2.95,1.71E4,549.1384,2.93,1.12E4,549.1315,3.53,-,-,-,0,-,-,0,-,-,0,-,-,0,549.1387,2.94,1.83E4,549.1394,2.94,9.1E3,1.00:0.66:-:0:0:0:0:1.07:0.53,7.07E3,6.86E3,1.00:0.97,3.06,,
,0.22,3.10,778.7534,13.67 - 15.59,1,1.8E3,778.7568,15.02,9.42E2,778.7562,14.20,5.06E3,778.7483,14.95,1.87E3,-,-,0,778.7538,14.41,1.42E3,778.7542,14.34,2.44E3,-,-,0,778.7530,15.34,9.64E2,778.7518,14.71,3.67E3,0.50:2.71:1.00:0:0.76:1.31:0:0.52:1.97,1.86E3,1.77E3,1.00:0.95,14.71,,
,0.22,3.11,503.2382,1.98 - 2.35,1,1.9E3,-,-,0,-,-,0,-,-,0,503.2380,2.15,2.34E3,503.2384,2.15,7.46E3,503.2381,2.16,7.41E3,-,-,0,-,-,0,-,-,0,0:0:0:1.00:3.20:3.17:0:0:0,1.96E3,1.85E3,1.00:0.95,2.15,,
,0.22,3.55,859.7771,14.36 - 15.59,1,581.2,-,-,0,859.7748,14.42,1.03E3,859.7803,15.54,4.38E2,-,-,0,859.7789,14.49,1.08E3,859.7742,14.59,6.9E2,859.7766,14.96,8.39E2,859.7794,15.22,6.99E2,859.7754,15.39,4.5E2,0:2.35:1.00:0:2.47:1.57:1.91:1.59:1.03,5.11E2,6.69E2,1.00:1.31,14.94,,
,0.22,3.32,419.8304,4.01 - 5.45,1,225,-,-,0,419.8288,4.24,4.32E2,419.8310,5.18,2.24E2,419.8297,4.50,2.49E2,419.8310,5.43,1.39E2,419.8319,5.33,2.5E2,419.8306,4.53,4.65E2,-,-,0,419.8297,4.10,2.65E2,0:1.93:1.00:1.11:0.62:1.11:2.07:0:1.18,2.09E2,2.45E2,1.00:1.17,4.76,,
,0.22,4.63,604.8108,4.62 - 5.49,1,358.4,-,-,0,-,-,0,604.8094,5.14,4.31E2,604.8146,5.32,2.93E2,604.8101,5.00,4.88E2,604.8082,4.97,3.35E2,604.8122,4.70,7.35E2,604.8103,5.37,4.87E2,604.8109,5.37,4.57E2,0:0:1.00:0.68:1.13:0.78:1.71:1.13:1.06,2.42E2,5.03E2,1.00:2.08,5.12,,
,0.22,4.10,387.8595,6.56 - 9.37,1,362.5,387.8595,8.04,4.89E2,387.8591,9.30,3.01E2,387.8596,7.40,2.19E2,-,-,0,387.8604,6.61,3.85E2,387.8593,7.95,6.1E2,387.8589,8.95,8.78E2,387.8594,8.26,3.8E2,-,-,0,2.24:1.38:1.00:0:1.76:2.79:4.02:1.74:0,2.79E2,4.67E2,1.00:1.68,8.07,,
,0.22,3.80,602.7954,4.11 - 5.09,1,410,-,-,0,-,-,0,602.7959,4.95,6.39E2,602.7947,4.59,6.53E2,602.7954,4.64,4.03E2,602.7968,4.98,6.86E2,602.7956,4.14,4.21E2,602.7957,4.76,2.91E2,602.7941,4.69,5.95E2,0:0:1.00:1.02:0.63:1.07:0.66:0.46:0.93,3.39E2,4.99E2,1.00:1.47,4.68,,
,0.22,11.98,1120.6884,15.09 - 15.21,1,765.9,-,-,0,1120.6919,15.15,1.22E3,1120.6891,15.16,3.43E3,1120.6842,15.17,2.24E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.36:1.00:0.65:0:0:0:0:0,1.38E3,0,1.00:0,15.16,,
,0.22,12.10,674.4758,6.62 - 7.23,1,4E3,-,-,0,674.4752,7.08,2.61E4,674.4753,7.09,7.24E3,674.4769,7.09,2.83E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:3.60:1.00:0.39:0:0:0:0:0,7.23E3,0,1.00:0,7.09,,
,0.22,6.14,906.8375,20.14 - 20.25,1,1.2E3,906.8394,20.20,1.23E3,-,-,0,906.8364,20.18,2.42E3,906.8359,20.17,3.01E3,906.8387,20.19,1.91E3,-,-,0,-,-,0,906.8372,20.19,1.99E3,-,-,0,0.51:0:1.00:1.25:0.79:0:0:0.82:0,1.71E3,4.97E2,1.00:0.29,20.19,,
