Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,HSDL2-b_A00_neg m/z,HSDL2-b_A00_neg RT mean,HSDL2-b_A00_neg Normalized Area,HSDL2-b_A04_neg m/z,HSDL2-b_A04_neg RT mean,HSDL2-b_A04_neg Normalized Area,HSDL2-b_A05_neg m/z,HSDL2-b_A05_neg RT mean,HSDL2-b_A05_neg Normalized Area,HSDL2-b_A06_neg m/z,HSDL2-b_A06_neg RT mean,HSDL2-b_A06_neg Normalized Area,HSDL2-b_A07_neg m/z,HSDL2-b_A07_neg RT mean,HSDL2-b_A07_neg Normalized Area,HSDL2-b_A08_neg m/z,HSDL2-b_A08_neg RT mean,HSDL2-b_A08_neg Normalized Area,HSDL2-b_A09_neg m/z,HSDL2-b_A09_neg RT mean,HSDL2-b_A09_neg Normalized Area,HSDL2-b_A10_neg m/z,HSDL2-b_A10_neg RT mean,HSDL2-b_A10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.47,4.01,672.7661,13.41 - 16.58,1,1.5E3,672.7651,13.87,1.12E3,672.7664,14.06,2.25E2,672.7673,14.24,4.07E3,672.7662,14.11,5.79E2,672.7663,14.20,9.97E2,672.7664,13.89,1.52E3,672.7651,14.23,1.48E3,672.7664,13.50,1.76E3,0.64:0.13:2.32:0.33:0.57:0.86:0.84:1.00,1.43E3,1.76E3,0.81:1.00,14.02,,
,0.47,16.29,614.6432,0.13 - 0.25,1,1.5E4,-,-,0,614.6441,0.22,2.47E4,-,-,0,614.6420,0.21,3.13E4,-,-,0,614.6432,0.21,1.9E4,-,-,0,614.6433,0.19,4.86E4,0:0.51:0:0.64:0:0.39:0:1.00,1.07E4,4.86E4,0.22:1.00,0.21,,
,0.47,5.60,562.7168,21.40 - 22.36,1,1.3E3,562.7173,21.77,3.29E3,562.7156,21.68,5.1E2,562.7173,21.97,4.33E2,562.7164,21.90,1.04E3,562.7189,22.23,4.2E2,562.7157,21.73,1.34E3,562.7164,21.69,2.41E3,562.7165,21.56,8.55E2,3.84:0.60:0.51:1.21:0.49:1.56:2.82:1.00,1.35E3,8.55E2,1.58:1.00,21.82,,
,0.47,11.61,401.1086,0.29 - 0.66,1,1.1E4,-,-,0,401.1085,0.53,1.32E4,-,-,0,401.1088,0.54,7.24E3,-,-,0,401.1085,0.55,4.33E4,-,-,0,401.1087,0.54,2.82E4,0:0.47:0:0.26:0:1.54:0:1.00,9.1E3,2.82E4,0.32:1.00,0.54,,
,0.47,6.99,386.7911,18.20 - 19.09,2,407.6,386.7913,18.84,3.51E2,386.7913,18.57,2.78E2,386.7911,18.79,7.6E2,386.7913,18.71,2.77E2,386.7912,19.01,5.37E2,386.7903,18.26,2.33E2,386.7912,18.46,5.97E2,386.7913,18.85,2.28E2,1.54:1.22:3.33:1.21:2.36:1.02:2.62:1.00,4.33E2,2.28E2,1.90:1.00,18.69,,
,0.47,5.00,632.2479,8.28 - 9.21,1,5.6E3,632.2478,8.48,6.9E3,632.2470,8.55,4.6E3,632.2476,8.56,6.49E3,632.2489,8.56,4.59E3,632.2476,8.55,6.15E3,-,-,-,632.2480,8.54,6.19E3,632.2482,8.49,4.05E3,1.70:1.14:1.60:1.13:1.52:-:1.53:1.00,5.82E3,4.05E3,1.44:1.00,8.53,,
,0.47,3.77,696.6525,14.69 - 15.23,1,2.3E3,696.6520,14.82,1.89E3,696.6533,14.85,1.5E3,696.6530,14.84,2.06E3,696.6518,14.84,2.42E3,-,-,-,696.6526,14.83,3.35E3,696.6523,14.82,2.15E3,696.6522,14.82,2.6E3,0.73:0.58:0.79:0.93:-:1.29:0.83:1.00,2.23E3,2.6E3,0.86:1.00,14.83,,
,0.47,3.29,399.8314,18.16 - 18.97,1,404.6,399.8314,18.59,3.46E2,399.8313,18.41,4.11E2,399.8313,18.53,6.86E2,399.8313,18.25,3.63E2,399.8313,18.36,5.17E2,399.8313,18.92,1.22E2,399.8323,18.31,4.08E2,399.8314,18.52,3.84E2,0.90:1.07:1.78:0.95:1.35:0.32:1.06:1.00,4.08E2,3.84E2,1.06:1.00,18.48,,
,0.47,11.53,568.3630,2.57 - 3.15,1,1.2E4,-,-,0,568.3629,2.97,5.41E4,-,-,0,568.3630,2.99,2.71E4,-,-,0,568.3633,2.97,7.13E3,-,-,0,568.3628,2.97,4.14E3,0:13.06:0:6.54:0:1.72:0:1.00,1.26E4,4.14E3,3.05:1.00,2.97,,
,0.47,5.65,609.5592,13.82 - 21.19,1,6.6E4,609.5598,19.29,7.16E4,609.5593,19.19,3.73E4,609.5588,19.32,6.96E4,609.5594,19.03,6.58E4,609.5587,19.05,9.64E4,609.5590,19.15,4.68E4,609.5594,18.82,9.71E4,609.5588,19.25,4.33E4,1.65:0.86:1.61:1.52:2.23:1.08:2.24:1.00,6.92E4,4.33E4,1.60:1.00,19.14,,
,0.47,11.33,651.5231,0.13 - 0.27,1,2.4E5,-,-,0,651.5231,0.18,8.05E5,-,-,0,651.5231,0.19,5.25E5,-,-,0,-,-,0,-,-,0,651.5231,0.19,5.83E5,0:1.38:0:0.90:0:0:0:1.00,1.9E5,5.83E5,0.33:1.00,0.19,,
,0.47,13.16,460.0074,0.25 - 0.66,1,1.3E4,-,-,0,460.0076,0.53,2.32E4,-,-,0,460.0080,0.54,7.66E3,-,-,0,460.0070,0.51,4.02E4,-,-,0,460.0070,0.54,3.68E4,0:0.63:0:0.21:0:1.09:0:1.00,1.02E4,3.68E4,0.28:1.00,0.53,,
,0.47,6.43,514.8068,15.78 - 17.01,3,627.8,514.8056,15.99,6.91E2,514.8069,16.11,3.11E2,514.8077,16.34,9.38E2,514.8069,16.01,2.17E2,514.8063,16.97,7.49E2,514.8070,16.23,1.06E3,514.8069,16.20,6.8E2,514.8070,16.42,3.72E2,1.86:0.84:2.52:0.58:2.01:2.86:1.83:1.00,6.64E2,3.72E2,1.78:1.00,16.28,,
,0.47,9.40,361.7818,16.18 - 17.61,1,907.9,361.7821,16.84,8.24E2,361.7814,16.36,4.16E2,361.7821,16.63,1E3,361.7812,17.07,1.49E3,361.7820,16.57,7.33E2,361.7820,16.90,9.38E2,361.7820,16.75,1.47E3,361.7813,16.86,3.86E2,2.13:1.08:2.60:3.87:1.90:2.43:3.81:1.00,9.82E2,3.86E2,2.54:1.00,16.75,,
,0.47,6.96,994.0542,6.93 - 7.14,1,745.7,994.0547,6.98,7.83E2,-,-,0,994.0532,7.00,7.52E2,994.0524,7.01,7.76E2,994.0536,7.03,1E3,994.0541,7.05,6.85E2,994.0551,6.98,6.89E2,994.0560,6.97,1.28E3,0.61:0:0.59:0.61:0.79:0.54:0.54:1.00,6.7E2,1.28E3,0.52:1.00,7.00,,
,0.47,4.98,530.7982,17.36 - 18.30,1,559.9,530.7980,17.74,4.41E2,530.7971,17.86,4.39E2,530.7986,17.63,1.44E3,530.7971,17.92,4.45E2,530.7986,18.18,5.06E2,530.7980,17.59,4.59E2,530.7986,17.94,3.49E2,530.7994,17.96,4.03E2,1.09:1.09:3.56:1.10:1.25:1.14:0.87:1.00,5.82E2,4.03E2,1.44:1.00,17.85,,
,0.47,3.38,494.7989,22.98 - 24.00,1,572.7,494.7986,23.76,5.14E2,494.7985,23.69,1.65E2,494.7985,23.05,4.07E2,494.7998,23.12,6.37E2,494.7992,23.50,5.31E2,494.7998,23.80,4.67E2,494.7986,23.23,1.25E3,494.7979,23.07,6.14E2,0.84:0.27:0.66:1.04:0.86:0.76:2.03:1.00,5.67E2,6.14E2,0.92:1.00,23.40,,
,0.47,5.74,473.2834,1.95 - 3.77,1,8E3,-,-,-,473.2836,2.68,3.77E3,473.2834,2.75,8.83E3,473.2834,2.67,1.37E4,473.2837,2.73,1.03E4,473.2823,2.66,3.25E3,473.2843,2.67,1.09E4,473.2831,2.66,5.17E3,-:0.73:1.71:2.65:2.00:0.63:2.11:1.00,8.47E3,5.17E3,1.64:1.00,2.69,,
,0.46,11.68,474.7451,3.85 - 6.31,1,1.5E3,474.7454,4.15,1.27E3,474.7449,4.27,1.7E3,474.7453,4.29,1.05E3,474.7450,4.39,1.24E3,474.7447,4.39,1.32E3,474.7455,4.55,1.04E3,474.7452,3.93,4.9E2,474.7452,4.20,3.76E3,0.34:0.45:0.28:0.33:0.35:0.28:0.13:1.00,1.16E3,3.76E3,0.31:1.00,4.27,,
,0.46,5.58,683.7236,8.17 - 9.27,1,849,683.7229,8.93,1.11E3,683.7240,8.89,1.85E2,683.7228,8.59,1.13E3,683.7237,8.71,1.02E3,683.7227,9.13,4.42E2,683.7247,8.86,1.1E3,683.7229,8.32,1.24E3,683.7249,9.19,5.58E2,1.99:0.33:2.03:1.83:0.79:1.97:2.22:1.00,8.91E2,5.58E2,1.60:1.00,8.83,,
,0.46,5.58,375.2548,2.93 - 3.58,1,9.6E3,-,-,0,375.2546,3.41,3.07E4,-,-,0,375.2550,3.42,1.94E4,-,-,0,375.2547,3.41,1.25E4,-,-,0,375.2549,3.42,1.43E4,0:2.15:0:1.36:0:0.87:0:1.00,8.93E3,1.43E4,0.63:1.00,3.41,,
,0.46,3.38,523.8221,9.12 - 10.44,1,1.5E3,523.8231,9.86,1.79E3,523.8231,9.66,1.21E3,523.8224,9.45,2.04E3,523.8215,9.16,1E3,523.8210,9.75,1.01E3,523.8224,10.00,1.99E3,523.8217,10.10,1.06E3,523.8217,9.86,1.57E3,1.14:0.77:1.30:0.64:0.64:1.27:0.68:1.00,1.44E3,1.57E3,0.92:1.00,9.73,,
,0.46,16.53,373.9541,22.20 - 23.85,1,1.4E3,373.9541,23.04,1.89E3,373.9542,22.74,1.29E3,373.9541,22.93,6.72E2,373.9541,23.65,7.47E2,373.9540,23.26,1.72E3,373.9541,22.69,1.03E3,373.9541,22.44,3.78E3,373.9541,22.69,3.26E2,5.79:3.96:2.06:2.29:5.29:3.16:11.59:1.00,1.59E3,3.26E2,4.88:1.00,22.93,,
,0.46,3.15,313.8561,21.22 - 23.99,1,3.4E4,-,-,0,313.8564,21.38,2.63E4,313.8564,21.43,5.61E4,313.8564,21.40,3.98E4,313.8560,21.39,5.91E4,-,-,0,313.8558,21.39,5.33E4,313.8558,21.41,3.46E4,0:0.76:1.62:1.15:1.71:0:1.54:1.00,3.35E4,3.46E4,0.97:1.00,21.40,,
,0.46,7.07,649.7834,16.78 - 18.62,1,1.6E3,649.7829,17.60,1.77E3,649.7816,17.79,1.58E3,649.7828,17.45,1.18E3,649.7836,17.61,2E3,649.7836,17.20,2.3E3,649.7855,17.72,1.31E3,649.7846,17.50,1.77E3,649.7825,17.24,8.68E2,2.04:1.82:1.35:2.31:2.65:1.51:2.04:1.00,1.7E3,8.68E2,1.96:1.00,17.51,,
,0.46,4.12,462.7856,21.86 - 23.05,1,726.5,462.7867,22.59,1.03E3,462.7855,22.17,1.21E3,462.7861,22.36,5.96E2,462.7849,22.39,6.41E2,462.7849,22.63,5.9E2,462.7855,22.06,7.76E2,462.7860,22.34,3.74E2,462.7855,22.66,5.95E2,1.74:2.03:1.00:1.08:0.99:1.31:0.63:1.00,7.45E2,5.95E2,1.25:1.00,22.40,,
,0.46,3.30,566.9037,20.02 - 21.28,1,4.5E3,-,-,-,566.9034,21.20,3.08E3,566.9038,21.20,5.71E3,566.9038,21.20,4.89E3,566.9038,21.20,4.63E3,566.9039,21.19,2.51E3,566.9039,21.20,6.46E3,566.9032,21.21,4.27E3,-:0.72:1.34:1.15:1.08:0.59:1.51:1.00,4.55E3,4.27E3,1.07:1.00,21.20,,
,0.46,4.61,976.8947,17.08 - 17.47,1,1.2E3,976.8940,17.35,9.38E2,976.8942,17.37,1.04E3,976.8971,17.15,1.29E3,976.8963,17.38,1.06E3,976.8932,17.16,9.95E2,976.8949,17.37,1.17E3,976.8949,17.35,1.96E3,976.8931,17.13,8.87E2,1.06:1.18:1.46:1.19:1.12:1.32:2.21:1.00,1.21E3,8.87E2,1.36:1.00,17.28,,
,0.46,4.87,511.8093,19.12 - 21.13,1,1.1E3,511.8089,19.33,2.7E3,511.8087,19.97,9.2E2,511.8095,19.76,6.61E2,511.8094,20.32,1.62E3,511.8101,20.27,8.01E2,511.8095,19.90,2.31E2,511.8087,19.34,7.08E2,511.8096,20.05,1.55E3,1.74:0.59:0.43:1.04:0.52:0.15:0.46:1.00,1.09E3,1.55E3,0.70:1.00,19.87,,
,0.46,5.05,683.7232,13.36 - 14.94,1,818.9,683.7242,13.82,9.84E2,683.7227,13.83,3.09E2,683.7228,14.08,1.51E3,683.7227,13.66,1.16E3,683.7238,13.95,9.49E2,683.7225,14.88,2.57E2,683.7228,13.67,8.03E2,683.7238,13.71,5.84E2,1.69:0.53:2.58:1.98:1.63:0.44:1.38:1.00,8.52E2,5.84E2,1.46:1.00,13.95,,
,0.46,6.76,355.8317,9.39 - 11.53,1,899.8,355.8313,9.72,1.55E3,355.8330,9.93,6.81E2,355.8314,9.58,4.81E2,355.8315,9.73,5.45E2,355.8316,9.94,2.12E3,355.8315,9.77,4.2E2,355.8315,9.51,8.84E2,355.8322,9.75,5.15E2,3.01:1.32:0.93:1.06:4.13:0.82:1.72:1.00,9.55E2,5.15E2,1.85:1.00,9.74,,
,0.46,9.50,683.7231,7.24 - 8.81,1,695.9,683.7227,8.16,1.23E3,683.7209,8.73,2.12E2,683.7242,7.61,1.68E3,683.7225,8.28,4.98E2,683.7242,8.25,5.44E2,683.7222,8.09,7.66E2,683.7238,7.28,3.23E2,683.7242,8.28,3.13E2,3.92:0.68:5.38:1.59:1.74:2.45:1.03:1.00,7.51E2,3.13E2,2.40:1.00,8.09,,
,0.46,13.19,649.5263,0.13 - 0.27,1,5.4E5,-,-,0,649.5256,0.18,1.87E6,-,-,0,649.5270,0.17,1.07E6,-,-,0,-,-,0,-,-,0,649.5264,0.19,1.36E6,0:1.38:0:0.79:0:0:0:1.00,4.2E5,1.36E6,0.31:1.00,0.18,,
,0.46,5.76,484.1400,21.95 - 23.67,2,1.3E3,484.1402,22.67,6.82E2,484.1396,22.02,5.56E2,484.1409,22.52,1.47E3,484.1403,22.49,8.43E2,484.1391,23.28,1.83E3,484.1403,22.16,8.11E2,484.1391,22.30,3.56E3,484.1403,22.43,8.94E2,0.76:0.62:1.65:0.94:2.04:0.91:3.98:1.00,1.39E3,8.94E2,1.56:1.00,22.48,,
,0.46,14.46,478.6404,21.50 - 22.56,2,668.3,478.6406,22.32,1.29E3,478.6404,21.69,4.75E2,478.6405,21.98,7.46E2,478.6404,21.84,7.22E2,478.6399,21.98,5.61E2,478.6400,22.00,4.36E2,478.6412,21.84,9.06E2,478.6406,22.12,2.1E2,6.13:2.26:3.55:3.43:2.66:2.07:4.31:1.00,7.34E2,2.1E2,3.49:1.00,21.97,,
,0.46,8.02,528.7583,13.16 - 15.23,1,1.1E3,528.7580,13.25,1.19E3,528.7573,14.23,1.1E3,528.7581,14.45,1.59E3,528.7587,13.65,1.08E3,528.7587,13.70,7.96E2,528.7587,13.58,1.08E3,528.7587,13.33,1.19E3,528.7587,13.48,5.75E2,2.06:1.91:2.77:1.88:1.38:1.87:2.08:1.00,1.15E3,5.75E2,1.99:1.00,13.71,,
,0.46,3.91,498.1395,3.35 - 3.98,1,2E4,498.1393,3.71,2.85E3,498.1396,3.72,5.78E4,498.1393,3.73,2.65E3,498.1394,3.71,5.27E4,498.1401,3.77,2.42E3,498.1389,3.69,2.15E4,498.1395,3.74,2.1E3,498.1395,3.70,1.72E4,0.17:3.36:0.15:3.07:0.14:1.25:0.12:1.00,2.03E4,1.72E4,1.18:1.00,3.72,,
,0.46,7.95,818.0688,4.59 - 4.86,1,1.3E3,818.0679,4.72,1E3,-,-,0,818.0703,4.74,1.67E3,818.0685,4.75,8.85E2,818.0690,4.75,1.73E3,818.0681,4.74,1.41E3,818.0678,4.72,1.13E3,818.0702,4.73,2.24E3,0.45:0:0.75:0.40:0.78:0.63:0.50:1.00,1.12E3,2.24E3,0.50:1.00,4.74,,
,0.46,3.59,671.7681,14.76 - 15.93,1,1.1E3,671.7671,15.27,1.1E3,671.7689,15.30,6.47E2,671.7671,15.82,5.82E2,671.7689,15.25,4.14E2,671.7689,15.45,1.38E3,671.7679,15.02,1.71E3,671.7680,15.47,1.51E3,671.7681,15.07,1.17E3,0.94:0.55:0.50:0.35:1.18:1.46:1.29:1.00,1.05E3,1.17E3,0.89:1.00,15.33,,
,0.46,7.25,355.7765,19.13 - 20.24,3,592.9,355.7765,19.39,1.09E3,355.7765,19.60,3.95E2,355.7765,19.65,3.88E2,355.7765,19.26,1.17E3,355.7765,19.34,8.63E2,355.7765,20.08,2.35E2,355.7765,20.15,2.74E2,355.7765,19.49,3.28E2,3.33:1.21:1.18:3.56:2.63:0.72:0.84:1.00,6.31E2,3.28E2,1.92:1.00,19.62,,
,0.46,13.98,481.6402,22.13 - 23.50,2,1.7E3,481.6411,22.72,1.89E3,481.6398,22.34,9.37E2,481.6392,22.67,3.55E3,481.6411,23.00,3.79E2,481.6404,23.04,2.54E3,481.6392,22.55,1.66E3,481.6398,22.42,2.33E3,481.6411,22.69,5.12E2,3.68:1.83:6.94:0.74:4.96:3.25:4.55:1.00,1.9E3,5.12E2,3.71:1.00,22.68,,
,0.46,12.55,416.0453,0.27 - 0.66,1,1.5E4,-,-,0,416.0457,0.53,1.64E4,-,-,0,416.0453,0.54,8.99E3,-,-,0,416.0455,0.55,5.41E4,-,-,0,416.0449,0.54,3.76E4,0:0.44:0:0.24:0:1.44:0:1.00,1.14E4,3.76E4,0.30:1.00,0.54,,
,0.46,4.95,651.7345,19.48 - 20.51,1,882.5,651.7341,19.64,1.23E3,651.7351,19.92,6.27E2,651.7332,19.99,1.27E3,651.7340,20.41,4.66E2,651.7353,20.01,1.29E3,651.7331,20.09,4.63E2,651.7352,19.76,1.07E3,651.7362,19.76,6.45E2,1.90:0.97:1.97:0.72:2.01:0.72:1.66:1.00,9.17E2,6.45E2,1.42:1.00,19.95,,
,0.46,8.12,342.2289,0.93 - 2.05,1,1.4E4,-,-,0,342.2287,1.53,2.42E4,-,-,0,342.2291,1.51,1.69E4,-,-,0,342.2292,1.54,4.35E4,-,-,0,342.2287,1.48,2.57E4,0:0.94:0:0.66:0:1.69:0:1.00,1.21E4,2.57E4,0.47:1.00,1.51,,
,0.46,9.10,474.7447,21.99 - 23.37,1,952.1,474.7449,22.97,9.67E2,474.7443,22.66,6.31E2,474.7449,22.71,1.43E3,474.7449,22.55,8.56E2,474.7443,22.63,3.7E2,474.7455,22.59,4.54E2,474.7443,22.20,9.8E2,474.7444,22.40,1.93E3,0.50:0.33:0.74:0.44:0.19:0.24:0.51:1.00,8.13E2,1.93E3,0.42:1.00,22.59,,
,0.46,12.27,512.8096,15.93 - 18.04,1,2.5E3,512.8096,16.91,1.63E3,512.8096,17.27,1.78E3,512.8096,16.29,2.46E3,512.8088,16.64,2.76E3,512.8096,16.20,5.71E2,512.8088,16.86,3.78E3,512.8102,16.60,6.3E3,512.8104,16.40,8.78E2,1.85:2.03:2.80:3.15:0.65:4.30:7.17:1.00,2.75E3,8.78E2,3.13:1.00,16.65,,
,0.46,3.14,990.9113,17.22 - 17.53,1,533.9,990.9105,17.45,5.47E2,990.9131,17.29,3.19E2,990.9153,17.48,3.71E2,990.9115,17.50,5.22E2,990.9104,17.30,5.83E2,990.9117,17.48,9.54E2,990.9078,17.29,4.54E2,990.9099,17.29,5.21E2,1.05:0.61:0.71:1.00:1.12:1.83:0.87:1.00,5.36E2,5.21E2,1.03:1.00,17.38,,
,0.46,6.97,607.7032,5.97 - 7.83,1,1.3E3,607.7040,7.29,1.39E3,607.7019,7.23,6.98E2,607.7037,7.17,1.2E3,607.7030,6.95,1.54E3,607.7039,7.33,1.51E3,607.7030,7.14,9.32E2,607.7029,6.42,2.6E3,607.7031,6.75,7.6E2,1.83:0.92:1.57:2.03:1.98:1.23:3.42:1.00,1.41E3,7.6E2,1.85:1.00,7.03,,
,0.46,11.06,579.7982,19.63 - 21.13,1,1.1E3,579.7971,20.04,9.21E2,579.7979,20.22,3.73E2,579.7977,20.44,2.7E3,579.7986,19.99,6.16E2,579.7979,20.10,2.45E3,579.7994,19.89,2.9E2,579.7986,19.84,1.18E3,579.7986,20.38,4.32E2,2.13:0.86:6.26:1.43:5.68:0.67:2.73:1.00,1.22E3,4.32E2,2.82:1.00,20.11,,
,0.46,8.45,492.7825,22.25 - 23.98,1,1.7E3,492.7828,23.13,2.98E3,492.7827,22.73,9.2E2,492.7820,23.51,7.29E2,492.7821,22.74,1.28E3,492.7830,22.81,3.61E3,492.7821,22.65,2.92E3,492.7821,23.39,5.86E2,492.7834,22.81,8.5E2,3.50:1.08:0.86:1.51:4.24:3.43:0.69:1.00,1.86E3,8.5E2,2.19:1.00,22.97,,
,0.46,4.73,327.1273,2.45 - 3.05,1,7.9E3,-,-,0,327.1272,2.89,1.64E4,-,-,0,327.1272,2.89,2.01E4,-,-,0,327.1273,2.88,1.62E4,-,-,0,327.1274,2.87,1.03E4,0:1.59:0:1.96:0:1.58:0:1.00,7.53E3,1.03E4,0.73:1.00,2.88,,
,0.46,5.31,554.0343,18.08 - 19.48,1,1.6E3,554.0343,18.65,9.19E2,554.0342,18.91,1.22E3,554.0350,18.82,1.5E3,554.0349,19.32,6.34E2,554.0334,19.34,8.18E2,554.0333,19.12,1.42E3,554.0342,18.82,4.26E3,554.0350,18.47,2.29E3,0.40:0.53:0.66:0.28:0.36:0.62:1.86:1.00,1.54E3,2.29E3,0.67:1.00,18.93,,
,0.46,5.06,482.6400,23.01 - 23.99,2,937.3,482.6390,23.55,2.14E3,482.6402,23.69,3.04E2,482.6400,23.15,7.23E2,482.6401,23.87,3.85E2,482.6396,23.76,7.16E2,482.6402,23.38,1.01E3,482.6402,23.30,1.55E3,482.6409,23.65,6.79E2,3.14:0.45:1.06:0.57:1.05:1.48:2.28:1.00,9.74E2,6.79E2,1.43:1.00,23.54,,
,0.46,3.50,390.1277,3.34 - 3.87,1,8.6E3,-,-,0,390.1281,3.71,3.01E4,-,-,0,390.1275,3.71,1.85E4,-,-,0,390.1277,3.69,1.07E4,-,-,0,390.1276,3.69,9.35E3,0:3.22:0:1.98:0:1.14:0:1.00,8.47E3,9.35E3,0.91:1.00,3.70,,
,0.46,3.01,472.7257,21.38 - 23.99,1,7.4E3,472.7260,21.91,1.05E4,472.7253,21.97,3.78E3,472.7255,21.93,5.38E3,472.7260,21.64,9.48E3,472.7263,22.07,8.59E3,472.7254,22.29,6.59E3,472.7254,21.83,7.3E3,-,-,-,1.00:0.36:0.51:0.90:0.82:0.63:0.69:-,7.38E3,-,1.00:-,21.95,,
,0.46,12.79,607.7915,4.36 - 5.26,1,641.9,607.7908,4.70,5.9E2,607.7908,5.01,1.87E2,607.7916,4.93,9.77E2,607.7917,4.79,4.8E2,607.7926,5.08,5.58E2,607.7914,4.56,1.12E3,607.7927,5.07,1.01E3,607.7908,4.86,2.15E2,2.75:0.87:4.55:2.24:2.60:5.20:4.71:1.00,7.03E2,2.15E2,3.27:1.00,4.87,,
,0.46,3.10,487.7897,11.04 - 12.75,1,562.6,487.7891,11.79,5.61E2,487.7898,11.26,3.57E2,487.7891,11.36,6.04E2,487.7910,11.12,5.87E2,487.7897,11.33,4.49E2,487.7890,11.41,6.82E2,487.7897,11.11,7.08E2,487.7898,12.51,5.53E2,1.01:0.65:1.09:1.06:0.81:1.23:1.28:1.00,5.64E2,5.53E2,1.02:1.00,11.49,,
,0.46,14.37,672.7666,14.33 - 16.58,1,1.2E3,672.7678,14.40,8.52E2,672.7664,14.78,5.85E2,672.7662,15.00,1.26E3,672.7662,14.81,1.62E3,672.7664,14.51,1.62E3,672.7641,14.62,1.05E3,672.7672,14.92,2.21E3,672.7689,14.75,3.53E2,2.41:1.66:3.57:4.58:4.59:2.98:6.26:1.00,1.31E3,3.53E2,3.72:1.00,14.72,,
,0.46,7.95,529.3183,2.84 - 3.80,1,1.1E4,-,-,0,529.3183,3.28,2.54E4,-,-,0,529.3186,3.28,1.07E4,-,-,0,529.3182,3.28,3.18E4,-,-,0,529.3180,3.28,2.03E4,0:1.25:0:0.53:0:1.57:0:1.00,9.69E3,2.03E4,0.48:1.00,3.28,,
,0.46,5.08,526.8500,5.09 - 6.72,1,367.4,526.8503,5.67,3.01E2,526.8503,5.19,2.15E2,526.8503,6.06,4.12E2,526.8496,5.15,4.31E2,526.8503,6.61,5.68E2,526.8503,5.25,4.39E2,526.8496,6.02,3.08E2,526.8495,5.61,2.65E2,1.14:0.81:1.56:1.63:2.15:1.66:1.16:1.00,3.82E2,2.65E2,1.44:1.00,5.69,,
,0.46,4.23,547.7468,5.95 - 7.77,1,1.7E3,547.7485,6.77,1.45E3,547.7469,7.19,7E2,547.7455,6.14,2.34E3,547.7462,6.53,1.27E3,547.7462,7.08,2.57E3,547.7476,6.57,1.8E3,547.7469,6.30,2.44E3,547.7469,7.09,1.42E3,1.02:0.49:1.64:0.89:1.81:1.27:1.71:1.00,1.8E3,1.42E3,1.26:1.00,6.71,,
,0.46,6.44,548.7430,23.06 - 24.00,1,474.7,548.7441,23.95,4.01E2,548.7418,23.46,2.52E2,548.7418,23.42,7.25E2,548.7426,23.19,3.97E2,548.7427,23.73,6.6E2,548.7449,23.53,2.62E2,548.7427,23.65,8.14E2,548.7434,23.83,2.87E2,1.40:0.88:2.53:1.39:2.30:0.91:2.84:1.00,5.02E2,2.87E2,1.75:1.00,23.59,,
,0.46,5.94,671.7683,16.29 - 17.30,1,1.9E3,671.7690,16.80,3.46E3,671.7675,16.95,8.88E2,671.7680,16.79,4.06E3,671.7679,16.68,1.37E3,671.7681,17.21,5.93E2,671.7679,16.96,2.67E3,671.7680,16.75,6.37E2,671.7698,16.68,1.18E3,2.93:0.75:3.44:1.16:0.50:2.26:0.54:1.00,1.95E3,1.18E3,1.66:1.00,16.85,,
,0.46,14.36,549.2988,4.67 - 5.47,1,8.9E3,-,-,0,549.2990,4.89,1.11E4,-,-,0,549.2983,4.89,1.71E4,-,-,0,549.2988,4.90,1.73E4,-,-,0,549.2990,4.88,2.55E4,0:0.43:0:0.67:0:0.68:0:1.00,6.49E3,2.55E4,0.25:1.00,4.89,,
,0.46,11.13,523.8228,3.77 - 5.03,1,1.6E3,523.8223,4.51,1.37E3,523.8227,4.52,6.49E2,523.8223,4.32,2.04E3,523.8220,4.70,1.21E3,523.8229,4.71,2.91E3,523.8222,4.02,4.4E2,523.8239,4.14,3.53E3,523.8237,4.42,5.84E2,2.34:1.11:3.49:2.07:4.98:0.75:6.06:1.00,1.73E3,5.84E2,2.97:1.00,4.42,,
,0.46,4.83,523.8221,8.68 - 9.84,1,1E3,523.8217,9.25,1.68E3,523.8221,9.29,3.5E2,523.8216,8.99,1.31E3,523.8215,8.82,7.08E2,523.8216,9.19,1.9E3,523.8231,9.75,3.15E2,523.8237,9.21,1.25E3,523.8217,9.33,7.65E2,2.19:0.46:1.71:0.93:2.48:0.41:1.63:1.00,1.07E3,7.65E2,1.40:1.00,9.23,,
,0.46,3.73,684.7219,15.03 - 16.14,1,912,684.7231,15.61,9.95E2,684.7211,15.49,3.75E2,684.7211,15.27,2.13E3,684.7214,15.58,6.8E2,684.7229,16.03,6.67E2,684.7214,15.44,8.37E2,684.7220,15.62,8.15E2,684.7220,15.57,8.01E2,1.24:0.47:2.65:0.85:0.83:1.05:1.02:1.00,9.28E2,8.01E2,1.16:1.00,15.58,,
