Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN8_A00_neg m/z,LCN8_A00_neg RT mean,LCN8_A00_neg Normalized Area,LCN8_A06_neg m/z,LCN8_A06_neg RT mean,LCN8_A06_neg Normalized Area,LCN8_A07_neg m/z,LCN8_A07_neg RT mean,LCN8_A07_neg Normalized Area,LCN8_A08_neg m/z,LCN8_A08_neg RT mean,LCN8_A08_neg Normalized Area,LCN8_A12_neg m/z,LCN8_A12_neg RT mean,LCN8_A12_neg Normalized Area,LCN8_B01_neg m/z,LCN8_B01_neg RT mean,LCN8_B01_neg Normalized Area,LCN8_A09_neg m/z,LCN8_A09_neg RT mean,LCN8_A09_neg Normalized Area,LCN8_A10_neg m/z,LCN8_A10_neg RT mean,LCN8_A10_neg Normalized Area,LCN8_A11_neg m/z,LCN8_A11_neg RT mean,LCN8_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.10,3.19,420.0379,0.26 - 0.62,1,2.6E5,420.0382,0.52,1.27E5,-,-,0,420.0377,0.51,5.42E5,420.0380,0.50,2.26E5,420.0376,0.52,3.54E5,420.0379,0.50,2.66E5,420.0378,0.51,2.61E5,420.0378,0.51,3.86E5,420.0381,0.51,1.58E5,0.56:0:2.39:1.00:1.56:1.18:1.16:1.71:0.70,2.52E5,2.68E5,1.00:1.06,0.51,,
,1.10,4.32,618.5500,0.10 - 0.24,1,4.9E5,618.5506,0.16,6.44E5,-,-,0,618.5493,0.16,6.15E5,618.5499,0.16,4.52E5,618.5500,0.15,4.38E5,618.5494,0.16,3.68E5,618.5493,0.16,9.28E5,618.5502,0.17,2.66E5,618.5514,0.16,6.65E5,1.43:0:1.36:1.00:0.97:0.82:2.05:0.59:1.47,4.2E5,6.19E5,1.00:1.48,0.16,,
,1.09,3.23,293.1759,0.10 - 0.60,1,5.7E6,293.1761,0.16,6.19E6,-,-,0,293.1759,0.18,4.43E6,293.1762,0.16,4.97E6,293.1759,0.15,1.43E7,293.1760,0.16,4.88E6,293.1754,0.16,4.33E6,293.1760,0.17,1.18E7,-,-,0,1.24:0:0.89:1.00:2.87:0.98:0.87:2.37:0,5.79E6,5.37E6,1.00:0.93,0.16,,
,1.09,4.15,620.5472,0.10 - 0.24,1,4.2E5,620.5471,0.16,5.75E5,-,-,0,620.5468,0.16,5.6E5,620.5473,0.16,4.11E5,620.5475,0.15,3.48E5,620.5467,0.16,3.28E5,620.5468,0.16,7.18E5,620.5476,0.17,2.53E5,620.5479,0.16,5.97E5,1.40:0:1.36:1.00:0.85:0.80:1.75:0.62:1.45,3.7E5,5.22E5,1.00:1.41,0.16,,
,1.08,3.25,444.1067,3.84 - 9.58,1,9.3E5,444.1069,4.55,1.08E6,444.1067,4.58,6.53E5,444.1070,4.55,1.05E6,444.1064,4.55,1.22E6,444.1063,4.57,8.68E5,444.1070,4.57,8.79E5,444.1066,4.56,8.65E5,444.1066,4.57,8.68E5,444.1071,4.57,9.19E5,0.88:0.53:0.86:1.00:0.71:0.72:0.71:0.71:0.75,9.59E5,8.84E5,1.00:0.92,4.57,,
,1.04,4.67,297.1707,0.10 - 0.70,1,2.6E5,297.1706,0.18,3.21E5,-,-,0,297.1708,0.16,1.57E5,297.1707,0.21,5.01E5,297.1709,0.15,4.24E5,297.1704,0.24,4E5,297.1706,0.16,7.32E4,297.1710,0.28,2.31E5,297.1710,0.19,2.53E5,0.64:0:0.31:1.00:0.85:0.80:0.15:0.46:0.50,3.01E5,1.86E5,1.00:0.62,0.20,,
,1.03,3.92,361.1633,0.11 - 0.56,1,3.8E5,361.1632,0.16,2.72E5,-,-,0,361.1631,0.16,4.59E5,361.1634,0.18,4.73E5,361.1633,0.17,5.74E5,361.1629,0.18,3.07E5,361.1632,0.16,3.84E5,361.1638,0.17,7.2E5,361.1639,0.16,2.76E5,0.58:0:0.97:1.00:1.21:0.65:0.81:1.52:0.58,3.47E5,4.6E5,1.00:1.32,0.17,,
,1.03,7.32,371.1326,0.10 - 0.37,1,5E5,371.1328,0.16,2.2E5,-,-,0,371.1322,0.18,5.33E5,371.1327,0.16,5.34E5,371.1327,0.17,9.93E5,371.1320,0.18,1.58E6,-,-,0,-,-,0,371.1332,0.16,6.77E5,0.41:0:1.00:1.00:1.86:2.96:0:0:1.27,6.43E5,2.26E5,1.00:0.35,0.17,,
,1.02,6.98,361.1039,0.10 - 0.25,1,4.5E5,361.1038,0.16,1.33E5,-,-,0,361.1035,0.16,5.04E5,361.1039,0.16,4.93E5,361.1038,0.15,8.47E5,361.1038,0.16,1.44E6,-,-,0,-,-,0,361.1045,0.16,6.39E5,0.27:0:1.02:1.00:1.72:2.92:0:0:1.30,5.69E5,2.13E5,1.00:0.37,0.16,,
,1.01,3.26,448.1002,3.84 - 8.29,1,2.2E5,448.1001,4.56,2.65E5,448.1006,4.58,1.41E5,448.1002,4.55,2.53E5,448.1001,4.55,2.86E5,448.1000,4.57,2.14E5,448.1002,4.57,2.09E5,448.1003,4.56,2.06E5,448.1004,4.57,2.01E5,448.1003,4.57,2.23E5,0.93:0.49:0.88:1.00:0.75:0.73:0.72:0.70:0.78,2.28E5,2.1E5,1.00:0.92,4.57,,
,1.01,3.03,656.8869,15.15 - 20.27,1,1.3E6,656.8873,20.17,1.23E6,656.8866,20.17,1.51E6,656.8870,20.17,1.27E6,656.8867,20.17,1.27E6,656.8864,20.17,1.31E6,-,-,-,656.8868,20.16,1.27E6,656.8870,20.17,1.44E6,656.8871,20.15,1.21E6,0.97:1.18:1.00:1.00:1.03:-:1.00:1.13:0.95,1.32E6,1.31E6,1.00:0.99,20.17,,
,1.00,4.14,616.5531,0.10 - 0.20,1,2.4E5,616.5539,0.16,3.22E5,-,-,0,616.5522,0.16,3.26E5,616.5530,0.16,2.61E5,616.5533,0.15,2.04E5,616.5523,0.16,1.75E5,616.5525,0.16,4.17E5,616.5533,0.17,1.14E5,616.5543,0.16,3.76E5,1.23:0:1.25:1.00:0.78:0.67:1.60:0.44:1.44,2.15E5,3.02E5,1.00:1.41,0.16,,
,1.00,3.04,866.8059,18.61 - 20.30,1,6.8E4,866.8058,20.22,6.22E4,866.8062,20.22,8.57E4,866.8061,20.22,6.43E4,866.8062,20.23,6.47E4,866.8064,20.22,6.75E4,866.8059,20.22,6.63E4,866.8059,20.22,6.52E4,866.8052,20.22,7.49E4,866.8054,20.22,6.27E4,0.96:1.32:0.99:1.00:1.04:1.02:1.01:1.16:0.97,6.84E4,6.76E4,1.00:0.99,20.22,,
,0.97,3.80,407.1688,0.12 - 0.61,1,2.3E5,407.1693,0.52,8.39E4,-,-,0,407.1683,0.51,5.23E5,407.1691,0.50,2.16E5,407.1682,0.52,3.8E5,407.1689,0.50,2.72E5,407.1689,0.51,1.68E5,407.1688,0.51,2.87E5,407.1693,0.51,1.2E5,0.39:0:2.43:1.00:1.76:1.26:0.78:1.33:0.56,2.46E5,1.92E5,1.00:0.78,0.51,,
,0.97,4.67,676.5087,0.10 - 0.24,1,2.2E5,676.5090,0.16,2.6E5,-,-,0,676.5084,0.16,3.26E5,676.5088,0.16,2.05E5,676.5087,0.15,1.67E5,676.5077,0.16,1.36E5,676.5079,0.16,4.55E5,676.5089,0.17,1.09E5,676.5100,0.16,3.19E5,1.27:0:1.59:1.00:0.82:0.66:2.22:0.53:1.55,1.82E5,2.95E5,1.00:1.62,0.16,,
,0.96,5.17,600.7068,0.11 - 0.24,1,2.9E5,600.7072,0.16,3.78E5,-,-,0,600.7061,0.18,3.34E5,600.7063,0.18,3.5E5,600.7072,0.17,3.15E5,-,-,0,600.7058,0.18,5.04E5,600.7075,0.17,2.88E5,600.7075,0.16,4.65E5,1.08:0:0.95:1.00:0.90:0:1.44:0.82:1.33,2.3E5,4.19E5,1.00:1.83,0.17,,
,0.96,4.12,288.8587,0.10 - 0.26,1,1.1E6,288.8589,0.16,1.45E6,-,-,0,288.8587,0.18,1.43E6,288.8584,0.18,1.47E6,288.8591,0.17,1.32E6,288.8586,0.18,1.35E6,-,-,0,288.8588,0.17,1.17E6,288.8588,0.17,1.34E6,0.99:0:0.97:1.00:0.89:0.92:0:0.80:0.91,1.17E6,8.37E5,1.00:0.72,0.17,,
,0.93,4.70,893.5157,0.10 - 0.24,1,1.4E5,893.5160,0.16,1.7E5,-,-,0,893.5150,0.16,1.7E5,893.5158,0.16,1.72E5,893.5154,0.15,8.85E4,893.5150,0.16,1.04E5,893.5159,0.16,2.93E5,893.5160,0.17,7.54E4,893.5168,0.16,2.05E5,0.99:0:0.99:1.00:0.51:0.60:1.70:0.44:1.19,1.17E5,1.91E5,1.00:1.63,0.16,,
,0.92,3.73,587.3592,0.35 - 0.59,1,2.1E5,587.3596,0.52,1.63E4,-,-,0,587.3588,0.50,8.13E5,587.3593,0.51,9.21E4,587.3587,0.52,3.21E5,587.3594,0.54,1.21E5,587.3593,0.51,1.67E5,587.3592,0.51,3.46E5,587.3595,0.51,3.16E4,0.18:0:8.83:1.00:3.49:1.32:1.81:3.75:0.34,2.27E5,1.81E5,1.00:0.80,0.51,,
,0.92,4.17,329.1525,0.10 - 0.59,1,8.1E5,329.1519,0.14,1.2E6,-,-,0,329.1527,0.16,9.99E5,329.1525,0.16,9.57E5,-,-,0,329.1523,0.16,1.09E6,329.1525,0.16,8.95E5,329.1525,0.17,7.78E5,329.1530,0.14,1.34E6,1.25:0:1.04:1.00:0:1.14:0.93:0.81:1.40,7.07E5,1E6,1.00:1.42,0.16,,
,0.92,3.51,253.1443,0.10 - 5.37,1,1.4E6,253.1441,0.16,2.36E6,-,-,0,253.1443,0.37,1.66E6,253.1442,0.16,2.03E6,-,-,0,253.1440,0.16,2.02E6,253.1442,0.16,1.41E6,253.1446,0.17,1.7E6,253.1445,0.14,1.62E6,1.16:0:0.82:1.00:0:1.00:0.70:0.84:0.80,1.34E6,1.58E6,1.00:1.17,0.19,,
,0.91,4.26,326.2346,1.47 - 2.75,1,9.1E4,326.2346,2.56,2.3E4,-,-,0,326.2347,2.55,1.21E5,326.2346,2.54,5.5E4,326.2345,2.56,1.39E5,326.2345,2.56,1.35E5,326.2346,2.55,1.45E5,326.2346,2.56,9.54E4,326.2346,2.56,1.03E5,0.42:0:2.20:1.00:2.53:2.45:2.64:1.73:1.87,7.88E4,1.14E5,1.00:1.45,2.56,,
,0.91,3.16,986.7972,18.62 - 20.25,1,4.4E4,986.7969,20.14,3.53E4,986.7968,20.15,5.52E4,986.7986,20.13,3.77E4,986.7967,20.16,4.36E4,986.7968,20.14,4.53E4,986.7983,20.14,4.52E4,986.7971,20.14,4.35E4,986.7968,20.15,5.41E4,986.7964,20.14,4.06E4,0.81:1.27:0.87:1.00:1.04:1.04:1.00:1.24:0.93,4.37E4,4.61E4,1.00:1.05,20.14,,
,0.91,3.43,519.3907,16.43 - 20.19,1,7.9E4,519.3906,18.46,8.37E4,519.3909,19.05,6.19E4,519.3917,18.75,7.63E4,519.3909,18.81,6.32E4,519.3907,18.69,8.26E4,519.3907,18.75,8.52E4,519.3901,18.72,8.31E4,519.3905,18.71,9.62E4,519.3906,18.74,8.08E4,1.32:0.98:1.21:1.00:1.31:1.35:1.31:1.52:1.28,7.55E4,8.67E4,1.00:1.15,18.74,,
,0.91,3.35,426.1042,2.13 - 4.29,1,9.4E4,426.1041,3.68,1.2E5,426.1046,3.59,4.7E4,426.1043,3.68,9.38E4,426.1041,3.67,1.4E5,426.1041,3.69,9.45E4,426.1041,3.68,8.83E4,426.1043,3.68,7.78E4,426.1039,3.70,7.33E4,426.1039,3.67,1.09E5,0.86:0.34:0.67:1.00:0.67:0.63:0.56:0.52:0.78,9.73E4,8.69E4,1.00:0.89,3.67,,
,0.89,3.04,360.0128,0.40 - 2.05,1,1.4E5,360.0128,1.91,1.21E5,-,-,0,360.0128,1.91,2.19E5,360.0128,1.91,1.26E5,360.0128,1.90,2.66E5,360.0129,1.91,1.22E5,360.0128,1.90,1.39E5,360.0129,1.92,1.78E5,360.0127,1.91,1.05E5,0.96:0:1.74:1.00:2.12:0.97:1.11:1.42:0.84,1.42E5,1.41E5,1.00:0.99,1.91,,
,0.89,10.10,428.0096,0.24 - 0.52,1,1.8E5,428.0100,0.38,3.93E4,-,-,0,428.0097,0.37,3.36E5,428.0097,0.38,1.18E5,428.0092,0.39,3.45E5,428.0096,0.37,6.55E5,-,-,0,-,-,0,428.0097,0.38,1.64E5,0.33:0:2.85:1.00:2.93:5.56:0:0:1.39,2.49E5,5.48E4,1.00:0.22,0.38,,
,0.89,3.47,658.6656,0.11 - 0.24,1,2.3E5,658.6650,0.16,3.41E5,-,-,0,658.6656,0.16,2.98E5,658.6654,0.18,2.62E5,658.6664,0.17,2.37E5,658.6652,0.18,1.88E5,658.6648,0.16,3.89E5,-,-,0,658.6667,0.16,3.81E5,1.30:0:1.14:1.00:0.90:0.72:1.48:0:1.45,2.21E5,2.57E5,1.00:1.16,0.17,,
,0.88,3.06,492.1095,1.63 - 3.23,1,5.9E4,492.1093,3.09,9.92E4,-,-,0,492.1096,3.10,6.33E4,492.1094,3.11,7.39E4,492.1095,3.11,4.69E4,492.1096,3.11,7.1E4,492.1097,3.10,5.17E4,492.1096,3.11,6.62E4,492.1094,3.11,6.27E4,1.34:0:0.86:1.00:0.64:0.96:0.70:0.90:0.85,5.9E4,6.02E4,1.00:1.02,3.11,,
,0.88,3.42,444.0882,2.83 - 4.41,1,9.9E4,444.0882,3.80,1.74E5,444.0884,3.84,4.92E4,444.0878,3.80,1.2E5,444.0877,3.81,1.07E5,444.0883,3.81,8.38E4,444.0882,3.80,8.58E4,444.0883,3.81,9.52E4,444.0883,3.81,8.25E4,444.0886,3.81,9.32E4,1.63:0.46:1.12:1.00:0.78:0.80:0.89:0.77:0.87,1.03E5,9.03E4,1.00:0.87,3.81,,
,0.87,3.34,687.5817,15.33 - 16.65,1,6.6E4,687.5815,15.99,2.99E4,687.5822,15.92,9.94E4,687.5820,15.91,7.74E4,687.5821,15.93,5.93E4,687.5817,15.91,7.34E4,687.5807,15.91,7.36E4,687.5817,15.94,7E4,687.5818,15.92,8.27E4,687.5817,15.95,3.24E4,0.50:1.68:1.30:1.00:1.24:1.24:1.18:1.39:0.55,6.88E4,6.17E4,1.00:0.90,15.93,,
,0.87,3.66,305.1182,0.12 - 0.46,1,9.4E4,305.1180,0.16,4.52E4,-,-,0,305.1183,0.18,2.48E5,305.1179,0.18,1.27E5,305.1189,0.17,8.93E4,305.1176,0.18,9.16E4,305.1177,0.16,3.45E4,305.1183,0.17,8.94E4,305.1185,0.16,1.21E5,0.36:0:1.95:1.00:0.70:0.72:0.27:0.70:0.95,1E5,8.15E4,1.00:0.81,0.17,,
,0.85,3.38,489.1719,0.24 - 0.62,1,6.2E4,489.1722,0.52,2.46E4,-,-,0,489.1715,0.51,1.43E5,489.1720,0.50,5.3E4,489.1713,0.52,1.02E5,489.1717,0.49,6.7E4,489.1725,0.51,5.09E4,489.1718,0.51,8.83E4,489.1722,0.51,3.29E4,0.46:0:2.69:1.00:1.92:1.26:0.96:1.66:0.62,6.48E4,5.73E4,1.00:0.88,0.51,,
,0.85,3.35,331.1495,0.10 - 0.59,1,3E5,331.1490,0.14,4.14E5,-,-,0,331.1498,0.16,3.24E5,331.1497,0.16,3.42E5,331.1495,0.15,6.46E5,-,-,0,331.1495,0.16,2.86E5,331.1495,0.17,2.43E5,331.1495,0.14,4.35E5,1.21:0:0.95:1.00:1.89:0:0.84:0.71:1.27,2.88E5,3.22E5,1.00:1.12,0.16,,
,0.85,3.05,850.8216,15.14 - 20.25,1,3.9E5,850.8217,20.14,3.61E5,850.8217,20.14,4.43E5,-,-,-,850.8217,20.14,3.72E5,850.8210,20.14,3.81E5,850.8217,20.14,3.8E5,850.8213,20.14,3.73E5,850.8217,20.15,4.22E5,850.8219,20.14,3.52E5,0.97:1.19:-:1.00:1.02:1.02:1.00:1.13:0.95,3.88E5,3.82E5,1.00:0.99,20.14,,
,0.84,4.26,520.1404,2.98 - 3.99,1,8.2E4,520.1404,3.86,5.44E4,-,-,0,520.1406,3.86,4.29E4,520.1403,3.87,1.65E5,520.1403,3.86,2.89E4,520.1401,3.87,1.38E5,520.1405,3.86,6.49E4,520.1404,3.86,2.11E5,520.1406,3.86,3.58E4,0.33:0:0.26:1.00:0.17:0.84:0.39:1.28:0.22,7.16E4,1.04E5,1.00:1.45,3.86,,
,0.84,3.82,542.7479,0.11 - 1.98,1,3.8E5,542.7483,0.16,4.28E5,542.7484,1.98,-,542.7475,0.18,3.46E5,542.7477,0.18,3.5E5,542.7483,0.17,2.94E5,542.7473,0.18,2.79E5,542.7470,0.18,5.78E5,542.7478,0.17,2.75E5,542.7488,0.16,4.57E5,1.22:-:0.99:1.00:0.84:0.80:1.65:0.79:1.31,3.39E5,4.37E5,1.00:1.29,0.37,,
,0.83,3.17,428.0694,0.29 - 0.62,1,3.7E4,428.0697,0.52,1.75E4,-,-,0,428.0691,0.51,7.32E4,428.0695,0.50,3.83E4,428.0691,0.52,4.96E4,428.0695,0.54,3.78E4,428.0693,0.51,3.31E4,428.0697,0.51,5.98E4,428.0697,0.51,2.14E4,0.46:0:1.91:1.00:1.29:0.99:0.86:1.56:0.56,3.61E4,3.81E4,1.00:1.06,0.51,,
,0.83,3.22,1054.7846,19.01 - 20.24,1,2.3E4,1054.7852,20.15,2.29E4,1054.7853,20.15,2.96E4,1054.7839,20.17,2.19E4,1054.7834,20.17,2.04E4,1054.7830,20.14,2.15E4,1054.7869,20.15,2.39E4,1054.7852,20.16,2.18E4,1054.7838,20.17,2.29E4,1054.7847,20.15,2.07E4,1.12:1.45:1.07:1.00:1.05:1.17:1.07:1.12:1.01,2.34E4,2.18E4,1.00:0.93,20.16,,
,0.82,3.06,766.8559,18.68 - 20.25,2,2E4,766.8568,20.17,1.66E4,766.8561,20.19,2.49E4,766.8564,20.17,1.96E4,766.8554,20.18,1.82E4,766.8550,20.19,2E4,766.8555,20.17,2.13E4,766.8547,20.18,2.07E4,766.8561,20.18,2.25E4,766.8569,20.17,1.82E4,0.91:1.37:1.08:1.00:1.10:1.17:1.14:1.24:1.00,2.01E4,2.05E4,1.00:1.02,20.18,,
,0.82,4.48,460.0444,0.58 - 2.28,1,6.5E4,460.0444,2.16,1.83E4,-,-,0,460.0442,2.15,2.46E5,460.0447,2.15,4.66E4,460.0446,2.15,4.6E4,460.0447,2.16,8.1E4,460.0441,2.15,5.72E4,460.0442,2.16,4.15E4,460.0442,2.16,4.54E4,0.39:0:5.29:1.00:0.99:1.74:1.23:0.89:0.97,7.31E4,4.8E4,1.00:0.66,2.15,,
,0.82,3.02,454.1356,1.74 - 3.24,1,4E4,454.1356,3.09,6.6E4,-,-,0,454.1353,3.10,4.26E4,454.1357,3.11,4.98E4,454.1356,3.11,3.15E4,454.1357,3.11,5.26E4,454.1357,3.11,3.41E4,454.1358,3.11,4.38E4,454.1355,3.11,4.27E4,1.33:0:0.86:1.00:0.63:1.06:0.68:0.88:0.86,4.04E4,4.02E4,1.00:0.99,3.11,,
,0.82,3.53,409.1450,0.12 - 0.63,1,3.4E4,409.1451,0.52,1.63E4,-,-,0,409.1450,0.51,5.76E4,409.1449,0.50,3.98E4,409.1449,0.52,4.47E4,409.1449,0.54,3.37E4,409.1448,0.51,2.94E4,409.1452,0.51,6.09E4,409.1451,0.51,2.28E4,0.41:0:1.45:1.00:1.12:0.85:0.74:1.53:0.57,3.2E4,3.77E4,1.00:1.18,0.51,,
