Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD1_E00_neg m/z,STARD1_E00_neg RT mean,STARD1_E00_neg Normalized Area,STARD1_E04_neg m/z,STARD1_E04_neg RT mean,STARD1_E04_neg Normalized Area,STARD1_E05_neg m/z,STARD1_E05_neg RT mean,STARD1_E05_neg Normalized Area,STARD1_E08_neg m/z,STARD1_E08_neg RT mean,STARD1_E08_neg Normalized Area,STARD1_E09_neg m/z,STARD1_E09_neg RT mean,STARD1_E09_neg Normalized Area,STARD1_E10_neg m/z,STARD1_E10_neg RT mean,STARD1_E10_neg Normalized Area,STARD1_E11_neg m/z,STARD1_E11_neg RT mean,STARD1_E11_neg Normalized Area,STARD1_E12_neg m/z,STARD1_E12_neg RT mean,STARD1_E12_neg Normalized Area,STARD1_E06_neg m/z,STARD1_E06_neg RT mean,STARD1_E06_neg Normalized Area,STARD1_E07_neg m/z,STARD1_E07_neg RT mean,STARD1_E07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.97,15.96,502.6326,0.10 - 0.24,1,1E6,502.6326,0.16,1.53E6,-,-,0,502.6324,0.17,1.83E6,502.6328,0.16,1.18E6,502.6323,0.15,8.82E5,-,-,0,502.6322,0.14,1.17E6,-,-,0,502.6333,0.15,2.59E6,502.6323,0.15,1.22E6,1.00:0:1.19:0.77:0.58:0:0.76:0:1.69:0.79,8.25E5,1.91E6,1.00:2.31,0.16,,
,0.95,3.71,418.0722,2.12 - 8.69,1,5.1E5,418.0722,3.69,5.58E5,418.0726,3.63,4.05E5,418.0723,3.67,5.55E5,418.0723,3.67,6.26E5,418.0723,3.66,5.39E5,418.0724,3.68,5.14E5,418.0724,3.67,6.2E5,418.0724,3.69,2.17E5,418.0722,3.67,4.79E5,418.0714,3.67,6.14E5,1.38:1.00:1.37:1.55:1.33:1.27:1.53:0.53:1.18:1.52,5.04E5,5.47E5,1.00:1.08,3.67,,
,0.94,4.08,444.1065,3.74 - 9.55,1,4.8E5,444.1064,4.54,5.65E5,444.1066,4.55,3.31E5,444.1065,4.56,5.42E5,444.1065,4.56,5.87E5,444.1063,4.54,5.15E5,444.1065,4.56,4.64E5,444.1065,4.57,5.45E5,444.1065,4.01,2.19E5,444.1066,4.55,4.43E5,444.1066,4.55,6.18E5,1.71:1.00:1.64:1.77:1.56:1.40:1.65:0.66:1.34:1.87,4.71E5,5.3E5,1.00:1.13,4.50,,
,0.91,16.98,560.5908,0.10 - 0.24,1,8.7E5,560.5907,0.16,1.27E6,-,-,0,560.5909,0.17,1.45E6,560.5917,0.16,1E6,560.5903,0.15,7.4E5,-,-,0,560.5902,0.14,9.83E5,-,-,0,560.5916,0.15,2.18E6,560.5901,0.15,1.1E6,1.00:0:1.15:0.79:0.58:0:0.78:0:1.73:0.87,6.8E5,1.64E6,1.00:2.41,0.16,,
,0.90,19.01,268.8008,0.10 - 0.25,3,2.8E6,268.8008,0.16,4.89E6,-,-,0,-,-,0,268.8011,0.16,3.78E6,268.8006,0.15,3.72E6,268.8008,0.18,6.81E5,268.8007,0.14,3.77E6,-,-,0,268.8014,0.15,6.41E6,268.8004,0.15,4.59E6,1.00:0:0:0.77:0.76:0.14:0.77:0:1.31:0.94,2.11E6,5.5E6,1.00:2.61,0.16,,
,0.89,12.02,454.0176,0.25 - 0.63,1,3.9E5,454.0175,0.49,6.93E5,-,-,0,454.0176,0.49,7.45E5,454.0176,0.52,2.61E5,454.0172,0.49,6.54E5,454.0182,0.52,1.22E5,454.0176,0.51,1.64E5,-,-,0,454.0170,0.51,6.36E5,454.0180,0.48,6.36E5,1.00:0:1.08:0.38:0.94:0.18:0.24:0:0.92:0.92,3.3E5,6.36E5,1.00:1.93,0.50,,
,0.87,6.07,297.1704,0.10 - 0.67,1,2.7E5,297.1701,0.17,1.11E6,-,-,0,297.1701,0.16,1.79E5,297.1707,0.16,1.69E5,297.1706,0.15,1.66E5,297.1701,0.14,6.3E4,297.1701,0.14,3.49E5,-,-,0,297.1709,0.15,3.97E5,297.1704,0.19,2.84E5,1.00:0:0.16:0.15:0.15:0.06:0.32:0:0.36:0.26,2.54E5,3.41E5,1.00:1.34,0.16,,
,0.86,11.51,456.0145,0.25 - 0.63,1,3.5E5,456.0139,0.49,6.38E5,-,-,0,456.0146,0.49,6.78E5,456.0150,0.52,2.26E5,456.0138,0.49,5.91E5,456.0146,0.52,1.12E5,456.0152,0.51,1.38E5,-,-,0,456.0142,0.51,5.47E5,456.0145,0.49,5.72E5,1.00:0:1.06:0.35:0.93:0.18:0.22:0:0.86:0.90,2.98E5,5.6E5,1.00:1.88,0.50,,
,0.86,4.30,1054.7833,18.66 - 20.23,1,3.5E4,1054.7842,20.15,3.21E4,1054.7837,20.15,4.48E4,1054.7820,20.16,2.63E4,1054.7827,20.16,3.23E4,1054.7826,20.15,3.15E4,1054.7834,20.14,4.1E4,1054.7841,20.16,2.78E4,1054.7826,20.15,4.8E4,1054.7849,20.15,2.75E4,1054.7831,20.15,3.42E4,0.72:1.00:0.59:0.72:0.70:0.92:0.62:1.07:0.61:0.76,3.55E4,3.08E4,1.00:0.87,20.15,,
,0.86,7.64,257.1392,0.10 - 0.50,1,1.6E5,257.1394,0.16,2.36E5,-,-,0,257.1392,0.16,1.37E5,257.1391,0.16,2.24E5,257.1391,0.15,2.23E5,257.1392,0.14,1.02E5,257.1391,0.14,2.71E5,-,-,0,257.1392,0.15,2.39E5,257.1391,0.15,2.08E5,1.00:0:0.58:0.95:0.94:0.43:1.15:0:1.01:0.88,1.49E5,2.23E5,1.00:1.50,0.15,,
,0.85,11.32,418.0405,0.25 - 0.63,1,3.3E5,418.0401,0.49,5.82E5,-,-,0,418.0412,0.49,6.59E5,418.0406,0.52,2.11E5,418.0402,0.49,5.28E5,418.0408,0.52,1.18E5,418.0402,0.51,1.23E5,-,-,0,418.0401,0.51,5.35E5,418.0410,0.49,4.98E5,1.00:0:1.13:0.36:0.91:0.20:0.21:0:0.92:0.86,2.78E5,5.17E5,1.00:1.86,0.50,,
,0.85,3.63,371.1323,0.10 - 0.38,1,4E5,-,-,0,-,-,0,371.1325,0.17,1.1E5,371.1323,0.18,6.06E5,371.1324,0.17,4.72E5,-,-,0,371.1322,0.16,1.96E6,-,-,0,371.1320,0.17,4.19E5,371.1321,0.17,4.28E5,0:0:1.00:5.50:4.29:0:17.81:0:3.80:3.89,3.94E5,4.23E5,1.00:1.08,0.17,,
,0.85,3.26,253.1443,0.10 - 5.41,1,1.3E6,253.1444,0.16,2.59E6,-,-,0,-,-,0,253.1442,0.16,2.5E6,253.1443,0.15,2.32E6,253.1447,0.41,1.6E6,253.1440,0.16,1.11E6,-,-,0,253.1444,0.15,1.46E6,253.1442,0.15,9.92E5,1.00:0:0:0.97:0.90:0.62:0.43:0:0.56:0.38,1.26E6,1.23E6,1.00:0.97,0.19,,
,0.84,6.37,690.8797,19.25 - 20.25,2,2.2E4,690.8798,20.17,1.81E4,690.8795,20.17,2.98E4,690.8800,20.18,2.04E4,690.8799,20.18,1.95E4,690.8795,20.17,2.02E4,690.8793,20.19,2.67E4,690.8798,20.16,1.94E4,690.8799,20.17,3.15E4,690.8797,20.16,1.75E4,690.8798,20.18,1.63E4,0.61:1.00:0.68:0.66:0.68:0.90:0.65:1.06:0.59:0.55,2.32E4,1.69E4,1.00:0.73,20.17,,
,0.83,4.83,361.1035,0.10 - 0.25,1,3.7E5,-,-,0,-,-,0,361.1036,0.17,8.1E4,361.1040,0.16,5.41E5,361.1034,0.15,4.08E5,-,-,0,361.1035,0.16,1.81E6,-,-,0,361.1038,0.15,4.61E5,361.1029,0.15,3.97E5,0:0:1.00:6.68:5.04:0:22.31:0:5.69:4.91,3.55E5,4.29E5,1.00:1.21,0.16,,
,0.83,3.71,596.8414,18.53 - 20.22,1,3.9E4,596.8412,19.36,3.47E4,596.8418,19.41,4.56E4,596.8412,19.38,3.27E4,596.8411,19.36,4.2E4,596.8419,19.35,3.82E4,596.8420,19.38,4.44E4,596.8413,19.38,3.55E4,596.8405,19.38,4.3E4,596.8417,19.39,3.6E4,596.8418,19.36,3.69E4,0.76:1.00:0.72:0.92:0.84:0.97:0.78:0.94:0.79:0.81,3.95E4,3.65E4,1.00:0.92,19.37,,
,0.83,5.05,459.3143,2.80 - 3.78,1,4.3E4,459.3138,3.63,8.81E3,-,-,0,459.3140,3.63,4.15E4,459.3145,3.63,5.2E4,459.3143,3.63,5.4E4,459.3147,3.63,4.4E4,459.3145,3.63,5.83E4,459.3148,3.63,6.82E4,459.3140,3.63,4.58E4,459.3141,3.62,5.5E4,1.00:0:4.71:5.90:6.14:5.00:6.62:7.75:5.20:6.24,4.09E4,5.04E4,1.00:1.23,3.63,,
,0.82,5.33,461.3299,3.58 - 4.27,1,4.7E4,461.3297,4.14,1.16E4,-,-,0,461.3299,4.14,4.12E4,461.3297,4.14,5.36E4,461.3297,4.13,5.9E4,461.3298,4.14,5.1E4,461.3300,4.14,6.51E4,461.3305,4.14,7.53E4,461.3297,4.13,5.14E4,461.3300,4.13,6.13E4,1.00:0:3.53:4.60:5.06:4.37:5.59:6.47:4.41:5.26,4.46E4,5.63E4,1.00:1.26,4.14,,
,0.82,5.36,384.1617,2.51 - 4.13,1,3.2E4,384.1616,3.66,3.94E4,384.1616,3.68,1.19E4,384.1617,3.68,3.57E4,384.1615,3.67,3.95E4,384.1617,3.66,3.88E4,384.1617,3.69,2.84E4,384.1618,3.69,3.84E4,384.1619,3.67,7.33E3,384.1616,3.67,3.35E4,384.1617,3.66,4.24E4,3.30:1.00:2.99:3.31:3.25:2.38:3.21:0.61:2.80:3.55,2.99E4,3.79E4,1.00:1.27,3.67,,
,0.82,11.56,420.0374,0.25 - 0.63,1,2E5,420.0374,0.49,3.54E5,-,-,0,420.0374,0.49,4E5,420.0373,0.52,1.29E5,420.0374,0.49,3.16E5,420.0380,0.52,6.88E4,420.0375,0.51,7.62E4,-,-,0,420.0373,0.51,3.23E5,420.0372,0.49,3.1E5,1.00:0:1.13:0.36:0.89:0.19:0.22:0:0.91:0.88,1.68E5,3.17E5,1.00:1.88,0.50,,
,0.81,5.44,388.0440,0.66 - 4.35,1,6.8E4,388.0439,2.85,6.68E4,388.0441,2.87,3.45E4,388.0441,2.85,7.85E4,388.0440,2.85,8.1E4,388.0441,2.84,7.1E4,388.0440,2.84,5.77E4,388.0441,2.84,1.06E5,388.0442,2.86,2.19E4,388.0439,2.84,7.93E4,388.0441,2.84,8.55E4,1.94:1.00:2.27:2.35:2.06:1.67:3.06:0.63:2.30:2.48,6.46E4,8.24E4,1.00:1.27,2.85,,
,0.81,4.16,374.1328,2.76 - 4.19,1,4E4,374.1327,3.69,6.04E4,374.1331,3.64,1.47E4,374.1328,3.68,4.96E4,374.1326,3.67,5.33E4,374.1327,3.66,4.77E4,374.1329,3.68,3.18E4,374.1328,3.67,4.9E4,374.1330,3.71,7.97E3,374.1326,3.67,4E4,374.1327,3.66,4.93E4,4.11:1.00:3.37:3.62:3.24:2.17:3.33:0.54:2.72:3.35,3.93E4,4.47E4,1.00:1.14,3.67,,
,0.81,3.91,834.8430,18.94 - 20.24,2,1.8E4,834.8430,20.17,1.43E4,834.8441,20.17,2.05E4,834.8431,20.18,1.56E4,834.8434,20.18,1.77E4,834.8423,20.17,1.6E4,834.8430,20.16,1.89E4,834.8436,20.16,1.49E4,834.8428,20.19,2.57E4,834.8432,20.16,1.55E4,834.8418,20.18,1.69E4,0.70:1.00:0.76:0.86:0.78:0.92:0.73:1.25:0.75:0.82,1.79E4,1.62E4,1.00:0.90,20.17,,
,0.81,15.39,620.5467,0.10 - 0.22,1,3.5E5,620.5464,0.16,5.36E5,-,-,0,620.5471,0.17,6.08E5,620.5469,0.16,3.99E5,620.5471,0.15,2.87E5,-,-,0,620.5459,0.14,3.96E5,-,-,0,620.5477,0.15,8.57E5,620.5460,0.15,3.98E5,1.00:0:1.13:0.74:0.54:0:0.74:0:1.60:0.74,2.78E5,6.27E5,1.00:2.26,0.16,,
,0.80,5.20,390.0410,0.62 - 4.05,1,6.1E4,390.0410,2.85,6.03E4,390.0413,2.88,3.03E4,390.0410,2.85,6.95E4,390.0410,2.85,7.21E4,390.0410,2.84,6.09E4,390.0410,2.84,5.13E4,390.0410,2.84,9.26E4,390.0411,2.86,2.86E4,390.0410,2.84,6.87E4,390.0410,2.84,7.67E4,1.99:1.00:2.29:2.38:2.01:1.69:3.05:0.94:2.27:2.53,5.82E4,7.27E4,1.00:1.25,2.85,,
,0.80,8.84,285.1344,0.10 - 0.66,1,1.9E6,-,-,0,-,-,0,285.1345,0.17,1.52E6,285.1346,0.16,3.68E6,-,-,0,285.1345,0.53,4.85E5,285.1343,0.16,7.54E6,-,-,0,285.1348,0.15,2.55E6,285.1339,0.15,2.8E6,0:0:1.00:2.43:0:0.32:4.97:0:1.68:1.85,1.65E6,2.68E6,1.00:1.62,0.22,,
,0.80,6.13,473.4011,7.97 - 12.12,1,4.6E4,473.4011,8.15,3.55E4,473.4012,8.57,7.52E4,473.4005,8.56,7.94E4,473.4013,8.23,3.51E4,473.4012,8.16,4.1E4,473.4013,8.30,3.92E4,473.4009,8.15,3.74E4,473.4014,8.17,4.3E4,473.4013,8.19,3.3E4,473.4012,8.17,3.86E4,0.47:1.00:1.06:0.47:0.55:0.52:0.50:0.57:0.44:0.51,4.82E4,3.58E4,1.00:0.74,8.27,,
,0.79,5.15,889.8289,20.07 - 20.23,2,1.3E4,889.8285,20.17,1.15E4,889.8301,20.17,1.67E4,889.8289,20.16,1.25E4,889.8293,20.16,1.22E4,889.8287,20.17,1.28E4,889.8282,20.16,1.54E4,889.8289,20.16,1.12E4,889.8290,20.15,1.77E4,889.8286,20.15,1.07E4,889.8290,20.18,1.14E4,0.69:1.00:0.75:0.73:0.76:0.92:0.67:1.06:0.64:0.68,1.38E4,1.11E4,1.00:0.80,20.16,,
,0.79,6.28,923.8231,20.08 - 20.23,2,1.3E4,923.8236,20.17,1.22E4,923.8231,20.17,1.77E4,923.8232,20.16,1.17E4,923.8242,20.16,1.26E4,923.8229,20.17,1.26E4,923.8228,20.16,1.5E4,923.8224,20.16,1.09E4,923.8231,20.17,1.79E4,923.8229,20.16,1.26E4,923.8228,20.15,7.7E3,0.69:1.00:0.66:0.71:0.71:0.85:0.62:1.01:0.71:0.44,1.38E4,1.01E4,1.00:0.73,20.16,,
,0.79,5.20,564.3458,3.86 - 5.31,1,6.4E4,564.3459,5.15,2.35E5,-,-,0,564.3459,5.16,3.2E4,564.3457,5.15,4.52E4,564.3457,5.15,6.94E4,564.3458,5.16,4.49E4,564.3458,5.16,8.27E4,564.3458,5.15,2.51E4,564.3458,5.15,4.56E4,564.3452,5.15,6.13E4,1.00:0:0.14:0.19:0.30:0.19:0.35:0.11:0.19:0.26,6.68E4,5.35E4,1.00:0.80,5.15,,
,0.78,4.68,433.2982,2.64 - 3.50,1,3.8E4,433.2981,3.39,8.95E3,-,-,0,433.2981,3.40,3.35E4,433.2982,3.39,4.2E4,433.2981,3.39,4.82E4,433.2986,3.39,4.2E4,433.2980,3.39,5.23E4,433.2981,3.39,6.57E4,433.2981,3.39,4.06E4,433.2980,3.38,4.67E4,1.00:0:3.75:4.70:5.39:4.69:5.84:7.34:4.54:5.22,3.66E4,4.36E4,1.00:1.19,3.39,,
,0.78,3.96,863.8228,20.07 - 20.24,2,1.4E4,863.8221,20.19,1.3E4,863.8230,20.17,1.92E4,863.8232,20.16,1.31E4,863.8221,20.18,1.38E4,863.8235,20.19,1.12E4,863.8243,20.19,1.58E4,863.8234,20.16,1.2E4,863.8224,20.16,1.91E4,863.8221,20.16,1.2E4,863.8219,20.18,1.43E4,0.68:1.00:0.68:0.72:0.58:0.83:0.62:0.99:0.62:0.75,1.46E4,1.32E4,1.00:0.90,20.18,,
,0.78,15.73,500.6355,0.10 - 0.22,1,7.5E5,500.6353,0.16,1.18E6,-,-,0,500.6355,0.17,1.22E6,500.6362,0.16,8.16E5,500.6356,0.15,6.64E5,500.6352,0.18,2.93E4,500.6348,0.14,8.6E5,-,-,0,500.6365,0.15,1.76E6,500.6347,0.15,9.67E5,1.00:0:1.03:0.69:0.56:0.02:0.73:0:1.49:0.82,5.96E5,1.36E6,1.00:2.29,0.16,,
,0.78,5.83,894.8436,20.09 - 20.24,2,1.1E4,894.8436,20.17,8.57E3,894.8436,20.17,1.43E4,894.8440,20.18,9.44E3,894.8437,20.18,1.02E4,894.8434,20.17,1.06E4,894.8431,20.19,1.24E4,894.8435,20.16,9.03E3,894.8441,20.17,1.48E4,894.8442,20.16,7.88E3,894.8423,20.18,9.1E3,0.60:1.00:0.66:0.71:0.75:0.87:0.63:1.04:0.55:0.64,1.12E4,8.49E3,1.00:0.76,20.17,,
,0.78,5.28,732.8606,20.07 - 20.24,2,1E4,732.8613,20.17,8.6E3,732.8610,20.17,1.28E4,732.8611,20.18,8.83E3,732.8607,20.18,1.02E4,732.8596,20.17,9.79E3,732.8606,20.19,1.25E4,732.8602,20.16,9.28E3,732.8608,20.19,1.38E4,732.8603,20.19,8.06E3,732.8602,20.18,8.99E3,0.67:1.00:0.69:0.79:0.76:0.97:0.72:1.07:0.63:0.70,1.07E4,8.52E3,1.00:0.79,20.18,,
,0.78,5.28,460.0441,0.59 - 2.27,1,4.3E4,460.0444,2.15,8.46E3,-,-,0,460.0441,2.15,5.92E4,460.0441,2.15,5.11E4,460.0439,2.14,6.63E4,460.0441,2.14,3.53E4,460.0441,2.15,6.14E4,460.0442,2.15,4.71E4,460.0441,2.15,4.98E4,460.0441,2.14,5.36E4,1.00:0:6.99:6.03:7.83:4.17:7.26:5.57:5.88:6.33,4.11E4,5.17E4,1.00:1.26,2.15,,
,0.77,5.12,622.8923,19.03 - 20.24,2,1.2E4,622.8917,20.17,1.07E4,622.8934,20.17,1.58E4,622.8925,20.18,1.13E4,622.8932,20.16,1.14E4,622.8914,20.17,1.05E4,622.8915,20.16,1.43E4,622.8925,20.16,1.06E4,622.8925,20.15,1.72E4,622.8923,20.16,9.22E3,622.8917,20.18,1.13E4,0.68:1.00:0.71:0.72:0.66:0.91:0.67:1.09:0.58:0.71,1.27E4,1.02E4,1.00:0.81,20.17,,
,0.77,4.98,800.8481,20.09 - 20.23,2,9.5E3,800.8485,20.17,8.2E3,800.8480,20.19,1.19E4,800.8486,20.18,9.51E3,800.8471,20.18,8.3E3,800.8478,20.17,9.32E3,800.8481,20.19,1.04E4,800.8492,20.16,8.87E3,800.8484,20.17,1.24E4,800.8477,20.19,6.74E3,800.8479,20.18,9.35E3,0.69:1.00:0.80:0.70:0.78:0.87:0.75:1.04:0.57:0.79,9.86E3,8.04E3,1.00:0.82,20.18,,
,0.77,4.53,826.8549,20.08 - 20.24,2,1.4E4,826.8550,20.19,1.22E4,826.8547,20.17,1.6E4,826.8553,20.18,1.18E4,826.8545,20.18,1.28E4,826.8544,20.17,1.33E4,826.8555,20.16,1.68E4,826.8552,20.16,1.23E4,826.8552,20.17,1.97E4,826.8551,20.16,1.11E4,826.8546,20.18,1.32E4,0.76:1.00:0.74:0.80:0.83:1.05:0.77:1.23:0.70:0.83,1.44E4,1.22E4,1.00:0.85,20.17,,
,0.76,5.86,509.3781,7.97 - 12.29,1,4E4,509.3782,8.12,3.1E4,509.3782,8.56,8.77E4,509.3784,8.31,3.06E4,509.3784,8.26,3.43E4,509.3781,8.15,2.98E4,509.3776,8.33,3.91E4,509.3783,8.13,3.69E4,509.3783,8.18,4.98E4,509.3781,8.19,3.32E4,509.3777,8.19,3.11E4,0.35:1.00:0.35:0.39:0.34:0.45:0.42:0.57:0.38:0.35,4.24E4,3.21E4,1.00:0.76,8.24,,
,0.76,4.23,428.1876,3.82 - 4.89,1,2.3E4,428.1872,4.54,3.87E4,428.1878,4.54,7.51E3,428.1875,4.55,2.66E4,428.1876,4.54,3.05E4,428.1874,4.54,2.62E4,428.1876,4.55,1.7E4,428.1874,4.55,2.41E4,428.1882,4.56,1.22E4,428.1875,4.55,2.14E4,428.1874,4.54,3.08E4,5.15:1.00:3.54:4.05:3.48:2.26:3.20:1.63:2.84:4.10,2.28E4,2.61E4,1.00:1.14,4.54,,
,0.76,17.11,658.6654,0.11 - 0.22,1,2.1E5,658.6656,0.18,3.22E5,-,-,0,658.6649,0.17,2.56E5,658.6658,0.18,2.32E5,658.6656,0.17,2.52E5,-,-,0,658.6655,0.16,2.28E5,-,-,0,658.6654,0.17,4.73E5,658.6647,0.17,3.1E5,1.00:0:0.79:0.72:0.78:0:0.71:0:1.47:0.96,1.61E5,3.92E5,1.00:2.43,0.17,,
,0.76,5.39,821.8414,19.74 - 20.23,2,1.7E4,821.8409,20.17,1.43E4,821.8417,20.15,2.13E4,821.8425,20.16,1.58E4,821.8414,20.16,1.56E4,821.8403,20.17,1.49E4,821.8416,20.16,2.17E4,821.8409,20.16,1.49E4,821.8419,20.15,2.56E4,821.8413,20.14,1.43E4,821.8412,20.15,1.41E4,0.67:1.00:0.74:0.73:0.70:1.02:0.70:1.20:0.67:0.66,1.8E4,1.42E4,1.00:0.79,20.16,,
,0.76,3.50,383.1898,3.83 - 4.85,1,2.4E4,383.1895,4.54,4.36E4,383.1898,4.55,7.68E3,383.1897,4.56,2.52E4,383.1897,4.54,3.13E4,383.1894,4.54,2.83E4,383.1897,4.55,1.72E4,383.1898,4.55,2.44E4,383.1907,4.56,1.38E4,383.1897,4.54,2.02E4,383.1897,4.54,3.06E4,5.67:1.00:3.28:4.08:3.68:2.24:3.18:1.79:2.63:3.98,2.39E4,2.54E4,1.00:1.06,4.55,,
