Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD6_C00_neg m/z,STARD6_C00_neg RT mean,STARD6_C00_neg Normalized Area,STARD6_C05_neg m/z,STARD6_C05_neg RT mean,STARD6_C05_neg Normalized Area,STARD6_C06_neg m/z,STARD6_C06_neg RT mean,STARD6_C06_neg Normalized Area,STARD6_C07_neg m/z,STARD6_C07_neg RT mean,STARD6_C07_neg Normalized Area,STARD6_C11_neg m/z,STARD6_C11_neg RT mean,STARD6_C11_neg Normalized Area,STARD6_C12_neg m/z,STARD6_C12_neg RT mean,STARD6_C12_neg Normalized Area,STARD6_C08_neg m/z,STARD6_C08_neg RT mean,STARD6_C08_neg Normalized Area,STARD6_C09_neg m/z,STARD6_C09_neg RT mean,STARD6_C09_neg Normalized Area,STARD6_C10_neg m/z,STARD6_C10_neg RT mean,STARD6_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.29,4.10,830.7247,20.24 - 20.36,1,526.7,830.7278,20.30,8.76E2,830.7261,20.30,7.48E2,830.7235,20.30,8.17E2,830.7257,20.28,5.55E2,830.7235,20.29,5.94E2,-,-,0,-,-,0,830.7215,20.28,4.64E2,830.7245,20.31,6.86E2,1.07:0.92:1.00:0.68:0.73:0:0:0.57:0.84,5.98E2,3.83E2,1.00:0.64,20.29,,
,0.29,3.42,733.6270,20.62 - 22.00,1,1.4E3,733.6273,20.73,7.01E2,733.6273,21.42,1.09E3,733.6254,21.83,2E3,733.6271,21.55,1.4E3,-,-,-,733.6273,20.97,1.23E3,733.6277,21.86,2.41E3,733.6254,21.84,1.13E3,733.6282,20.97,1.07E3,0.35:0.54:1.00:0.70:-:0.61:1.20:0.56:0.53,1.28E3,1.54E3,1.00:1.20,21.40,,
,0.29,3.61,843.6054,20.76 - 21.82,1,777.7,843.5991,21.24,7.35E2,843.6029,21.36,1.57E3,843.6077,21.76,2.88E2,843.6067,21.00,1.91E2,-,-,-,843.6082,20.78,1.47E3,843.6049,21.12,8.52E2,843.6100,21.10,4.88E2,843.6033,21.42,6.32E2,2.55:5.45:1.00:0.66:-:5.09:2.96:1.69:2.19,8.5E2,6.57E2,1.00:0.77,21.22,,
,0.29,3.75,865.6906,9.14 - 11.53,1,448.6,865.6925,11.40,8.51E2,-,-,-,865.6854,10.72,2.61E2,865.6917,10.92,3.15E2,865.6904,10.40,3.37E2,865.6918,10.76,7.32E2,865.6905,11.04,3.95E2,865.6898,9.21,1.97E2,865.6927,11.37,5.01E2,3.26:-:1.00:1.20:1.29:2.80:1.51:0.75:1.92,4.99E2,3.64E2,1.00:0.73,10.73,,
,0.29,3.68,910.6721,11.93 - 13.39,1,1.6E3,910.6713,12.09,4.82E3,910.6713,12.58,2.1E3,910.6738,13.15,1.6E3,910.6683,13.04,7.17E2,910.6719,12.10,3.33E2,910.6749,12.58,9.47E2,910.6738,12.91,1.65E3,-,-,-,910.6716,12.60,9.79E2,3.00:1.31:1.00:0.45:0.21:0.59:1.03:-:0.61,1.75E3,1.32E3,1.00:0.75,12.63,,
,0.29,3.08,963.6080,6.32 - 8.61,1,3.5E3,963.6105,7.36,2.94E3,963.6083,6.95,8.64E2,963.6091,6.63,3.05E3,963.6040,7.01,2.76E3,963.6033,6.87,7.67E3,-,-,-,963.6104,6.82,2.05E3,963.6073,6.93,7.34E3,963.6110,6.95,1.32E3,0.96:0.28:1.00:0.90:2.51:-:0.67:2.41:0.43,3.46E3,3.57E3,1.00:1.03,6.94,,
,0.29,3.69,836.6617,20.31 - 20.81,1,1.9E3,836.6605,20.51,4.33E3,836.6606,20.40,1.98E3,-,-,0,836.6654,20.48,1.69E3,836.6617,20.41,3.21E3,836.6611,20.47,1.53E3,836.6604,20.55,1.03E3,-,-,0,836.6620,20.42,3.72E3,1.00:0.46:0:0.39:0.74:0.35:0.24:0:0.86,2.12E3,1.58E3,1.00:0.75,20.46,,
,0.29,4.01,889.6787,11.76 - 14.65,1,1.9E3,-,-,-,889.6799,13.43,1.72E3,889.6740,11.82,2.93E3,889.6830,13.18,2.51E3,889.6756,13.01,1.09E3,889.6785,13.15,2.42E3,889.6799,13.02,8.71E2,889.6806,13.14,2.15E3,889.6780,13.01,1.16E3,-:0.59:1.00:0.86:0.37:0.83:0.30:0.73:0.40,2.13E3,1.39E3,1.00:0.65,12.97,,
,0.29,5.34,795.2760,17.09 - 20.16,2,6.8E3,795.2760,18.06,1.25E4,795.2775,18.07,4.18E3,795.2777,18.16,1.02E4,795.2749,17.78,7.57E3,795.2759,17.51,7E3,795.2760,17.87,9.6E3,-,-,0,795.2742,18.18,1.05E4,-,-,0,1.23:0.41:1.00:0.74:0.69:0.94:0:1.03:0,8.5E3,3.51E3,1.00:0.41,17.95,,
,0.29,4.02,831.6570,9.64 - 11.88,1,1E3,831.6549,10.05,4.3E2,831.6534,9.73,1.56E3,831.6543,10.32,3.79E2,831.6537,9.98,7.69E2,831.6605,11.30,1.15E3,831.6588,11.55,2.41E3,831.6598,10.33,1.03E3,831.6605,10.12,4.19E2,-,-,-,1.14:4.13:1.00:2.03:3.03:6.37:2.71:1.11:-,1.12E3,7.23E2,1.00:0.65,10.42,,
,0.29,5.50,750.7809,15.24 - 16.69,1,1.5E3,750.7810,16.07,1.08E3,750.7817,16.57,2.95E2,750.7808,15.84,1.78E3,-,-,-,750.7802,15.63,5.46E3,750.7825,16.38,1.12E3,750.7802,16.37,3.79E2,750.7815,16.02,5.29E2,750.7792,16.36,1.34E3,0.61:0.17:1.00:-:3.07:0.63:0.21:0.30:0.75,1.95E3,7.48E2,1.00:0.38,16.15,,
,0.29,3.12,414.0716,0.25 - 0.63,1,3.9E3,-,-,0,-,-,0,414.0711,0.52,1.4E4,-,-,0,-,-,0,414.0708,0.55,9.68E3,-,-,0,414.0726,0.53,3.19E3,414.0718,0.53,8.07E3,0:0:1.00:0:0:0.69:0:0.23:0.57,3.96E3,3.76E3,1.00:0.95,0.53,,
,0.29,4.23,467.7078,0.00 - 1.06,1,616.1,467.7074,0.90,2.2E3,-,-,0,467.7077,0.05,5.25E2,467.7085,0.06,5.71E2,467.7072,0.04,5.71E2,467.7087,0.09,4.02E2,467.7078,0.00,8.09E2,467.7074,0.05,4.71E2,-,-,0,4.18:0:1.00:1.09:1.09:0.77:1.54:0.90:0,7.11E2,4.27E2,1.00:0.60,0.17,,
,0.29,5.77,895.6219,6.20 - 8.49,1,2.6E3,895.6167,8.36,1.72E3,-,-,-,895.6183,7.08,3.72E3,895.6216,7.45,5.4E2,895.6232,7.46,1.01E3,895.6238,7.74,6.37E2,895.6268,6.94,3.74E3,895.6223,7.13,1.63E3,895.6222,7.33,7.43E3,0.46:-:1.00:0.15:0.27:0.17:1.00:0.44:2.00,1.52E3,4.27E3,1.00:2.80,7.44,,
,0.29,3.13,594.7502,10.24 - 16.53,1,4.9E3,594.7515,10.95,4.91E3,-,-,-,594.7488,11.16,4.84E3,594.7516,11.53,1.25E4,594.7480,10.40,9.5E2,594.7505,11.15,1.83E3,594.7540,10.65,6.08E3,594.7479,10.35,1.74E3,594.7496,10.64,6.34E3,1.01:-:1.00:2.57:0.20:0.38:1.25:0.36:1.31,5E3,4.72E3,1.00:0.94,10.85,,
,0.29,3.74,1062.7672,20.13 - 20.23,2,1.3E3,1062.7737,20.17,1.99E3,-,-,0,1062.7666,20.17,1.89E3,1062.7678,20.17,1.54E3,-,-,0,1062.7686,20.18,1.34E3,1062.7632,20.19,1.71E3,1062.7651,20.19,1.92E3,1062.7651,20.18,1.04E3,1.05:0:1.00:0.82:0:0.71:0.90:1.01:0.55,1.13E3,1.56E3,1.00:1.38,20.18,,
,0.29,5.85,707.7023,21.16 - 22.00,1,1.2E3,707.7011,21.36,2.29E3,707.7024,21.44,1.62E3,707.7041,21.83,9.37E2,707.7016,21.52,2.02E3,707.7017,21.74,5.95E2,707.7029,21.84,1.02E3,-,-,-,707.7009,21.71,1.24E2,707.7036,21.71,8.63E2,2.45:1.73:1.00:2.15:0.64:1.09:-:0.13:0.92,1.41E3,4.93E2,1.00:0.35,21.64,,
,0.29,3.66,1057.5062,20.61 - 21.74,1,1.1E3,1057.4994,21.05,1.28E3,-,-,-,1057.5061,21.02,8.36E2,1057.5032,20.79,9.65E2,1057.5109,20.77,1.09E3,1057.5100,20.80,1.72E3,1057.5090,20.97,1.32E3,1057.5045,21.68,5.12E2,1057.5063,20.62,8.28E2,1.53:-:1.00:1.15:1.30:2.06:1.58:0.61:0.99,1.18E3,8.88E2,1.00:0.75,20.96,,
,0.29,4.77,766.6945,14.89 - 15.47,1,4.5E3,766.6956,15.09,2.65E3,-,-,0,-,-,0,766.6962,15.07,2.69E3,766.6934,15.09,2.73E3,766.6947,15.08,2.47E4,766.6954,15.06,3.23E3,766.6938,15.08,3.23E3,766.6927,15.07,1.65E3,1.00:0:0:1.02:1.03:9.32:1.22:1.22:0.62,5.46E3,2.7E3,1.00:0.50,15.08,,
,0.29,4.54,975.5650,0.59 - 2.96,1,7.8E3,-,-,0,975.5645,1.54,6.76E3,975.5656,1.32,7.05E3,975.5675,0.87,1.16E4,975.5609,1.34,1.1E4,-,-,0,975.5651,1.26,1.83E4,975.5667,1.13,6.03E3,975.5649,1.28,9.8E3,0:0.96:1.00:1.65:1.56:0:2.60:0.86:1.39,6.08E3,1.14E4,1.00:1.87,1.25,,
,0.29,3.56,775.8042,19.02 - 20.25,1,3.4E3,775.8041,20.00,2.21E3,775.8035,19.49,5E3,775.8038,20.13,3.32E3,775.8044,19.69,8.12E3,-,-,0,-,-,0,775.8049,20.00,3.37E3,775.8031,19.82,5.92E3,775.8057,19.86,2.7E3,0.66:1.50:1.00:2.45:0:0:1.02:1.78:0.81,3.11E3,4E3,1.00:1.29,19.86,,
,0.29,3.09,716.7717,15.38 - 18.29,1,1.1E4,716.7738,17.04,2.05E4,-,-,0,-,-,0,716.7706,16.12,1.96E4,716.7693,16.00,1.65E4,716.7703,15.92,1.21E4,716.7717,16.24,9.28E3,716.7713,16.28,1.52E4,716.7747,16.76,8.52E3,1.00:0:0:0.96:0.80:0.59:0.45:0.74:0.42,1.15E4,1.1E4,1.00:0.96,16.34,,
,0.29,5.81,866.6906,12.53 - 14.64,1,1.7E3,866.6947,14.29,1.47E3,866.6874,14.09,1.8E3,866.6903,12.96,5.42E3,866.6925,14.07,1.95E3,866.6906,13.96,7.08E2,-,-,-,866.6893,14.01,5.36E2,866.6913,14.13,6.51E2,866.6885,14.54,1.15E3,0.27:0.33:1.00:0.36:0.13:-:0.10:0.12:0.21,2.27E3,7.81E2,1.00:0.34,14.01,,
,0.29,3.02,814.6810,8.12 - 12.06,1,1.3E3,814.6772,9.30,1.63E3,814.6857,8.94,1.17E3,814.6780,8.92,3.66E2,814.6826,9.18,2.1E3,814.6778,9.10,2.4E3,814.6855,8.69,3.59E2,-,-,-,814.6790,8.80,1.63E3,814.6824,8.24,1.02E3,4.45:3.21:1.00:5.73:6.56:0.98:-:4.45:2.80,1.34E3,1.33E3,1.00:0.99,8.90,,
,0.29,6.48,718.7554,8.77 - 15.03,1,1.6E4,718.7556,9.67,3.2E4,718.7546,10.18,1.43E3,718.7552,10.10,9.1E3,718.7555,10.07,1.21E4,718.7545,9.86,3.35E4,718.7554,10.41,2.64E4,-,-,-,718.7566,10.03,8.73E3,718.7559,10.35,2.01E3,3.51:0.16:1.00:1.33:3.68:2.90:-:0.96:0.22,1.91E4,5.37E3,1.00:0.28,10.08,,
,0.29,3.90,687.6467,0.60 - 2.92,1,1.7E3,687.6470,0.78,5.89E3,687.6467,0.92,9.57E2,687.6440,1.02,9.6E2,687.6454,0.88,1.64E3,687.6490,1.16,3.76E2,-,-,-,687.6479,1.18,6.39E2,687.6456,1.60,7.54E2,687.6478,1.28,2.56E3,6.14:1.00:1.00:1.71:0.39:-:0.67:0.79:2.66,1.96E3,1.32E3,1.00:0.67,1.10,,
,0.29,3.79,706.7043,3.73 - 8.99,1,5.8E3,706.7052,4.16,1.18E3,706.7046,4.14,1.04E3,706.7048,3.99,4.16E3,706.7050,4.37,1.65E3,706.7045,4.41,1.34E4,706.7045,4.17,1.03E4,706.7017,4.07,1.3E4,-,-,-,706.7039,4.00,2.1E3,0.28:0.25:1.00:0.40:3.23:2.46:3.11:-:0.50,5.29E3,7.53E3,1.00:1.42,4.16,,
,0.29,3.63,816.6779,7.61 - 9.28,1,1E3,816.6819,8.03,6.34E2,816.6731,8.78,1.4E3,816.6788,8.42,1.16E3,-,-,-,816.6810,8.79,9.87E2,816.6762,8.94,3.6E2,816.6781,8.83,7.05E2,816.6786,7.75,2.09E3,816.6753,8.39,8.42E2,0.55:1.20:1.00:-:0.85:0.31:0.61:1.80:0.72,9.08E2,1.21E3,1.00:1.33,8.49,,
,0.29,5.37,634.3418,2.83 - 3.15,1,782.1,-,-,0,-,-,0,634.3418,3.07,8.1E2,634.3420,3.02,2.28E3,-,-,0,-,-,0,634.3419,3.05,1.03E3,634.3416,3.04,2.92E3,-,-,0,0:0:1.00:2.81:0:0:1.27:3.60:0,5.15E2,1.32E3,1.00:2.56,3.04,,
,0.29,5.76,527.4429,3.15 - 3.66,1,1.2E3,-,-,0,-,-,0,527.4427,3.58,2.45E3,-,-,0,527.4430,3.61,2.02E3,-,-,0,-,-,0,527.4434,3.60,2.94E3,527.4426,3.60,3.57E3,0:0:1.00:0:0.82:0:0:1.20:1.45,7.46E2,2.17E3,1.00:2.91,3.60,,
,0.29,3.34,1175.7791,9.78 - 11.29,1,2.2E3,1175.7800,10.61,2.38E3,1175.7800,10.27,2.09E3,1175.7795,10.22,2.71E3,-,-,0,1175.7798,9.97,2.52E3,1175.7733,10.07,4.19E3,1175.7786,10.11,2.55E3,1175.7822,10.22,3.39E3,-,-,0,0.88:0.77:1.00:0:0.93:1.55:0.94:1.25:0,2.31E3,1.98E3,1.00:0.86,10.21,,
,0.29,4.36,786.6464,9.76 - 10.40,1,6.4E3,-,-,0,-,-,0,-,-,0,786.6450,10.03,3.66E3,786.6482,10.09,3.01E4,786.6470,10.09,1.11E4,786.6462,10.07,4.36E3,786.6466,10.03,3.65E3,786.6457,10.07,4.45E3,0:0:0:1.00:8.21:3.03:1.19:1.00:1.21,7.47E3,4.15E3,1.00:0.56,10.06,,
,0.29,3.77,540.0805,2.97 - 3.87,1,2.8E3,540.0807,3.71,4.18E3,-,-,0,540.0801,3.69,4.34E3,540.0807,3.73,5.74E3,540.0810,3.72,4.21E3,-,-,0,540.0806,3.70,3.2E3,540.0798,3.71,3.32E3,-,-,0,0.96:0:1.00:1.32:0.97:0:0.74:0.76:0,3.08E3,2.17E3,1.00:0.71,3.71,,
,0.29,3.87,532.6097,0.11 - 0.21,1,8E4,-,-,0,-,-,0,-,-,0,-,-,0,532.6093,0.18,4.15E5,-,-,0,532.6104,0.16,8.96E4,532.6095,0.16,2.18E5,-,-,0,0:0:0:0:1.00:0:0.22:0.52:0,6.92E4,1.02E5,1.00:1.48,0.17,,
,0.29,4.20,856.6313,0.00 - 0.11,1,600.6,-,-,0,856.6309,0.08,1.2E3,856.6329,0.05,4.68E2,-,-,0,856.6288,0.06,8.46E2,856.6316,0.05,4.19E2,856.6320,0.02,1.36E3,856.6315,0.05,6.89E2,856.6315,0.04,4.24E2,0:2.56:1.00:0:1.81:0.90:2.92:1.47:0.91,4.88E2,8.26E2,1.00:1.69,0.05,,
,0.29,3.80,781.6343,2.45 - 4.54,1,1.3E3,781.6346,3.20,1.45E3,781.6317,2.67,7.73E2,781.6353,2.92,1.7E3,781.6334,2.81,3.13E2,-,-,-,781.6373,2.71,1.18E3,781.6343,2.48,1.89E3,781.6344,3.28,2.13E2,781.6332,3.98,2.57E3,0.85:0.46:1.00:0.18:-:0.69:1.11:0.13:1.51,1.08E3,1.56E3,1.00:1.44,3.00,,
,0.29,3.11,605.7617,0.41 - 7.45,1,5.7E4,-,-,-,605.7616,2.17,6.48E4,605.7610,2.29,6.16E4,605.7622,2.11,4.79E4,605.7609,2.47,5.54E4,605.7625,2.10,5.12E4,605.7621,2.38,6.32E4,605.7617,2.46,5.8E4,605.7612,2.45,5.59E4,-:1.05:1.00:0.78:0.90:0.83:1.03:0.94:0.91,5.62E4,5.91E4,1.00:1.05,2.30,,
,0.29,3.35,595.7485,14.10 - 16.43,1,1.1E3,595.7478,14.27,1.88E3,595.7489,14.54,2.5E3,-,-,0,-,-,0,595.7486,15.19,8.4E2,595.7477,14.71,1.08E3,595.7485,14.40,1.32E3,595.7485,14.53,1.7E3,595.7493,14.75,6.93E2,1.00:1.33:0:0:0.45:0.57:0.70:0.90:0.37,1.05E3,1.24E3,1.00:1.18,14.63,,
,0.29,3.49,888.6794,9.39 - 14.73,1,6.7E3,888.6780,10.16,6.93E3,-,-,-,888.6755,11.29,1.81E3,888.6788,11.60,5.86E3,888.6809,11.37,3.27E3,888.6802,11.08,1.26E4,888.6752,10.83,1.71E4,888.6838,9.56,4.37E3,888.6826,11.28,1.54E3,3.83:-:1.00:3.24:1.81:6.94:9.42:2.41:0.85,6.09E3,7.66E3,1.00:1.26,10.90,,
,0.29,3.35,490.7858,0.29 - 6.96,1,5.8E5,490.7857,1.28,8.79E5,490.7858,1.59,4.78E5,490.7857,1.93,7.63E5,490.7859,1.95,4.17E5,490.7860,1.96,3.72E5,490.7859,1.94,4.02E5,490.7860,1.70,8.27E5,490.7859,1.94,6.89E5,490.7856,1.95,4.38E5,1.15:0.63:1.00:0.55:0.49:0.53:1.08:0.90:0.57,5.52E5,6.51E5,1.00:1.18,1.81,,
,0.29,4.01,486.1388,0.00 - 2.45,2,9E3,486.1403,0.67,1.51E4,486.1392,0.08,2.07E3,486.1378,0.59,1.98E3,486.1388,0.06,1.41E3,-,-,-,486.1386,0.78,1.65E4,486.1382,0.80,3.5E3,486.1385,0.74,1.39E4,486.1388,0.93,1.77E4,7.61:1.05:1.00:0.71:-:8.33:1.77:7.00:8.95,7.4E3,1.17E4,1.00:1.58,0.58,,
,0.29,6.23,900.6389,5.50 - 7.99,1,2.5E3,-,-,-,900.6423,6.01,1.99E3,900.6364,6.06,2.07E3,900.6395,5.57,6.76E2,900.6354,6.93,9.49E2,900.6423,6.04,7.52E2,900.6352,6.28,2.53E3,900.6396,6.29,6.64E3,900.6401,6.57,4.11E3,-:0.96:1.00:0.33:0.46:0.36:1.22:3.20:1.98,1.29E3,4.42E3,1.00:3.43,6.22,,
,0.29,4.67,668.8417,12.22 - 18.33,1,2.6E4,-,-,0,668.8407,12.30,4.89E4,668.8398,13.34,4.11E4,668.8420,12.60,2.85E4,668.8430,13.48,2.37E4,668.8411,13.23,4.47E4,668.8420,13.27,2.15E4,-,-,0,668.8433,13.61,2.48E4,0:1.19:1.00:0.69:0.58:1.09:0.52:0:0.60,3.11E4,1.54E4,1.00:0.50,13.12,,
,0.29,3.05,719.8591,19.89 - 20.27,2,5.9E3,-,-,0,719.8583,20.17,9.5E3,719.8589,20.17,9.79E3,719.8593,20.17,8.8E3,719.8600,20.15,7.37E3,-,-,0,719.8588,20.17,8.87E3,719.8593,20.17,8.44E3,-,-,0,0:0.97:1.00:0.90:0.75:0:0.91:0.86:0,5.91E3,5.77E3,1.00:0.98,20.17,,
,0.29,5.50,829.7264,8.46 - 11.34,1,2.2E3,829.7258,9.58,1.86E3,829.7257,8.74,2.41E3,829.7273,8.69,1.28E3,829.7251,8.58,4.75E2,829.7277,9.09,6.23E2,-,-,-,829.7242,8.74,5.27E3,829.7283,9.36,1.27E3,829.7268,9.89,4.26E3,1.46:1.89:1.00:0.37:0.49:-:4.13:0.99:3.34,1.33E3,3.6E3,1.00:2.71,9.08,,
,0.29,4.20,556.7772,6.54 - 9.78,1,2.3E3,556.7766,7.23,1.4E3,-,-,0,556.7763,7.19,3.6E3,556.7773,7.10,4.6E3,556.7781,7.23,1.54E3,-,-,0,556.7773,6.79,7.43E3,556.7773,7.13,7.41E2,556.7772,7.13,1.3E3,0.39:0:1.00:1.28:0.43:0:2.06:0.21:0.36,1.86E3,3.16E3,1.00:1.70,7.12,,
,0.29,4.78,860.6699,6.11 - 7.89,1,1.1E3,860.6753,7.37,3.45E3,-,-,-,860.6613,7.23,4.04E2,860.6691,6.22,1.07E3,860.6724,7.72,6.29E2,860.6692,7.58,1.52E3,860.6677,6.99,6.25E2,860.6704,7.13,8.96E2,860.6735,7.63,4.62E2,8.53:-:1.00:2.65:1.56:3.77:1.55:2.22:1.14,1.42E3,6.61E2,1.00:0.47,7.23,,
,0.29,3.28,820.6954,11.74 - 15.64,1,7E3,820.6974,12.53,9.94E3,820.6947,12.02,1.59E4,-,-,0,820.6976,11.90,2.96E3,820.6941,12.62,1.13E4,820.6934,12.25,3.52E3,820.6953,12.91,1.65E4,-,-,0,820.6951,12.34,2.57E3,1.00:1.60:0:0.30:1.13:0.35:1.66:0:0.26,7.26E3,6.35E3,1.00:0.87,12.37,,
,0.29,3.78,696.6758,8.90 - 10.29,1,829.8,696.6769,9.66,9.88E2,696.6763,9.19,1.38E3,-,-,0,696.6761,9.11,9.38E2,696.6759,9.38,1.16E3,696.6750,9.03,1.08E3,696.6755,9.35,5.54E2,-,-,0,696.6748,9.70,1.37E3,1.00:1.40:0:0.95:1.17:1.09:0.56:0:1.39,9.24E2,6.42E2,1.00:0.70,9.34,,
,0.29,5.72,728.6419,13.32 - 13.91,1,4.5E3,728.6420,13.62,2.05E3,728.6412,13.65,1.58E3,-,-,0,728.6417,13.62,2.1E3,728.6420,13.70,1.92E3,728.6422,13.64,2.73E4,728.6436,13.66,4.23E3,728.6408,13.66,1.57E3,-,-,0,1.00:0.77:0:1.02:0.94:13.29:2.06:0.77:0,5.82E3,1.94E3,1.00:0.33,13.65,,
,0.29,3.66,777.6168,0.00 - 0.86,1,894,777.6167,0.73,1.49E3,777.6167,0.08,1.53E3,777.6178,0.06,6.58E2,-,-,0,777.6171,0.06,1.23E3,777.6161,0.05,9.86E2,-,-,0,777.6166,0.06,1.03E3,777.6167,0.06,1.12E3,2.26:2.33:1.00:0:1.87:1.50:0:1.56:1.71,9.82E2,7.17E2,1.00:0.73,0.16,,
,0.29,12.26,571.2758,1.19 - 1.76,1,9.2E3,571.2758,1.64,7.25E4,571.2754,1.63,5.74E3,-,-,0,-,-,0,571.2763,1.64,4.96E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.08:0:0:0.07:0:0:0:0,1.39E4,0,1.00:0,1.64,,
,0.29,3.06,314.7658,0.00 - 0.12,1,1.8E3,-,-,0,314.7655,0.12,3.18E3,314.7659,0.07,1.34E3,314.7658,0.10,3.57E3,314.7659,0.11,2.62E3,-,-,0,314.7660,0.07,2.25E3,314.7659,0.10,2.95E3,-,-,0,0:2.37:1.00:2.66:1.95:0:1.68:2.20:0,1.78E3,1.73E3,1.00:0.97,0.10,,
,0.29,4.43,1044.5495,1.85 - 3.13,1,1.2E3,1044.5449,1.89,8E2,1044.5483,2.54,1.57E3,1044.5549,2.31,8.95E2,1044.5553,2.32,1.05E3,1044.5472,2.35,1.11E3,1044.5428,3.04,5.77E2,1044.5522,2.87,1.85E3,1044.5505,2.10,1.92E3,-,-,-,0.89:1.75:1.00:1.17:1.24:0.65:2.07:2.15:-,1E3,1.89E3,1.00:1.89,2.43,,
,0.29,3.92,598.7505,0.00 - 5.94,1,1.1E5,598.7501,0.06,-,598.7506,0.67,2.4E5,598.7506,0.73,7.76E4,598.7509,0.94,2.13E5,598.7517,0.78,1.02E4,598.7500,0.65,7.25E4,598.7501,0.75,8.17E4,598.7500,0.89,7.84E4,-,-,-,-:3.09:1.00:2.75:0.13:0.93:1.05:1.01:-,1.23E5,8E4,1.00:0.65,0.68,,
,0.29,5.22,339.1998,0.16 - 2.27,1,2.7E5,339.1999,2.08,2.86E5,339.1996,2.07,2.51E5,-,-,0,339.2000,2.10,1.07E5,339.1997,2.09,1.13E6,339.2000,2.08,2.26E5,339.1999,2.07,3.91E5,-,-,0,-,-,0,1.00:0.88:0:0.38:3.96:0.79:1.37:0:0,3.34E5,1.3E5,1.00:0.39,2.08,,
,0.29,3.07,680.7042,0.42 - 4.58,1,4E3,680.7007,1.17,1.63E3,680.7037,1.00,3.9E3,-,-,-,680.7096,1.65,2.24E3,680.7045,0.94,8.66E3,680.7057,1.11,3.05E3,680.7056,1.12,9.91E2,680.7094,1.45,6.46E3,680.6947,1.30,4.66E3,1.00:2.39:-:1.37:5.31:1.87:0.61:3.96:2.86,3.9E3,4.04E3,1.00:1.04,1.22,,
,0.29,4.36,378.1507,0.11 - 0.25,1,3.9E4,378.1503,0.17,4.83E4,-,-,0,-,-,0,378.1502,0.18,7.36E4,-,-,0,378.1513,0.17,5.95E4,378.1506,0.16,1.16E5,-,-,0,378.1512,0.17,5.18E4,1.00:0:0:1.52:0:1.23:2.40:0:1.07,3.02E4,5.59E4,1.00:1.85,0.17,,
,0.29,5.04,728.6055,8.37 - 8.99,1,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,728.6057,8.70,9.15E4,-,-,0,728.6058,8.64,1.64E4,728.6049,8.72,2.44E3,-,-,0,0:0:0:0:1.00:0:0.18:0.03:0,1.53E4,6.28E3,1.00:0.41,8.68,,
,0.28,6.59,675.6906,12.96 - 15.00,1,2.3E3,675.6886,13.67,7.94E3,675.6901,14.28,5.12E3,675.6902,13.81,1.12E3,675.6904,13.24,1.5E3,675.6918,13.97,7.05E2,675.6896,14.40,8.55E2,675.6926,14.36,5.65E2,-,-,-,675.6912,13.93,8.35E2,7.07:4.56:1.00:1.33:0.63:0.76:0.50:-:0.74,2.87E3,7E2,1.00:0.24,13.96,,
,0.28,4.70,279.0844,0.11 - 0.29,1,6.2E4,-,-,0,-,-,0,-,-,0,279.0842,0.17,2.69E5,-,-,0,-,-,0,279.0846,0.18,2.87E5,-,-,0,-,-,0,0:0:0:1.00:0:0:1.07:0:0,4.48E4,9.58E4,1.00:2.14,0.18,,
,0.28,3.74,294.9532,15.19 - 21.16,1,4.4E5,294.9531,20.19,6.56E5,294.9527,20.20,6.15E5,-,-,0,294.9532,20.19,5.36E5,294.9532,20.19,5.01E5,-,-,0,294.9532,20.19,5.91E5,294.9538,20.20,4.91E5,294.9529,20.20,5.63E5,1.00:0.94:0:0.82:0.76:0:0.90:0.75:0.86,3.85E5,5.48E5,1.00:1.43,20.19,,
,0.28,3.46,747.6898,9.87 - 11.07,1,856.8,747.6865,10.29,1.17E3,747.6956,10.06,7.56E2,747.6898,9.95,7.93E2,747.6854,9.96,4.77E2,747.6919,10.22,8.78E2,747.6876,10.09,7.59E2,747.6930,10.91,1.53E3,-,-,-,747.6885,10.50,4.87E2,1.48:0.95:1.00:0.60:1.11:0.96:1.93:-:0.61,8.06E2,1.01E3,1.00:1.25,10.25,,
,0.28,5.80,322.1655,0.12 - 0.25,1,2.2E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,322.1655,0.17,1.68E6,-,-,0,322.1654,0.16,2.67E5,-,-,0,0:0:0:0:0:1.00:0:0.16:0,2.8E5,8.91E4,1.00:0.32,0.17,,
,0.28,4.95,794.7887,16.12 - 20.08,2,1.4E4,794.7889,17.36,1.18E4,794.7880,16.42,1.52E3,794.7904,17.63,1.22E4,794.7878,17.37,1.37E4,794.7900,17.98,2.1E3,794.7877,17.39,2.08E4,794.7889,17.83,3.01E4,794.7879,17.36,1.8E4,-,-,-,0.97:0.12:1.00:1.12:0.17:1.71:2.47:1.48:-,1.03E4,2.41E4,1.00:2.33,17.42,,
